Name:				240_n100_m200_bt100_19028
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1527.46
Calculation_Time:		325.72
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		43
No_of_Items:			88
Customer_Sequence:		20 7 24 40 44 14 11 42 39 3 13 47 29 32 19 5 18 16 8 38 10 22 23 34 21 41 1 4 31 43 33 26 28 45 15 35 37 36 25 27 30 17 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	2	48	0	0	0	0	8	5	6	315.98	0		30.224632
17	37	48	0	0	5	0	8	5	6	315.98	0		30.224632
17	36	30	0	0	10	0	12	5	4	101.80	1		4.404311
30	63	73	0	0	15	0	15	3	6	87.92	0		31.596862
27	59	23	0	0	18	0	10	5	4	70.57	0		6.570364
25	55	87	0	0	18	4	11	4	4	130.63	0		17.392806
25	54	41	0	0	15	6	14	3	3	79.77	0		15.984113
25	53	9	0	0	10	4	10	3	4	43.90	1		13.504471
36	73	3	0	0	23	0	17	2	4	128.42	0		66.143594
36	74	100	0	0	22	4	11	3	5	133.57	1		15.557990
37	75	14	0	8	0	0	16	5	6	170.89	0		12.178573
37	76	89	0	0	0	6	14	6	3	199.02	0		26.432989
15	30	2	0	0	0	9	15	6	4	254.07	0		60.179576
35	72	100	0	0	10	8	11	3	5	133.57	1		15.557990
15	32	84	0	0	0	13	8	6	5	137.93	0		25.625550
15	31	23	0	0	0	18	10	5	4	70.57	0		6.570364
45	88	48	0	0	0	22	8	5	6	315.98	0		30.224632
28	61	86	0	11	18	0	11	5	8	368.43	0		61.161189
28	60	82	0	0	6	6	10	4	7	91.64	0		34.224058
33	66	20	0	11	18	8	8	6	8	154.93	0		38.064383
26	56	50	0	12	6	0	17	5	4	310.20	0		34.645332
26	58	64	0	12	6	4	15	6	7	446.10	0		35.536371
26	57	57	0	0	18	8	6	3	8	126.78	0		101.972329
33	67	49	0	0	15	9	8	3	4	77.55	0		13.703270
33	68	94	0	0	13	4	9	2	4	56.48	1		9.472870
43	84	18	0	0	6	13	7	4	6	89.03	0		17.008369
43	85	22	0	0	5	19	7	5	5	131.63	1		8.131307
13	26	6	0	11	6	11	14	7	5	342.22	0		21.226845
4	7	82	0	11	18	16	10	4	7	91.64	0		34.224058
4	6	70	0	12	12	0	15	2	7	185.43	0		46.377920
1	1	97	0	22	14	0	16	6	8	447.33	0		20.587634
41	81	67	0	0	15	13	10	3	5	57.43	0		13.330935
10	20	35	0	22	20	0	13	5	4	506.24	0		68.272262
21	46	75	0	15	0	6	7	6	7	94.70	0		54.364820
21	44	24	0	10	0	13	7	6	4	147.19	0		33.430161
16	33	21	0	22	14	8	17	3	8	181.75	0		54.953862
34	70	89	0	24	0	0	14	6	3	199.02	0		26.432989
34	69	17	0	10	0	17	8	6	3	114.83	0		47.607263
34	71	94	0	0	13	8	9	2	4	56.48	1		9.472870
23	49	63	0	29	6	0	13	7	6	273.01	0		15.871089
22	48	90	0	10	0	20	6	6	5	141.46	0		33.725817
19	39	41	0	21	17	8	14	3	3	79.77	0		15.984113
10	19	31	0	24	0	3	12	6	4	160.69	0		11.074887
41	82	83	0	0	15	18	6	3	3	39.69	0		100.871785
10	21	98	0	22	20	4	12	4	4	104.47	0		26.427140
38	77	34	0	21	20	8	17	3	8	141.48	1		27.522720
8	17	41	0	22	0	7	14	3	3	79.77	0		15.984113
8	16	11	0	22	0	10	12	4	6	404.46	0		44.996717
8	15	6	0	27	6	6	14	7	5	342.22	0		21.226845
16	34	64	0	38	0	0	15	6	7	446.10	0		35.536371
21	45	26	0	0	5	24	7	4	4	72.69	1		5.637564
16	35	67	0	11	18	23	10	3	5	57.43	0		13.330935
18	38	100	0	0	10	13	11	3	5	133.57	1		15.557990
5	8	27	0	10	0	25	7	5	5	121.01	0		19.749780
5	10	96	0	36	0	7	16	6	8	734.47	1		9.345196
5	9	34	0	21	20	16	17	3	8	141.48	1		27.522720
19	40	44	0	39	13	0	6	6	4	80.96	0		46.313686
24	52	81	0	11	6	16	14	4	5	133.09	0		102.532496
32	65	79	0	22	0	16	9	5	8	134.53	0		12.879683
29	62	52	0	21	17	11	17	3	7	179.10	1		9.875083
47	90	27	0	22	0	24	7	5	5	121.01	0		19.749780
47	92	57	0	0	15	21	6	3	8	126.78	0		101.972329
47	91	29	0	22	14	16	11	2	5	37.66	0		9.375183
31	64	47	0	0	18	16	7	3	5	112.90	0		33.662165
13	28	68	0	11	10	16	6	2	7	33.68	0		21.993352
13	27	30	0	25	6	11	12	5	4	101.80	1		4.404311
3	3	6	0	42	6	0	14	7	5	342.22	0		21.226845
3	5	79	0	38	19	0	9	5	8	134.53	0		12.879683
3	4	69	0	42	6	5	14	5	5	181.21	0		49.761705
39	79	52	0	21	17	18	17	3	7	179.10	1		9.875083
39	78	12	0	17	10	16	6	4	8	161.36	1		7.882140
42	83	66	0	22	14	21	9	2	7	63.07	1		3.960562
11	22	25	0	38	19	8	9	5	8	293.65	0		26.472651
11	23	82	0	38	19	16	10	4	7	91.64	0		34.224058
11	24	87	0	38	19	23	11	4	4	130.63	0		17.392806
14	29	27	1	37	6	11	7	5	5	121.01	0		19.749780
44	87	72	0	42	6	10	12	6	3	77.83	0		9.206851
44	86	49	0	33	14	16	8	3	4	77.55	0		13.703270
40	80	91	1	56	0	0	16	3	7	188.95	0		49.585898
22	47	43	0	0	13	12	7	2	7	40.81	1		5.008823
24	50	62	0	42	6	13	15	5	3	111.74	0		35.298723
24	51	80	0	11	6	21	9	3	4	92.77	0		17.124116
7	12	24	0	37	6	16	7	6	4	147.19	0		33.430161
7	14	88	0	34	0	15	17	6	6	607.88	1		8.009573
7	13	30	0	31	0	21	12	5	4	101.80	1		4.404311
20	43	90	0	37	6	20	6	6	5	141.46	0		33.725817
20	42	67	0	10	5	25	10	3	5	57.43	0		13.330935
20	41	44	0	37	6	25	6	6	4	80.96	0		46.313686


