Name:				262_n100_m200_bt10_20571
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2044.29
Calculation_Time:		465.70
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		53
No_of_Items:			97
Customer_Sequence:		52 15 38 56 57 45 13 35 21 31 1 2 28 50 43 33 25 26 46 9 36 18 24 8 19 53 6 44 49 16 30 3 42 7 12 5 10 41 55 11 20 40 4 23 39 27 29 37 34 22 17 47 51 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
51	89	1	0	0	0	0	7	4	8	89.12	0		6.435426
51	90	4	0	0	4	0	8	4	4	55.77	0		21.527783
51	91	5	0	0	8	0	7	6	5	154.72	1		5.319968
47	80	1	0	0	14	0	7	4	8	89.12	0		6.435426
47	82	9	0	0	18	0	11	5	3	65.44	0		13.036439
47	81	6	0	0	23	0	10	2	7	121.13	0		17.741160
17	26	3	0	0	18	3	10	4	4	148.45	0		36.951389
17	27	4	0	0	4	4	8	4	4	55.77	0		21.527783
22	36	9	0	7	8	0	11	5	3	65.44	0		13.036439
22	35	6	0	0	18	7	10	2	7	121.13	0		17.741160
34	56	7	0	8	0	0	12	7	6	448.61	0		48.010574
34	55	3	0	0	20	7	10	4	4	148.45	0		36.951389
37	63	1	0	0	0	8	7	4	8	89.12	0		6.435426
29	48	3	0	0	4	8	10	4	4	148.45	0		36.951389
27	44	10	0	7	8	3	9	6	6	110.44	0		23.719453
39	67	8	0	7	8	9	11	5	7	116.23	0		9.228267
39	66	5	0	7	8	16	7	6	5	154.72	1		5.319968
23	37	1	0	0	14	8	7	4	8	89.12	0		6.435426
23	38	2	0	11	14	0	15	5	3	217.11	1		15.689187
4	5	3	0	0	20	11	10	4	4	148.45	0		36.951389
40	69	9	0	11	19	0	11	5	3	65.44	0		13.036439
40	68	5	0	7	8	21	7	6	5	154.72	1		5.319968
20	33	7	0	20	0	0	12	7	6	448.61	0		48.010574
20	32	3	0	0	4	12	10	4	4	148.45	0		36.951389
11	17	8	0	10	19	3	11	5	7	116.23	0		9.228267
11	15	2	0	10	14	3	15	5	3	217.11	1		15.689187
11	16	4	0	0	20	15	8	4	4	55.77	0		21.527783
55	98	10	0	0	0	16	9	6	6	110.44	0		23.719453
41	72	2	0	10	14	6	15	5	3	217.11	1		15.689187
36	61	4	0	0	14	16	8	4	4	55.77	0		21.527783
44	77	8	0	0	0	22	11	5	7	116.23	0		9.228267
41	71	1	0	0	20	19	7	4	8	89.12	0		6.435426
55	97	9	0	10	19	10	11	5	3	65.44	0		13.036439
10	12	3	0	9	0	6	10	4	4	148.45	0		36.951389
10	13	3	0	9	0	10	10	4	4	148.45	0		36.951389
10	14	5	0	10	18	13	7	6	5	154.72	1		5.319968
5	6	10	0	18	7	0	9	6	6	110.44	0		23.719453
12	19	7	0	18	4	6	12	7	6	448.61	0		48.010574
12	20	7	0	18	4	12	12	7	6	448.61	0		48.010574
12	18	6	0	0	6	16	10	2	7	121.13	0		17.741160
7	9	1	0	9	0	14	7	4	8	89.12	0		6.435426
42	73	8	0	22	19	0	11	5	7	116.23	0		9.228267
42	74	10	0	22	19	7	9	6	6	110.44	0		23.719453
3	4	1	0	19	0	6	7	4	8	89.12	0		6.435426
30	49	1	0	16	0	14	7	4	8	89.12	0		6.435426
13	21	4	0	0	14	20	8	4	4	55.77	0		21.527783
16	24	3	0	18	4	18	10	4	4	148.45	0		36.951389
46	79	2	0	17	19	13	15	5	3	217.11	1		15.689187
26	43	6	0	0	6	23	10	2	7	121.13	0		17.741160
49	86	5	0	10	18	18	7	6	5	154.72	1		5.319968
41	70	1	0	10	4	6	7	4	8	89.12	0		6.435426
6	7	1	0	11	0	22	7	4	8	89.12	0		6.435426
6	8	5	0	10	18	23	7	6	5	154.72	1		5.319968
53	94	8	0	26	13	0	11	5	7	116.23	0		9.228267
53	93	6	0	18	11	6	10	2	7	121.13	0		17.741160
19	31	5	0	18	0	22	7	6	5	154.72	1		5.319968
8	10	8	0	25	13	7	11	5	7	116.23	0		9.228267
24	39	7	0	32	0	0	12	7	6	448.61	0		48.010574
18	28	4	0	18	8	18	8	4	4	55.77	0		21.527783
18	29	4	0	18	8	22	8	4	4	55.77	0		21.527783
18	30	5	0	30	0	6	7	6	5	154.72	1		5.319968
36	60	3	0	18	8	26	10	4	4	148.45	0		36.951389
36	62	6	0	28	11	0	10	2	7	121.13	0		17.741160
55	96	6	0	0	18	14	10	2	7	121.13	0		17.741160
9	11	9	0	25	13	14	11	5	3	65.44	0		13.036439
16	25	4	0	30	7	0	8	4	4	55.77	0		21.527783
26	42	3	0	30	7	4	10	4	4	148.45	0		36.951389
