Name:				265_n100_m200_bt10_20840
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2229.26
Calculation_Time:		99.96
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		57
No_of_Items:			115
Customer_Sequence:		58 45 27 55 30 61 53 25 47 39 24 3 46 16 48 13 28 59 10 20 15 44 17 4 9 18 52 34 7 40 19 31 50 11 14 29 6 43 5 33 35 8 1 41 38 57 49 36 23 26 12 56 2 42 37 51 21 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
21	47	4	0	0	0	0	10	5	4	195.07	0		22.942585
51	101	7	0	0	5	0	8	6	8	286.05	0		56.820791
51	100	2	0	0	11	0	9	7	4	178.77	0		89.136866
51	99	1	0	0	18	0	11	4	3	85.79	0		45.289240
37	75	7	0	0	11	4	8	6	8	286.05	0		56.820791
37	74	6	0	0	22	0	15	2	3	62.37	0		17.701277
42	86	7	0	0	18	3	8	6	8	286.05	0		56.820791
42	84	3	0	0	0	4	6	4	4	61.35	0		33.697395
42	85	6	0	8	5	0	15	2	3	62.37	0		17.701277
2	3	8	1	0	0	8	10	3	7	83.52	0		4.921474
2	4	8	0	0	18	11	10	3	7	83.52	0		4.921474
56	108	7	0	0	10	12	8	6	8	286.05	0		56.820791
56	109	9	0	0	10	20	8	5	3	66.81	1		3.454289
56	110	9	0	0	10	23	8	5	3	66.81	1		3.454289
12	27	4	0	9	7	0	10	5	4	195.07	0		22.942585
12	25	1	0	9	12	0	11	4	3	85.79	0		45.289240
12	26	3	0	0	21	11	6	4	4	61.35	0		33.697395
26	55	8	1	0	0	15	10	3	7	83.52	0		4.921474
23	49	7	0	8	7	4	8	6	8	286.05	0		56.820791
36	72	2	0	8	7	12	9	7	4	178.77	0		89.136866
36	73	9	0	0	10	26	8	5	3	66.81	1		3.454289
49	97	7	0	8	7	16	8	6	8	286.05	0		56.820791
49	95	3	0	0	21	15	6	4	4	61.35	0		33.697395
49	96	5	0	8	7	24	8	6	4	85.25	1		12.067034
57	113	7	0	20	7	0	8	6	8	286.05	0		56.820791
57	111	1	0	10	0	0	11	4	3	85.79	0		45.289240
57	112	6	0	8	5	3	15	2	3	62.37	0		17.701277
38	76	10	0	11	16	0	17	3	5	240.96	0		91.762062
41	83	10	0	11	19	0	17	3	5	240.96	0		91.762062
41	81	3	0	0	21	19	6	4	4	61.35	0		33.697395
41	82	3	1	0	0	22	6	4	4	61.35	0		33.697395
1	2	8	0	0	18	18	10	3	7	83.52	0		4.921474
1	1	6	0	8	5	6	15	2	3	62.37	0		17.701277
8	16	10	0	10	18	5	17	3	5	240.96	0		91.762062
8	15	1	0	10	0	3	11	4	3	85.79	0		45.289240
35	70	3	0	0	21	23	6	4	4	61.35	0		33.697395
35	71	6	0	8	5	9	15	2	3	62.37	0		17.701277
33	66	7	0	20	7	8	8	6	8	286.05	0		56.820791
33	65	4	0	10	0	6	10	5	4	195.07	0		22.942585
5	10	1	0	10	0	10	11	4	3	85.79	0		45.289240
5	11	6	0	8	5	12	15	2	3	62.37	0		17.701277
17	38	1	0	10	18	10	11	4	3	85.79	0		45.289240
6	12	3	1	0	0	26	6	4	4	61.35	0		33.697395
29	60	4	0	10	0	13	10	5	4	195.07	0		22.942585
14	33	10	0	15	22	0	17	3	5	240.96	0		91.762062
14	31	1	0	10	0	17	11	4	3	85.79	0		45.289240
14	32	9	0	10	0	20	8	5	3	66.81	1		3.454289
11	23	4	0	20	7	16	10	5	4	195.07	0		22.942585
11	24	5	0	10	0	23	8	6	4	85.25	1		12.067034
50	98	4	0	20	7	20	10	5	4	195.07	0		22.942585
31	62	2	0	23	0	0	9	7	4	178.77	0		89.136866
31	63	5	0	20	7	24	8	6	4	85.25	1		12.067034
19	43	1	0	21	0	4	11	4	3	85.79	0		45.289240
40	80	9	0	10	0	27	8	5	3	66.81	1		3.454289
7	13	10	0	10	21	5	17	3	5	240.96	0		91.762062
7	14	10	0	20	13	0	17	3	5	240.96	0		91.762062
34	68	7	0	28	16	0	8	6	8	286.05	0		56.820791
34	69	10	0	17	13	5	17	3	5	240.96	0		91.762062
34	67	3	0	17	13	10	6	4	4	61.35	0		33.697395
52	103	4	0	21	0	7	10	5	4	195.07	0		22.942585
52	102	1	0	21	0	11	11	4	3	85.79	0		45.289240
52	104	6	0	8	22	10	15	2	3	62.37	0		17.701277
18	41	3	0	17	13	14	6	4	4	61.35	0		33.697395
18	42	3	0	17	13	18	6	4	4	61.35	0		33.697395
9	19	10	0	30	7	0	17	3	5	240.96	0		91.762062
9	17	2	0	32	0	0	9	7	4	178.77	0		89.136866
9	18	9	0	21	0	14	8	5	3	66.81	1		3.454289
4	9	4	0	32	0	4	10	5	4	195.07	0		22.942585
4	8	1	0	23	13	10	11	4	3	85.79	0		45.289240
17	40	7	0	10	17	13	8	6	8	286.05	0		56.820791
43	87	10	0	28	10	0	17	3	5	240.96	0		91.762062
17	39	3	0	10	17	21	6	4	4	61.35	0		33.697395
44	88	4	0	23	13	13	10	5	4	195.07	0		22.942585
15	34	3	0	0	17	25	6	4	4	61.35	0		33.697395
15	35	5	0	21	0	17	8	6	4	85.25	1		12.067034
20	45	7	0	23	13	17	8	6	8	286.05	0		56.820791
20	44	6	0	29	5	4	15	2	3	62.37	0		17.701277
20	46	9	0	21	0	21	8	5	3	66.81	1		3.454289
10	20	1	0	6	17	25	11	4	3	85.79	0		45.289240
10	21	3	1	18	18	13	6	4	4	61.35	0		33.697395
10	22	3	1	18	19	17	6	4	4	61.35	0		33.697395
59	116	7	0	30	7	5	8	6	8	286.05	0		56.820791
59	117	7	0	30	7	13	8	6	8	286.05	0		56.820791
59	115	2	0	23	13	25	9	7	4	178.77	0		89.136866
28	57	3	1	17	19	21	6	4	4	61.35	0		33.697395
28	58	3	0	30	7	21	6	4	4	61.35	0		33.697395
28	59	9	0	21	0	24	8	5	3	66.81	1		3.454289
13	28	7	0	32	0	8	8	6	8	286.05	0		56.820791
13	29	7	0	32	0	16	8	6	8	286.05	0		56.820791
13	30	8	0	32	22	0	10	3	7	83.52	0		4.921474
48	94	7	0	36	16	0	8	6	8	286.05	0		56.820791
48	93	4	0	32	0	24	10	5	4	195.07	0		22.942585
16	36	1	0	34	16	8	11	4	3	85.79	0		45.289240
16	37	5	0	38	7	5	8	6	4	85.25	1		12.067034
46	91	10	0	37	13	0	17	3	5	240.96	0		91.762062
3	7	7	0	45	16	0	8	6	8	286.05	0		56.820791
3	5	4	0	34	16	11	10	5	4	195.07	0		22.942585
3	6	6	0	34	13	5	15	2	3	62.37	0		17.701277
24	50	6	0	34	13	8	15	2	3	62.37	0		17.701277
24	51	9	0	33	16	15	8	5	3	66.81	1		3.454289
24	52	9	0	32	16	18	8	5	3	66.81	1		3.454289
39	79	2	0	45	15	8	9	7	4	178.77	0		89.136866
39	77	1	0	42	0	0	11	4	3	85.79	0		45.289240
39	78	1	0	42	0	3	11	4	3	85.79	0		45.289240
47	92	8	0	32	22	7	10	3	7	83.52	0		4.921474
25	53	7	0	44	15	12	8	6	8	286.05	0		56.820791
25	54	9	0	32	16	21	8	5	3	66.81	1		3.454289
53	105	1	0	42	0	6	11	4	3	85.79	0		45.289240
61	119	4	0	42	0	9	10	5	4	195.07	0		22.942585
30	61	3	0	30	7	25	6	4	4	61.35	0		33.697395
55	107	2	0	44	15	20	9	7	4	178.77	0		89.136866
27	56	10	0	42	22	0	17	3	5	240.96	0		91.762062
45	90	10	0	42	22	5	17	3	5	240.96	0		91.762062
45	89	5	0	32	16	24	8	6	4	85.25	1		12.067034
58	114	1	0	42	0	13	11	4	3	85.79	0		45.289240


