Name:				292_n100_m200_bt10_22645
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2363.41
Calculation_Time:		108.06
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		61
No_of_Items:			126
Customer_Sequence:		48 56 15 29 64 39 6 16 49 13 37 22 33 7 36 38 63 46 42 25 51 21 10 2 30 17 19 11 44 9 5 12 62 18 57 14 28 55 3 40 31 45 32 43 35 20 50 59 4 60 47 1 23 8 26 58 54 52 41 53 24 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
24	51	10	0	0	0	0	6	6	6	172.14	0		30.795433
24	49	1	0	0	6	0	9	3	6	148.97	0		11.155127
24	50	1	0	0	9	0	9	3	6	148.97	0		11.155127
53	109	5	0	0	12	0	17	2	3	65.18	0		48.602499
41	84	7	0	0	14	0	8	6	7	263.61	0		44.662441
52	107	7	0	0	0	6	8	6	7	263.61	0		44.662441
52	108	7	0	0	6	6	8	6	7	263.61	0		44.662441
52	106	6	0	0	20	0	10	3	6	163.75	0		18.410377
54	111	5	0	0	23	0	17	2	3	65.18	0		48.602499
54	110	4	1	0	0	13	15	5	4	225.34	1		8.629777
58	118	3	0	0	15	7	7	5	6	76.01	0		19.717874
58	119	6	0	0	20	6	10	3	6	163.75	0		18.410377
26	54	8	0	0	20	12	6	3	4	58.97	1		9.171969
8	16	10	0	8	14	0	6	6	6	172.14	0		30.795433
8	14	1	0	0	15	13	9	3	6	148.97	0		11.155127
8	15	9	0	8	0	0	6	5	5	122.53	0		25.563860
23	48	9	0	8	0	5	6	5	5	122.53	0		25.563860
23	47	8	0	0	20	16	6	3	4	58.97	1		9.171969
1	1	1	0	0	15	19	9	3	6	148.97	0		11.155127
1	2	1	1	5	0	13	9	3	6	148.97	0		11.155127
20	40	1	1	5	0	19	9	3	6	148.97	0		11.155127
47	97	7	0	9	5	0	8	6	7	263.61	0		44.662441
60	123	7	0	8	5	7	8	6	7	263.61	0		44.662441
60	124	7	0	14	14	0	8	6	7	263.61	0		44.662441
60	122	5	0	0	23	3	17	2	3	65.18	0		48.602499
4	7	6	0	10	20	0	10	3	6	163.75	0		18.410377
4	6	5	0	0	23	6	17	2	3	65.18	0		48.602499
59	120	5	0	0	23	9	17	2	3	65.18	0		48.602499
59	121	8	0	0	20	20	6	3	4	58.97	1		9.171969
50	104	1	0	10	20	6	9	3	6	148.97	0		11.155127
20	42	10	0	8	5	14	6	6	6	172.14	0		30.795433
1	3	4	1	0	0	17	15	5	4	225.34	1		8.629777
20	41	4	1	0	0	21	15	5	4	225.34	1		8.629777
35	71	1	0	6	20	12	9	3	6	148.97	0		11.155127
35	73	9	0	8	0	10	6	5	5	122.53	0		25.563860
35	72	5	0	0	23	12	17	2	3	65.18	0		48.602499
43	87	3	0	8	0	15	7	5	6	76.01	0		19.717874
43	88	9	0	8	5	20	6	5	5	122.53	0		25.563860
32	66	1	0	6	20	18	9	3	6	148.97	0		11.155127
32	68	5	0	0	23	15	17	2	3	65.18	0		48.602499
32	67	2	0	0	18	13	6	2	8	49.85	0		136.629782
45	92	7	0	14	14	7	8	6	7	263.61	0		44.662441
45	93	9	0	8	0	21	6	5	5	122.53	0		25.563860
45	94	9	0	5	5	25	6	5	5	122.53	0		25.563860
31	63	3	0	14	14	14	7	5	6	76.01	0		19.717874
31	64	3	0	14	14	20	7	5	6	76.01	0		19.717874
31	65	8	0	0	20	24	6	3	4	58.97	1		9.171969
40	82	7	0	17	0	0	8	6	7	263.61	0		44.662441
40	83	9	0	16	0	7	6	5	5	122.53	0		25.563860
3	5	6	0	6	20	24	10	3	6	163.75	0		18.410377
55	114	7	0	17	6	0	8	6	7	263.61	0		44.662441
55	112	1	0	16	5	7	9	3	6	148.97	0		11.155127
55	113	4	0	20	20	0	15	5	4	225.34	1		8.629777
28	57	6	0	16	8	7	10	3	6	163.75	0		18.410377
28	56	1	0	16	5	13	9	3	6	148.97	0		11.155127
14	28	10	0	22	12	0	6	6	6	172.14	0		30.795433
14	27	5	0	0	23	18	17	2	3	65.18	0		48.602499
57	117	5	0	0	23	21	17	2	3	65.18	0		48.602499
18	37	7	0	22	12	6	8	6	7	263.61	0		44.662441
18	36	3	0	15	0	12	7	5	6	76.01	0		19.717874
18	35	2	0	15	0	18	6	2	8	49.85	0		136.629782
62	126	6	0	14	5	19	10	3	6	163.75	0		18.410377
12	24	5	0	0	23	24	17	2	3	65.18	0		48.602499
5	8	8	0	0	10	25	6	3	4	58.97	1		9.171969
9	17	2	0	15	2	18	6	2	8	49.85	0		136.629782
9	18	4	0	20	20	4	15	5	4	225.34	1		8.629777
44	90	3	0	22	12	13	7	5	6	76.01	0		19.717874
44	91	6	0	16	8	13	10	3	6	163.75	0		18.410377
44	89	2	0	16	8	19	6	2	8	49.85	0		136.629782
11	22	2	0	21	14	19	6	2	8	49.85	0		136.629782
11	23	2	0	22	18	0	6	2	8	49.85	0		136.629782
19	39	10	0	25	0	0	6	6	6	172.14	0		30.795433
19	38	8	0	8	0	26	6	3	4	58.97	1		9.171969
17	32	2	0	22	18	8	6	2	8	49.85	0		136.629782
17	33	8	0	11	5	25	6	3	4	58.97	1		9.171969
17	34	8	0	14	0	26	6	3	4	58.97	1		9.171969
30	60	1	0	26	6	0	9	3	6	148.97	0		11.155127
30	61	2	0	21	18	16	6	2	8	49.85	0		136.629782
30	62	2	1	22	8	19	6	2	8	49.85	0		136.629782
2	4	6	0	25	5	6	10	3	6	163.75	0		18.410377
10	20	7	0	30	9	0	8	6	7	263.61	0		44.662441
10	21	9	0	25	0	6	6	5	5	122.53	0		25.563860
10	19	2	1	24	5	19	6	2	8	49.85	0		136.629782
21	43	1	0	26	5	12	9	3	6	148.97	0		11.155127
21	44	2	0	25	0	11	6	2	8	49.85	0		136.629782
51	105	7	0	30	8	7	8	6	7	263.61	0		44.662441
25	53	7	0	29	8	14	8	6	7	263.61	0		44.662441
25	52	1	0	26	5	18	9	3	6	148.97	0		11.155127
42	85	3	0	29	8	21	7	5	6	76.01	0		19.717874
42	86	9	0	30	15	0	6	5	5	122.53	0		25.563860
46	96	6	0	26	5	24	10	3	6	163.75	0		18.410377
46	95	5	0	0	23	27	17	2	3	65.18	0		48.602499
63	127	7	0	36	15	0	8	6	7	263.61	0		44.662441
63	128	7	0	35	14	7	8	6	7	263.61	0		44.662441
38	79	10	0	35	14	14	6	6	6	172.14	0		30.795433
38	77	2	0	25	2	11	6	2	8	49.85	0		136.629782
38	78	8	0	19	20	8	6	3	4	58.97	1		9.171969
36	74	3	0	31	0	0	7	5	6	76.01	0		19.717874
7	11	3	0	31	0	6	7	5	6	76.01	0		19.717874
7	12	6	0	35	21	0	10	3	6	163.75	0		18.410377
7	13	9	0	25	0	19	6	5	5	122.53	0		25.563860
33	69	10	0	35	14	20	6	6	6	172.14	0		30.795433
22	45	1	0	31	0	12	9	3	6	148.97	0		11.155127
22	46	1	0	31	0	18	9	3	6	148.97	0		11.155127
37	75	3	0	25	0	24	7	5	6	76.01	0		19.717874
37	76	5	0	16	8	27	17	2	3	65.18	0		48.602499
13	25	1	0	32	0	24	9	3	6	148.97	0		11.155127
13	26	4	0	38	3	0	15	5	4	225.34	1		8.629777
