Name:				339_n020_m400_bt10_27183
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		132.85
Calculation_Time:		4.72
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			67
Customer_Sequence:		3 17 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	259	5	0	0	0	0	12	5	8	49.33	0		7.781386
13	260	6	0	0	5	0	13	5	6	52.07	0		6.255974
13	261	8	0	0	10	0	12	4	7	47.94	0		1.765599
13	262	8	0	0	14	0	12	4	7	47.94	0		1.765599
13	253	3	0	0	18	0	15	2	8	29.46	0		6.089815
13	254	3	0	0	20	0	15	2	8	29.46	0		6.089815
13	255	3	0	0	22	0	15	2	8	29.46	0		6.089815
13	256	3	0	0	5	6	15	2	8	29.46	0		6.089815
13	257	3	0	0	7	6	15	2	8	29.46	0		6.089815
13	258	4	0	0	10	7	15	2	8	37.96	0		15.463073
13	249	2	0	0	12	7	6	6	6	37.99	1		2.650038
13	250	2	0	0	18	8	6	6	6	37.99	1		2.650038
13	251	2	0	0	12	13	6	6	6	37.99	1		2.650038
13	252	2	0	0	18	14	6	6	6	37.99	1		2.650038
17	330	5	0	0	0	8	12	5	8	49.33	0		7.781386
17	331	5	0	0	5	14	12	5	8	49.33	0		7.781386
17	334	6	0	0	0	16	13	5	6	52.07	0		6.255974
17	333	6	0	0	0	22	13	5	6	52.07	0		6.255974
17	332	6	0	0	5	22	13	5	6	52.07	0		6.255974
17	341	9	0	6	18	8	10	5	7	37.89	0		4.536295
17	340	9	0	6	18	15	10	5	7	37.89	0		4.536295
17	339	9	0	6	18	22	10	5	7	37.89	0		4.536295
17	338	8	0	12	0	0	12	4	7	47.94	0		1.765599
17	337	8	0	12	12	0	12	4	7	47.94	0		1.765599
17	336	8	0	6	12	7	12	4	7	47.94	0		1.765599
17	320	1	0	6	12	14	8	5	7	29.20	0		3.728258
17	335	7	0	12	0	7	12	3	7	31.16	0		3.618175
17	329	4	0	0	10	15	15	2	8	37.96	0		15.463073
17	328	4	0	12	16	0	15	2	8	37.96	0		15.463073
17	327	3	0	15	18	0	15	2	8	29.46	0		6.089815
17	326	3	0	15	20	0	15	2	8	29.46	0		6.089815
17	325	3	0	15	22	0	15	2	8	29.46	0		6.089815
17	324	3	0	15	4	0	15	2	8	29.46	0		6.089815
17	323	3	0	15	6	0	15	2	8	29.46	0		6.089815
17	344	10	0	16	16	8	16	7	7	109.12	1		1.561458
17	345	10	0	16	16	15	16	7	7	109.12	1		1.561458
17	343	10	0	16	16	22	16	7	7	109.12	1		1.561458
17	342	10	0	30	0	0	16	7	7	109.12	1		1.561458
17	322	2	0	0	12	19	6	6	6	37.99	1		2.650038
17	321	2	0	0	18	20	6	6	6	37.99	1		2.650038
3	46	5	0	15	3	8	12	5	8	49.33	0		7.781386
3	47	5	0	13	3	16	12	5	8	49.33	0		7.781386
3	48	5	0	30	7	0	12	5	8	49.33	0		7.781386
3	61	9	0	27	7	8	10	5	7	37.89	0		4.536295
3	60	9	0	27	7	15	10	5	7	37.89	0		4.536295
3	59	9	0	25	7	22	10	5	7	37.89	0		4.536295
3	58	9	0	32	12	0	10	5	7	37.89	0		4.536295
3	57	9	0	32	17	0	10	5	7	37.89	0		4.536295
3	56	8	0	15	8	0	12	4	7	47.94	0		1.765599
3	55	8	0	15	8	7	12	4	7	47.94	0		1.765599
3	54	8	0	15	8	14	12	4	7	47.94	0		1.765599
3	53	8	0	32	12	7	12	4	7	47.94	0		1.765599
3	38	1	0	15	8	21	8	5	7	29.20	0		3.728258
3	37	1	0	32	16	7	8	5	7	29.20	0		3.728258
3	50	7	0	13	0	14	12	3	7	31.16	0		3.618175
3	52	7	0	13	0	21	12	3	7	31.16	0		3.618175
3	51	7	0	32	22	0	12	3	7	31.16	0		3.618175
3	49	7	0	32	21	7	12	3	7	31.16	0		3.618175
3	45	4	0	32	12	14	15	2	8	37.96	0		15.463073
3	44	3	0	32	14	14	15	2	8	29.46	0		6.089815
3	43	3	0	32	21	14	15	2	8	29.46	0		6.089815
3	42	3	0	32	12	22	15	2	8	29.46	0		6.089815
3	62	10	0	30	0	7	16	7	7	109.12	1		1.561458
3	63	10	0	27	0	14	16	7	7	109.12	1		1.561458
3	41	2	0	27	0	21	6	6	6	37.99	1		2.650038
3	40	2	0	33	0	21	6	6	6	37.99	1		2.650038
3	39	2	0	42	7	0	6	6	6	37.99	1		2.650038


