Name:				367_n060_m400_bt10_29562
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		88.67
Calculation_Time:		0.24
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		2
No_of_Items:			14
Customer_Sequence:		41 46 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
46	305	5	0	0	0	0	23	6	6	180.62	0		20.862752
46	307	8	0	0	6	0	26	5	8	123.37	0		3.136750
46	304	5	0	0	11	0	23	6	6	180.62	0		20.862752
46	303	2	0	0	17	0	30	7	6	323.77	0		20.551227
46	306	5	0	0	0	6	23	6	6	180.62	0		20.862752
41	272	6	0	0	11	6	16	13	7	161.96	0		2.440661
41	269	3	0	26	0	0	31	7	14	304.32	0		16.843407
41	270	3	0	26	7	0	31	7	14	304.32	0		16.843407
41	267	1	0	0	0	12	24	7	12	315.21	0		15.495558
41	268	3	0	24	0	14	31	7	14	304.32	0		16.843407
41	273	6	0	0	11	13	16	13	7	161.96	0		2.440661
41	274	6	0	0	11	20	16	13	7	161.96	0		2.440661
41	275	8	0	24	7	14	26	5	8	123.37	0		3.136750
41	271	5	0	0	0	24	23	6	6	180.62	0		20.862752


