Name:				438_n060_m400_bt3_35539
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		443.75
Calculation_Time:		12.79
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			91
Customer_Sequence:		15 18 16 3 10 6 14 9 7 17 4 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	140	3	0	0	0	0	14	4	7	281.01	0		44.907880
20	132	1	0	0	4	0	9	3	7	78.35	0		5.867081
20	133	1	0	0	7	0	9	3	7	78.35	0		5.867081
20	134	1	0	0	10	0	9	3	7	78.35	0		5.867081
20	135	1	0	0	13	0	9	3	7	78.35	0		5.867081
20	136	1	0	0	16	0	9	3	7	78.35	0		5.867081
20	137	2	0	0	19	0	9	3	5	53.01	1		10.644472
20	138	2	0	0	22	0	9	3	5	53.01	1		10.644472
20	139	2	0	0	19	5	9	3	5	53.01	1		10.644472
4	25	3	0	0	0	7	14	4	7	281.01	0		44.907880
4	26	3	1	0	4	7	14	4	7	281.01	0		44.907880
4	27	3	0	0	0	14	14	4	7	281.01	0		44.907880
4	21	1	1	0	4	14	9	3	7	78.35	0		5.867081
4	22	2	0	0	22	5	9	3	5	53.01	1		10.644472
4	23	2	0	0	19	10	9	3	5	53.01	1		10.644472
4	24	2	0	0	22	10	9	3	5	53.01	1		10.644472
17	115	3	0	0	0	21	14	4	7	281.01	0		44.907880
17	116	3	1	4	4	7	14	4	7	281.01	0		44.907880
17	110	1	0	0	13	14	9	3	7	78.35	0		5.867081
17	111	1	1	0	4	21	9	3	7	78.35	0		5.867081
17	112	2	0	0	19	15	9	3	5	53.01	1		10.644472
17	113	2	0	0	22	15	9	3	5	53.01	1		10.644472
17	114	2	0	0	19	20	9	3	5	53.01	1		10.644472
7	48	3	0	9	4	0	14	4	7	281.01	0		44.907880
7	49	3	0	8	4	7	14	4	7	281.01	0		44.907880
7	50	3	0	3	4	14	14	4	7	281.01	0		44.907880
7	42	1	0	0	13	21	9	3	7	78.35	0		5.867081
7	43	1	0	3	4	21	9	3	7	78.35	0		5.867081
7	44	1	0	9	8	0	9	3	7	78.35	0		5.867081
7	45	1	0	8	8	7	9	3	7	78.35	0		5.867081
7	46	1	0	3	8	14	9	3	7	78.35	0		5.867081
7	47	2	0	0	22	20	9	3	5	53.01	1		10.644472
9	64	3	0	9	11	0	14	4	7	281.01	0		44.907880
9	65	3	0	9	15	0	14	4	7	281.01	0		44.907880
9	66	3	0	9	19	0	14	4	7	281.01	0		44.907880
9	58	1	0	3	7	21	9	3	7	78.35	0		5.867081
9	59	1	0	9	11	7	9	3	7	78.35	0		5.867081
9	60	2	0	0	19	25	9	3	5	53.01	1		10.644472
9	61	2	0	0	22	25	9	3	5	53.01	1		10.644472
9	62	2	0	9	14	7	9	3	5	53.01	1		10.644472
9	63	2	0	9	17	7	9	3	5	53.01	1		10.644472
14	96	3	0	9	20	7	14	4	7	281.01	0		44.907880
14	97	3	0	9	20	14	14	4	7	281.01	0		44.907880
14	91	1	0	9	11	14	9	3	7	78.35	0		5.867081
14	92	1	0	9	10	21	9	3	7	78.35	0		5.867081
14	93	2	0	9	14	12	9	3	5	53.01	1		10.644472
14	94	2	0	9	17	12	9	3	5	53.01	1		10.644472
14	95	2	0	9	14	17	9	3	5	53.01	1		10.644472
6	40	3	0	9	20	21	14	4	7	281.01	0		44.907880
6	41	3	0	14	0	0	14	4	7	281.01	0		44.907880
6	33	1	0	14	0	7	9	3	7	78.35	0		5.867081
6	34	1	0	14	0	14	9	3	7	78.35	0		5.867081
6	35	2	0	9	17	17	9	3	5	53.01	1		10.644472
6	36	2	0	9	14	22	9	3	5	53.01	1		10.644472
6	37	2	0	9	17	22	9	3	5	53.01	1		10.644472
6	38	2	0	14	0	21	9	3	5	53.01	1		10.644472
6	39	2	0	18	8	0	9	3	5	53.01	1		10.644472
10	72	3	0	23	4	0	14	4	7	281.01	0		44.907880
10	73	3	0	22	3	7	14	4	7	281.01	0		44.907880
10	74	3	0	17	3	14	14	4	7	281.01	0		44.907880
10	67	1	0	12	4	21	9	3	7	78.35	0		5.867081
10	68	1	1	18	11	7	9	3	7	78.35	0		5.867081
10	69	1	1	18	11	14	9	3	7	78.35	0		5.867081
10	70	1	1	18	10	21	9	3	7	78.35	0		5.867081
10	71	1	0	21	3	21	9	3	7	78.35	0		5.867081
3	17	3	0	23	11	0	14	4	7	281.01	0		44.907880
3	18	3	0	21	11	7	14	4	7	281.01	0		44.907880
3	19	3	0	21	11	14	14	4	7	281.01	0		44.907880
3	20	3	0	21	10	21	14	4	7	281.01	0		44.907880
3	14	1	0	23	15	0	9	3	7	78.35	0		5.867081
3	15	1	0	21	15	7	9	3	7	78.35	0		5.867081
3	16	2	0	21	15	14	9	3	5	53.01	1		10.644472
16	107	3	0	23	18	0	14	4	7	281.01	0		44.907880
16	108	3	0	23	18	7	14	4	7	281.01	0		44.907880
16	109	3	0	23	18	14	14	4	7	281.01	0		44.907880
16	103	1	0	23	22	0	9	3	7	78.35	0		5.867081
16	104	1	0	23	22	7	9	3	7	78.35	0		5.867081
16	105	2	0	21	15	19	9	3	5	53.01	1		10.644472
16	106	2	0	21	15	24	9	3	5	53.01	1		10.644472
18	120	3	0	23	18	21	14	4	7	281.01	0		44.907880
18	121	3	0	36	0	0	14	4	7	281.01	0		44.907880
18	122	3	0	36	0	7	14	4	7	281.01	0		44.907880
18	123	3	0	36	0	14	14	4	7	281.01	0		44.907880
18	117	1	0	23	22	14	9	3	7	78.35	0		5.867081
18	118	1	0	23	22	21	9	3	7	78.35	0		5.867081
18	119	2	0	32	15	0	9	3	5	53.01	1		10.644472
15	99	3	0	36	0	21	14	4	7	281.01	0		44.907880
15	100	3	0	37	4	0	14	4	7	281.01	0		44.907880
15	101	3	0	36	4	7	14	4	7	281.01	0		44.907880
15	102	3	0	31	4	14	14	4	7	281.01	0		44.907880
15	98	2	0	30	4	21	9	3	5	53.01	1		10.644472


