Name:				450_n060_m400_bt100_36632
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		374.93
Calculation_Time:		15.30
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			71
Customer_Sequence:		1 6 12 5 3 8 4 13 16 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
16	102	6	0	0	0	0	17	3	8	121.23	0		24.282074
16	104	25	0	0	3	0	16	6	4	128.83	0		9.075504
16	106	46	0	0	9	0	11	7	4	75.25	0		8.737600
16	110	97	0	0	16	0	14	3	7	66.49	0		11.475818
16	103	23	0	0	19	0	10	4	4	28.31	0		2.463461
16	105	38	0	0	3	4	6	6	4	19	0		2.397905
16	109	96	0	0	23	0	7	2	5	15.25	0		62.420152
16	107	81	0	0	9	4	9	5	7	118.88	1		12.998670
16	108	86	0	11	9	0	11	7	4	95.15	1		4.335743
13	85	83	0	10	19	0	15	6	6	95.38	0		6.217122
13	83	7	0	10	19	6	17	5	4	42.03	0		3.888717
13	86	84	0	0	16	7	14	2	8	41.72	0		7.267999
13	87	88	0	0	14	4	11	2	8	40.70	0		10.742285
13	88	89	0	0	0	8	11	3	5	218.32	0		30.065708
13	84	10	0	0	14	12	13	2	6	55.85	1		3.785770
13	89	100	0	0	19	4	6	3	5	19.76	1		2.317171
4	26	71	0	6	3	4	9	6	8	135.73	0		13.952480
4	23	22	0	6	3	12	10	5	7	92.99	0		6.648775
4	28	97	0	0	0	13	14	3	7	66.49	0		11.475818
4	25	50	0	0	0	20	15	3	4	54.55	0		22.875684
4	27	80	0	0	16	15	12	2	6	157.15	0		28.141133
4	24	49	0	17	0	0	11	7	8	73.21	1		0.905110
8	52	2	0	6	3	19	13	5	8	122.57	0		13.307886
8	57	87	0	10	19	10	9	6	6	127.78	0		10.444298
8	51	1	0	10	19	16	9	5	7	32.45	0		2.020587
8	53	13	0	6	3	27	14	6	3	91.55	0		35.065327
8	54	32	0	10	19	23	6	6	7	62.89	0		34.835962
8	56	82	0	16	0	8	15	6	4	82.88	1		1.723618
8	55	33	0	0	9	11	9	3	8	77.62	1		4.116127
3	17	30	0	22	7	0	16	6	8	143.47	0		5.277678
3	16	28	0	22	13	0	14	6	8	276.30	0		15.201870
3	14	7	0	20	7	8	17	5	4	42.03	0		3.888717
3	15	20	0	0	0	24	16	3	6	57.34	0		10.180827
3	21	98	0	19	19	10	8	5	7	39.36	0		5.578725
3	22	98	0	19	19	17	8	5	7	39.36	0		5.578725
3	18	37	0	20	12	8	9	6	4	38.08	0		9.759361
12	81	80	0	0	16	21	12	2	6	157.15	0		28.141133
3	20	94	0	9	9	4	9	5	8	93.52	1		2.703268
5	35	79	0	20	6	12	17	6	6	228.45	0		9.410113
5	34	71	0	18	12	12	9	6	8	135.73	0		13.952480
5	29	6	0	20	6	18	17	3	8	121.23	0		24.282074
5	36	85	0	29	12	8	7	7	7	71.19	0		39.695160
5	32	35	0	20	9	18	14	3	8	38.06	0		18.586446
5	30	20	0	27	19	0	16	3	6	57.34	0		10.180827
5	33	62	0	19	19	24	9	5	5	72.75	0		24.199888
5	37	99	0	18	12	20	9	3	8	50.56	0		14.941631
5	31	34	0	20	6	26	14	3	4	69.71	0		22.093111
12	79	39	0	37	0	0	14	7	5	146.56	0		5.049681
12	80	67	0	36	13	0	13	5	7	59.14	0		16.967317
12	77	8	0	27	12	15	9	7	6	121.27	0		32.753351
12	82	97	0	28	19	6	14	3	7	66.49	0		11.475818
3	19	90	0	27	22	0	12	2	8	70.22	0		8.870364
12	78	15	0	36	13	7	14	5	6	142.11	1		4.045073
6	40	30	0	37	0	5	16	6	8	143.47	0		5.277678
6	44	77	0	37	0	13	13	7	7	297.75	0		21.884203
6	38	4	0	37	0	20	14	6	6	88.88	0		8.093614
6	43	68	0	27	12	21	7	6	8	140.07	0		30.791864
6	41	45	0	37	0	26	8	7	4	89.88	0		12.067895
6	39	11	0	38	7	0	9	5	6	60.38	0		10.835855
6	46	90	0	28	19	13	12	2	8	70.22	0		8.870364
6	45	78	0	0	16	27	11	2	3	14.15	0		21.159934
6	42	64	0	36	12	13	10	4	8	127.93	1		9.338991
1	4	52	0	43	18	0	14	6	8	227.31	0		19.283747
1	7	67	0	42	18	8	13	5	7	59.14	0		16.967317
1	8	85	0	53	0	0	7	7	7	71.19	0		39.695160
1	3	46	1	50	7	0	11	7	4	75.25	0		8.737600
1	2	13	0	42	18	15	14	6	3	91.55	0		35.065327
1	9	88	0	28	18	21	11	2	8	40.70	0		10.742285
1	1	12	0	20	9	26	14	2	4	136.55	0		156.199006
1	5	55	0	34	12	21	15	4	8	100.79	1		3.521204
1	6	63	0	38	7	6	8	3	6	56.07	1		3.788643


