Name:				033_n020_m200_bt3_2091
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		514.82
Calculation_Time:		27.91
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		11
No_of_Items:			126
Customer_Sequence:		6 4 9 3 17 1 8 2 5 11 10 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
10	107	3	0	0	0	0	8	6	4	61.91	0		18.490325
10	108	3	0	0	6	0	8	6	4	61.91	0		18.490325
10	109	3	0	0	12	0	8	6	4	61.91	0		18.490325
10	110	3	0	0	18	0	8	6	4	61.91	0		18.490325
10	102	1	1	0	0	4	17	3	3	46.27	0		15.131807
10	103	1	1	0	0	7	17	3	3	46.27	0		15.131807
10	104	2	0	0	17	4	10	6	5	169.39	1		3.544409
10	105	2	0	0	17	9	10	6	5	169.39	1		3.544409
10	106	2	0	0	17	14	10	6	5	169.39	1		3.544409
11	121	3	1	3	0	4	8	6	4	61.91	0		18.490325
11	122	3	1	3	8	4	8	6	4	61.91	0		18.490325
11	123	3	0	3	0	8	8	6	4	61.91	0		18.490325
11	111	1	1	0	0	10	17	3	3	46.27	0		15.131807
11	112	1	1	0	0	13	17	3	3	46.27	0		15.131807
11	113	1	1	0	0	16	17	3	3	46.27	0		15.131807
11	114	1	1	0	0	19	17	3	3	46.27	0		15.131807
11	115	1	1	0	0	22	17	3	3	46.27	0		15.131807
11	116	1	1	0	0	25	17	3	3	46.27	0		15.131807
11	117	2	0	0	17	19	10	6	5	169.39	1		3.544409
11	118	2	0	0	17	24	10	6	5	169.39	1		3.544409
11	119	2	1	3	6	8	10	6	5	169.39	1		3.544409
11	120	2	0	3	0	12	10	6	5	169.39	1		3.544409
5	53	3	0	9	6	0	8	6	4	61.91	0		18.490325
5	54	3	0	9	6	4	8	6	4	61.91	0		18.490325
5	55	3	0	9	6	8	8	6	4	61.91	0		18.490325
5	43	1	0	9	12	0	17	3	3	46.27	0		15.131807
5	44	1	0	9	12	3	17	3	3	46.27	0		15.131807
5	45	1	0	9	12	6	17	3	3	46.27	0		15.131807
5	46	1	0	9	12	9	17	3	3	46.27	0		15.131807
5	47	1	0	9	12	12	17	3	3	46.27	0		15.131807
5	48	1	0	9	12	15	17	3	3	46.27	0		15.131807
5	49	2	1	3	6	13	10	6	5	169.39	1		3.544409
5	50	2	0	3	0	17	10	6	5	169.39	1		3.544409
5	51	2	1	3	6	18	10	6	5	169.39	1		3.544409
5	52	2	0	3	0	22	10	6	5	169.39	1		3.544409
2	21	3	0	9	6	12	8	6	4	61.91	0		18.490325
2	22	3	0	9	6	16	8	6	4	61.91	0		18.490325
2	23	3	0	9	6	20	8	6	4	61.91	0		18.490325
2	24	3	0	9	6	24	8	6	4	61.91	0		18.490325
2	25	3	0	10	15	0	8	6	4	61.91	0		18.490325
2	16	1	0	9	12	18	17	3	3	46.27	0		15.131807
2	17	2	1	3	6	23	10	6	5	169.39	1		3.544409
2	18	2	0	10	15	4	10	6	5	169.39	1		3.544409
2	19	2	0	10	15	9	10	6	5	169.39	1		3.544409
2	20	2	0	10	15	14	10	6	5	169.39	1		3.544409
8	85	3	0	13	0	0	8	6	4	61.91	0		18.490325
8	86	3	0	13	0	4	8	6	4	61.91	0		18.490325
8	87	3	0	13	0	8	8	6	4	61.91	0		18.490325
8	88	3	0	13	0	12	8	6	4	61.91	0		18.490325
8	89	3	0	13	0	16	8	6	4	61.91	0		18.490325
8	90	3	0	13	0	20	8	6	4	61.91	0		18.490325
8	91	3	0	13	0	24	8	6	4	61.91	0		18.490325
8	77	1	0	9	12	21	17	3	3	46.27	0		15.131807
8	78	1	0	9	12	24	17	3	3	46.27	0		15.131807
8	79	1	0	9	12	27	17	3	3	46.27	0		15.131807
8	80	1	0	10	21	0	17	3	3	46.27	0		15.131807
8	81	2	0	10	15	19	10	6	5	169.39	1		3.544409
8	82	2	0	10	15	24	10	6	5	169.39	1		3.544409
8	83	2	0	17	6	0	10	6	5	169.39	1		3.544409
8	84	2	0	17	6	5	10	6	5	169.39	1		3.544409
1	13	3	0	20	15	0	8	6	4	61.91	0		18.490325
1	14	3	0	20	15	4	8	6	4	61.91	0		18.490325
1	15	3	0	20	15	8	8	6	4	61.91	0		18.490325
1	1	1	0	10	21	3	17	3	3	46.27	0		15.131807
