Name:				053_n020_m200_bt10_3673
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		354.37
Calculation_Time:		111.39
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			89
Customer_Sequence:		16 15 4 8 7 6 14 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	31	9	0	0	0	0	14	6	6	93.90	0		21.454331
3	32	9	0	0	6	0	14	6	6	93.90	0		21.454331
3	33	9	0	0	12	0	14	6	6	93.90	0		21.454331
3	27	6	0	0	18	0	14	5	5	60.92	0		7.158429
3	26	4	0	0	0	6	11	5	5	42.05	0		2.439261
3	21	3	0	0	18	5	12	6	3	56.55	0		17.942204
3	22	3	0	0	5	6	12	6	3	56.55	0		17.942204
3	23	3	0	0	11	6	12	6	3	56.55	0		17.942204
3	24	3	0	0	17	8	12	6	3	56.55	0		17.942204
3	25	3	0	0	5	9	12	6	3	56.55	0		17.942204
3	28	8	0	0	11	9	6	5	3	35.41	0		5.326411
3	29	8	0	0	0	11	6	5	3	35.41	0		5.326411
3	30	8	0	0	16	11	6	5	3	35.41	0		5.326411
3	34	10	0	0	5	12	12	3	4	46.68	1		1.772961
3	35	10	0	0	8	12	12	3	4	46.68	1		1.772961
14	134	1	0	14	0	0	13	6	7	96.94	0		3.213649
14	135	1	0	12	0	7	13	6	7	96.94	0		3.213649
14	136	1	0	12	0	14	13	6	7	96.94	0		3.213649
14	144	7	0	12	0	21	15	4	8	61.49	0		4.394245
14	142	6	0	14	6	0	14	5	5	60.92	0		7.158429
14	143	6	0	14	11	0	14	5	5	60.92	0		7.158429
14	140	5	0	14	16	0	9	5	4	33.30	0		15.952780
14	141	5	0	14	16	4	9	5	4	33.30	0		15.952780
14	137	2	0	0	16	14	6	6	7	28.07	1		1.370017
14	138	2	0	0	5	16	6	6	7	28.07	1		1.370017
14	139	2	0	0	16	21	6	6	7	28.07	1		1.370017
14	145	10	0	12	17	8	12	3	4	46.68	1		1.772961
8	77	2	0	0	4	23	6	6	7	28.07	1		1.370017
6	56	1	0	14	6	5	13	6	7	96.94	0		3.213649
6	62	9	0	12	6	12	14	6	6	93.90	0		21.454331
6	60	4	0	12	6	18	11	5	5	42.05	0		2.439261
6	61	4	0	24	16	0	11	5	5	42.05	0		2.439261
6	57	2	0	6	11	9	6	6	7	28.07	1		1.370017
7	72	6	0	24	16	5	14	5	5	60.92	0		7.158429
6	59	2	0	6	6	16	6	6	7	28.07	1		1.370017
6	63	10	0	12	17	12	12	3	4	46.68	1		1.772961
8	85	10	0	6	6	23	12	3	4	46.68	1		1.772961
7	65	1	0	24	16	10	13	6	7	96.94	0		3.213649
7	74	9	0	24	16	17	14	6	6	93.90	0		21.454331
7	73	7	0	14	21	0	15	4	8	61.49	0		4.394245
6	58	2	0	6	12	16	6	6	7	28.07	1		1.370017
7	68	4	0	12	20	8	11	5	5	42.05	0		2.439261
7	69	4	0	12	20	13	11	5	5	42.05	0		2.439261
7	67	3	0	24	16	23	12	6	3	56.55	0		17.942204
7	70	5	0	12	20	18	9	5	4	33.30	0		15.952780
7	71	5	0	12	20	22	9	5	4	33.30	0		15.952780
7	66	2	0	6	10	23	6	6	7	28.07	1		1.370017
7	75	10	0	12	17	16	12	3	4	46.68	1		1.772961
8	76	1	0	27	0	0	13	6	7	96.94	0		3.213649
8	79	6	0	27	0	7	14	5	5	60.92	0		7.158429
8	82	9	0	27	0	12	14	6	6	93.90	0		21.454331
8	80	6	0	27	0	18	14	5	5	60.92	0		7.158429
8	83	10	0	12	20	26	12	3	4	46.68	1		1.772961
8	78	5	0	24	16	26	9	5	4	33.30	0		15.952780
6	55	1	0	28	6	0	13	6	7	96.94	0		3.213649
8	81	6	0	27	5	7	14	5	5	60.92	0		7.158429
8	84	10	0	14	12	5	12	3	4	46.68	1		1.772961
7	64	1	0	38	15	0	13	6	7	96.94	0		3.213649
4	36	1	0	27	0	23	13	6	7	96.94	0		3.213649
4	44	6	0	26	6	12	14	5	5	60.92	0		7.158429
4	40	4	0	26	6	17	11	5	5	42.05	0		2.439261
4	41	4	0	26	6	22	11	5	5	42.05	0		2.439261
4	42	4	0	38	15	7	11	5	5	42.05	0		2.439261
4	38	3	0	26	6	27	12	6	3	56.55	0		17.942204
4	39	3	0	38	15	12	12	6	3	56.55	0		17.942204
4	43	5	0	38	15	15	9	5	4	33.30	0		15.952780
4	37	2	0	38	15	19	6	6	7	28.07	1		1.370017
15	146	1	0	41	0	0	13	6	7	96.94	0		3.213649
15	147	1	0	41	6	0	13	6	7	96.94	0		3.213649
15	148	1	0	41	0	7	13	6	7	96.94	0		3.213649
15	152	9	0	41	6	7	14	6	6	93.90	0		21.454331
15	153	9	0	40	6	13	14	6	6	93.90	0		21.454331
15	154	9	0	38	6	19	14	6	6	93.90	0		21.454331
15	149	7	0	38	21	0	15	4	8	61.49	0		4.394245
15	150	7	0	38	21	8	15	4	8	61.49	0		4.394245
15	151	8	0	38	6	25	6	5	3	35.41	0		5.326411
15	155	10	0	12	12	9	12	3	4	46.68	1		1.772961
15	156	10	0	12	12	13	12	3	4	46.68	1		1.772961
16	157	1	0	41	0	14	13	6	7	96.94	0		3.213649
16	165	9	0	41	0	21	14	6	6	93.90	0		21.454331
16	163	7	0	38	21	16	15	4	8	61.49	0		4.394245
16	164	7	1	55	0	0	15	4	8	61.49	0		4.394245
16	162	6	1	55	0	8	14	5	5	60.92	0		7.158429
16	160	4	1	54	0	13	11	5	5	42.05	0		2.439261
16	161	4	1	55	0	18	11	5	5	42.05	0		2.439261
16	159	3	0	40	0	27	12	6	3	56.55	0		17.942204
16	158	2	0	51	15	0	6	6	7	28.07	1		1.370017
16	166	10	0	12	12	17	12	3	4	46.68	1		1.772961
16	167	10	0	12	12	21	12	3	4	46.68	1		1.772961


