Name:				064_n060_m200_bt3_4106
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		188.61
Calculation_Time:		0.09
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		5
No_of_Items:			18
Customer_Sequence:		17 16 20 13 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	6	3	0	0	0	0	25	12	6	652.98	0		20.227373
2	7	3	0	0	12	0	25	12	6	652.98	0		20.227373
2	5	2	0	0	0	6	19	13	6	479.64	0		9.579133
2	4	1	0	0	13	6	21	7	6	316.83	1		2.362263
13	40	3	0	0	0	12	25	12	6	652.98	0		20.227373
13	41	3	0	0	0	18	25	12	6	652.98	0		20.227373
13	38	1	0	0	12	12	21	7	6	316.83	1		2.362263
13	39	1	0	0	12	18	21	7	6	316.83	1		2.362263
20	63	3	0	0	0	24	25	12	6	652.98	0		20.227373
20	60	2	0	25	0	0	19	13	6	479.64	0		9.579133
20	61	2	0	25	0	6	19	13	6	479.64	0		9.579133
20	62	2	0	25	0	12	19	13	6	479.64	0		9.579133
16	50	3	0	25	13	0	25	12	6	652.98	0		20.227373
16	51	3	0	21	13	6	25	12	6	652.98	0		20.227373
16	52	3	0	21	13	12	25	12	6	652.98	0		20.227373
16	49	2	0	21	12	18	19	13	6	479.64	0		9.579133
17	54	3	0	21	12	24	25	12	6	652.98	0		20.227373
17	53	1	0	0	12	24	21	7	6	316.83	1		2.362263


