Name:				078_n060_m200_bt3_4657
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1307.14
Calculation_Time:		14.18
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		30
No_of_Items:			108
Customer_Sequence:		21 24 12 2 6 34 13 20 17 18 10 27 29 4 31 19 23 22 28 30 9 11 16 14 7 35 25 26 1 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	49	3	0	0	0	0	9	4	6	90.56	0		53.319790
15	47	2	0	0	4	0	15	3	8	145.75	1		30.643323
15	48	2	0	0	7	0	15	3	8	145.75	1		30.643323
1	1	1	0	0	10	0	11	2	7	125.73	0		11.554654
1	2	2	0	0	12	0	15	3	8	145.75	1		30.643323
26	89	3	0	0	15	0	9	4	6	90.56	0		53.319790
26	90	3	0	0	19	0	9	4	6	90.56	0		53.319790
26	86	2	0	0	4	8	15	3	8	145.75	1		30.643323
26	87	2	0	0	7	8	15	3	8	145.75	1		30.643323
26	88	2	0	0	12	8	15	3	8	145.75	1		30.643323
25	85	3	0	0	0	6	9	4	6	90.56	0		53.319790
25	83	2	0	0	4	16	15	3	8	145.75	1		30.643323
25	84	2	0	0	7	16	15	3	8	145.75	1		30.643323
35	118	3	0	0	15	6	9	4	6	90.56	0		53.319790
35	119	3	0	0	19	6	9	4	6	90.56	0		53.319790
35	120	3	0	0	0	12	9	4	6	90.56	0		53.319790
35	116	2	0	0	12	16	15	3	8	145.75	1		30.643323
35	117	2	0	9	0	0	15	3	8	145.75	1		30.643323
7	19	3	0	0	15	12	9	4	6	90.56	0		53.319790
7	17	1	0	0	23	0	11	2	7	125.73	0		11.554654
7	18	2	0	9	15	0	15	3	8	145.75	1		30.643323
14	46	3	0	0	19	12	9	4	6	90.56	0		53.319790
14	44	2	0	9	18	0	15	3	8	145.75	1		30.643323
14	45	2	0	9	0	8	15	3	8	145.75	1		30.643323
16	50	1	0	0	10	7	11	2	7	125.73	0		11.554654
16	51	2	0	9	15	8	15	3	8	145.75	1		30.643323
16	52	2	0	9	18	8	15	3	8	145.75	1		30.643323
11	33	3	0	0	0	18	9	4	6	90.56	0		53.319790
11	34	3	0	0	15	18	9	4	6	90.56	0		53.319790
11	35	3	0	0	19	18	9	4	6	90.56	0		53.319790
11	31	1	0	0	23	7	11	2	7	125.73	0		11.554654
11	32	1	0	0	10	14	11	2	7	125.73	0		11.554654
9	25	3	0	0	0	24	9	4	6	90.56	0		53.319790
9	22	1	0	0	23	14	11	2	7	125.73	0		11.554654
9	23	2	0	9	0	16	15	3	8	145.75	1		30.643323
9	24	2	0	9	15	16	15	3	8	145.75	1		30.643323
30	102	3	0	0	15	24	9	4	6	90.56	0		53.319790
30	101	2	0	9	18	16	15	3	8	145.75	1		30.643323
28	97	3	0	0	19	24	9	4	6	90.56	0		53.319790
28	95	1	0	0	10	21	11	2	7	125.73	0		11.554654
28	96	2	0	15	3	0	15	3	8	145.75	1		30.643323
22	75	3	0	15	6	0	9	4	6	90.56	0		53.319790
22	71	2	0	15	10	0	15	3	8	145.75	1		30.643323
22	72	2	0	15	3	8	15	3	8	145.75	1		30.643323
22	73	2	0	15	10	8	15	3	8	145.75	1		30.643323
22	74	2	0	15	3	16	15	3	8	145.75	1		30.643323
23	78	3	0	15	6	6	9	4	6	90.56	0		53.319790
23	76	1	0	0	23	21	11	2	7	125.73	0		11.554654
23	77	2	0	15	10	16	15	3	8	145.75	1		30.643323
19	63	3	0	15	6	12	9	4	6	90.56	0		53.319790
19	61	1	0	9	21	0	11	2	7	125.73	0		11.554654
19	62	1	0	9	21	7	11	2	7	125.73	0		11.554654
31	106	3	0	15	6	18	9	4	6	90.56	0		53.319790
31	103	1	0	9	21	14	11	2	7	125.73	0		11.554654
31	104	1	0	9	21	21	11	2	7	125.73	0		11.554654
31	105	2	0	20	21	0	15	3	8	145.75	1		30.643323
4	10	3	0	15	6	24	9	4	6	90.56	0		53.319790
4	8	1	0	15	13	0	11	2	7	125.73	0		11.554654
4	9	2	0	20	21	8	15	3	8	145.75	1		30.643323
29	98	1	0	15	13	7	11	2	7	125.73	0		11.554654
29	99	2	0	20	21	16	15	3	8	145.75	1		30.643323
29	100	2	0	24	0	0	15	3	8	145.75	1		30.643323
27	94	3	0	24	6	0	9	4	6	90.56	0		53.319790
27	91	1	0	15	13	14	11	2	7	125.73	0		11.554654
27	92	1	0	15	13	21	11	2	7	125.73	0		11.554654
27	93	2	0	24	15	0	15	3	8	145.75	1		30.643323
10	28	3	0	24	6	6	9	4	6	90.56	0		53.319790
10	29	3	0	24	6	12	9	4	6	90.56	0		53.319790
10	30	3	0	24	6	18	9	4	6	90.56	0		53.319790
10	26	1	0	24	18	0	11	2	7	125.73	0		11.554654
10	27	1	0	24	18	7	11	2	7	125.73	0		11.554654
18	60	3	0	24	6	24	9	4	6	90.56	0		53.319790
18	58	1	0	24	18	14	11	2	7	125.73	0		11.554654
