Name:				143_n060_m200_bt10_7451
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		449.85
Calculation_Time:		50.67
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		15
No_of_Items:			55
Customer_Sequence:		10 22 11 18 13 17 12 16 1 20 7 5 15 4 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	29	9	0	0	0	0	14	7	7	116.97	0		13.959498
8	27	6	0	0	7	0	6	6	8	185.90	0		37.806085
8	28	7	0	0	13	0	11	7	6	209.66	1		3.664384
4	13	5	0	0	0	7	16	6	8	344.68	0		9.156027
4	12	2	0	0	20	0	11	5	6	102.37	0		22.463061
4	14	7	0	0	13	6	11	7	6	209.66	1		3.664384
15	49	6	0	0	6	8	6	6	8	185.90	0		37.806085
16	54	5	0	0	0	15	16	6	8	344.68	0		9.156027
15	50	7	0	0	12	12	11	7	6	209.66	1		3.664384
20	66	3	0	11	7	0	17	6	8	268.34	1		16.561874
5	18	9	0	11	13	0	14	7	7	116.97	0		13.959498
5	16	2	0	0	20	6	11	5	6	102.37	0		22.463061
5	15	1	0	0	20	12	11	4	6	49.49	0		6.159032
5	19	10	0	11	20	0	15	2	6	104.38	0		50.991222
12	39	2	0	0	19	18	11	5	6	102.37	0		22.463061
5	17	3	0	11	13	7	17	6	8	268.34	1		16.561874
7	26	8	0	0	6	16	6	6	8	129.01	0		6.880305
7	23	3	0	11	13	15	17	6	8	268.34	1		16.561874
7	24	7	0	0	12	18	11	7	6	209.66	1		3.664384
7	25	7	1	0	6	24	11	7	6	209.66	1		3.664384
15	51	7	0	16	0	0	11	7	6	209.66	1		3.664384
20	67	7	0	16	0	6	11	7	6	209.66	1		3.664384
1	3	5	0	27	0	0	16	6	8	344.68	0		9.156027
1	1	2	0	26	19	0	11	5	6	102.37	0		22.463061
1	4	6	0	25	19	6	6	6	8	185.90	0		37.806085
1	5	6	0	28	6	0	6	6	8	185.90	0		37.806085
1	2	3	0	11	7	8	17	6	8	268.34	1		16.561874
16	55	7	0	16	0	12	11	7	6	209.66	1		3.664384
16	53	2	0	0	0	23	11	5	6	102.37	0		22.463061
15	52	10	0	11	22	0	15	2	6	104.38	0		50.991222
12	42	5	0	27	0	8	16	6	8	344.68	0		9.156027
7	22	2	0	11	20	6	11	5	6	102.37	0		22.463061
12	41	4	0	0	19	24	11	6	6	116.62	0		6.333622
18	59	4	0	27	0	16	11	6	6	116.62	0		6.333622
12	40	3	0	11	7	16	17	6	8	268.34	1		16.561874
17	58	9	0	28	12	0	14	7	7	116.97	0		13.959498
17	56	6	0	25	19	14	6	6	8	185.90	0		37.806085
17	57	7	0	11	13	23	11	7	6	209.66	1		3.664384
13	44	5	0	28	12	7	16	6	8	344.68	0		9.156027
13	43	3	0	28	12	15	17	6	8	268.34	1		16.561874
12	38	1	0	34	6	0	11	4	6	49.49	0		6.159032
18	60	5	0	37	19	0	16	6	8	344.68	0		9.156027
13	45	7	0	16	0	18	11	7	6	209.66	1		3.664384
18	61	6	0	25	19	22	6	6	8	185.90	0		37.806085
11	36	4	0	27	0	22	11	6	6	116.62	0		6.333622
11	35	3	0	37	19	8	17	6	8	268.34	1		16.561874
22	71	6	0	28	6	8	6	6	8	185.90	0		37.806085
22	75	9	0	45	0	0	14	7	7	116.97	0		13.959498
11	37	7	0	16	0	24	11	7	6	209.66	1		3.664384
22	74	8	0	28	6	16	6	6	8	129.01	0		6.880305
10	34	8	0	38	0	16	6	6	8	129.01	0		6.880305
22	73	7	0	28	12	23	11	7	6	209.66	1		3.664384
10	33	5	0	43	0	7	16	6	8	344.68	0		9.156027
10	32	1	0	44	0	15	11	4	6	49.49	0		6.159032
22	72	7	0	45	7	0	11	7	6	209.66	1		3.664384


