Name:				174_n060_m200_bt10_8816
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1237.64
Calculation_Time:		357.49
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		26
No_of_Items:			91
Customer_Sequence:		17 23 1 7 14 10 26 3 29 5 15 11 6 8 2 18 30 27 22 19 12 28 21 16 20 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	46	2	0	0	0	0	16	6	3	197.59	0		70.137686
13	47	5	0	0	6	0	9	5	5	203.26	0		35.941717
13	48	7	0	0	11	0	10	6	3	88.31	0		26.072937
13	49	9	0	0	17	0	10	7	7	224.06	1		5.728425
20	71	5	0	0	0	3	9	5	5	203.26	0		35.941717
20	70	3	0	0	11	3	10	3	3	42.38	0		44.859019
16	58	5	0	0	5	5	9	5	5	203.26	0		35.941717
16	57	4	0	9	6	0	15	3	8	132.65	1		5.882159
21	74	10	0	0	0	8	7	5	7	106.04	0		16.208802
21	72	6	0	10	9	0	17	3	4	95.34	0		9.474560
21	73	9	0	0	17	7	10	7	7	224.06	1		5.728425
28	92	2	0	10	12	0	16	6	3	197.59	0		70.137686
28	93	7	0	0	5	10	10	6	3	88.31	0		26.072937
28	94	8	0	0	14	3	15	3	3	69.14	0		24.532575
12	41	2	0	0	11	6	16	6	3	197.59	0		70.137686
12	43	8	0	0	11	9	15	3	3	69.14	0		24.532575
12	44	8	0	0	14	9	15	3	3	69.14	0		24.532575
12	45	9	0	0	5	13	10	7	7	224.06	1		5.728425
12	42	4	0	0	12	12	15	3	8	132.65	1		5.882159
19	66	1	0	10	18	0	17	3	8	128.08	0		5.077631
19	67	5	0	0	0	15	9	5	5	203.26	0		35.941717
2	9	10	0	0	0	20	7	5	7	106.04	0		16.208802
19	69	8	0	10	21	0	15	3	3	69.14	0		24.532575
22	76	7	0	16	0	0	10	6	3	88.31	0		26.072937
8	29	7	0	10	0	3	10	6	3	88.31	0		26.072937
27	88	1	0	10	21	3	17	3	8	128.08	0		5.077631
27	89	2	0	26	0	0	16	6	3	197.59	0		70.137686
27	90	6	0	10	18	8	17	3	4	95.34	0		9.474560
27	91	9	0	0	17	14	10	7	7	224.06	1		5.728425
30	98	1	0	10	21	11	17	3	8	128.08	0		5.077631
30	99	2	0	26	12	0	16	6	3	197.59	0		70.137686
30	101	10	0	16	12	3	7	5	7	106.04	0		16.208802
30	100	6	0	10	18	12	17	3	4	95.34	0		9.474560
18	62	2	0	23	12	3	16	6	3	197.59	0		70.137686
18	65	10	0	15	12	10	7	5	7	106.04	0		16.208802
18	63	4	0	0	12	20	15	3	8	132.65	1		5.882159
18	64	4	0	10	18	16	15	3	8	132.65	1		5.882159
2	5	1	0	10	21	19	17	3	8	128.08	0		5.077631
19	68	6	0	24	6	0	17	3	4	95.34	0		9.474560
2	7	8	0	10	21	27	15	3	3	69.14	0		24.532575
2	8	9	0	0	5	20	10	7	7	224.06	1		5.728425
2	6	4	0	10	6	8	15	3	8	132.65	1		5.882159
8	30	10	0	9	0	6	7	5	7	106.04	0		16.208802
8	27	2	0	20	0	3	16	6	3	197.59	0		70.137686
8	28	5	0	9	0	13	9	5	5	203.26	0		35.941717
22	75	4	0	27	9	0	15	3	8	132.65	1		5.882159
6	20	1	0	18	0	6	17	3	8	128.08	0		5.077631
6	21	9	0	27	18	0	10	7	7	224.06	1		5.728425
11	38	2	0	23	12	6	16	6	3	197.59	0		70.137686
15	55	9	0	27	18	7	10	7	7	224.06	1		5.728425
11	40	9	0	37	18	0	10	7	7	224.06	1		5.728425
15	54	3	0	9	0	18	10	3	3	42.38	0		44.859019
5	18	2	0	23	12	9	16	6	3	197.59	0		70.137686
15	56	9	0	27	18	14	10	7	7	224.06	1		5.728425
11	39	8	0	18	3	6	15	3	3	69.14	0		24.532575
5	19	9	0	27	18	21	10	7	7	224.06	1		5.728425
7	23	4	0	10	6	16	15	3	8	132.65	1		5.882159
