Name:				197_n100_m200_bt3_9427
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1697.92
Calculation_Time:		7.16
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		38
No_of_Items:			80
Customer_Sequence:		14 29 37 35 33 30 21 12 19 20 8 28 3 24 11 18 26 1 2 39 10 31 32 6 38 17 16 7 4 40 27 5 36 34 9 15 41 22 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
22	49	3	0	0	0	0	9	6	7	150.11	0		31.816199
41	82	3	0	0	6	0	9	6	7	150.11	0		31.816199
41	83	3	0	0	12	0	9	6	7	150.11	0		31.816199
15	33	3	0	0	18	0	9	6	7	150.11	0		31.816199
15	32	2	0	0	0	7	11	3	8	166.14	0		24.836193
15	31	1	0	0	3	7	12	6	5	322.37	1		20.733629
9	21	3	0	0	9	7	9	6	7	150.11	0		31.816199
9	19	2	0	0	15	7	11	3	8	166.14	0		24.836193
9	20	2	0	0	18	7	11	3	8	166.14	0		24.836193
34	68	3	0	0	9	14	9	6	7	150.11	0		31.816199
34	69	3	0	0	15	15	9	6	7	150.11	0		31.816199
36	71	1	0	0	3	12	12	6	5	322.37	1		20.733629
36	72	1	0	0	3	17	12	6	5	322.37	1		20.733629
36	73	1	0	0	9	21	12	6	5	322.37	1		20.733629
5	12	3	0	0	15	22	9	6	7	150.11	0		31.816199
5	11	1	0	0	3	22	12	6	5	322.37	1		20.733629
27	57	3	0	11	15	0	9	6	7	150.11	0		31.816199
27	56	1	0	11	15	7	12	6	5	322.37	1		20.733629
40	80	2	0	0	21	7	11	3	8	166.14	0		24.836193
40	81	2	0	0	0	15	11	3	8	166.14	0		24.836193
40	79	1	0	11	15	12	12	6	5	322.37	1		20.733629
4	10	3	0	12	0	0	9	6	7	150.11	0		31.816199
4	8	1	0	9	15	17	12	6	5	322.37	1		20.733629
4	9	1	0	9	15	22	12	6	5	322.37	1		20.733629
7	15	3	0	12	6	0	9	6	7	150.11	0		31.816199
7	14	2	0	0	21	15	11	3	8	166.14	0		24.836193
16	35	3	0	12	0	7	9	6	7	150.11	0		31.816199
16	34	2	0	11	21	0	11	3	8	166.14	0		24.836193
17	38	2	0	11	21	8	11	3	8	166.14	0		24.836193
17	36	1	0	12	6	7	12	6	5	322.37	1		20.733629
17	37	1	0	12	6	12	12	6	5	322.37	1		20.733629
38	75	3	0	12	0	14	9	6	7	150.11	0		31.816199
6	13	3	0	12	0	21	9	6	7	150.11	0		31.816199
32	66	1	0	12	6	17	12	6	5	322.37	1		20.733629
31	65	3	0	21	0	0	9	6	7	150.11	0		31.816199
31	64	2	0	11	21	16	11	3	8	166.14	0		24.836193
31	63	1	0	12	6	22	12	6	5	322.37	1		20.733629
10	22	3	0	21	0	7	9	6	7	150.11	0		31.816199
10	23	3	0	21	0	14	9	6	7	150.11	0		31.816199
39	77	3	0	21	0	21	9	6	7	150.11	0		31.816199
39	78	3	0	23	12	0	9	6	7	150.11	0		31.816199
39	76	2	0	12	12	0	11	3	8	166.14	0		24.836193
2	3	3	0	23	18	0	9	6	7	150.11	0		31.816199
2	4	3	0	23	12	7	9	6	7	150.11	0		31.816199
1	2	2	0	22	21	7	11	3	8	166.14	0		24.836193
1	1	1	0	23	12	14	12	6	5	322.37	1		20.733629
26	54	2	0	22	21	15	11	3	8	166.14	0		24.836193
26	55	2	0	23	18	7	11	3	8	166.14	0		24.836193
18	39	2	0	23	18	15	11	3	8	166.14	0		24.836193
11	25	3	0	22	18	23	9	6	7	150.11	0		31.816199
11	26	3	0	24	6	0	9	6	7	150.11	0		31.816199
11	24	1	0	21	12	19	12	6	5	322.37	1		20.733629
24	51	2	0	24	6	7	11	3	8	166.14	0		24.836193
24	52	2	0	24	9	7	11	3	8	166.14	0		24.836193
3	7	3	0	24	6	15	9	6	7	150.11	0		31.816199
3	5	2	0	24	6	22	11	3	8	166.14	0		24.836193
3	6	2	0	24	9	22	11	3	8	166.14	0		24.836193
28	59	3	0	30	0	0	9	6	7	150.11	0		31.816199
28	58	2	0	30	0	7	11	3	8	166.14	0		24.836193
8	18	2	0	30	3	7	11	3	8	166.14	0		24.836193
8	16	1	0	21	12	24	12	6	5	322.37	1		20.733629
8	17	1	0	30	0	15	12	6	5	322.37	1		20.733629
20	44	3	0	34	18	0	9	6	7	150.11	0		31.816199
20	45	3	0	34	18	7	9	6	7	150.11	0		31.816199
20	43	2	0	33	21	14	11	3	8	166.14	0		24.836193
19	41	3	0	35	6	0	9	6	7	150.11	0		31.816199
19	42	3	0	35	12	0	9	6	7	150.11	0		31.816199
19	40	1	0	30	0	20	12	6	5	322.37	1		20.733629
12	28	2	0	33	21	22	11	3	8	166.14	0		24.836193
12	27	1	0	30	0	25	12	6	5	322.37	1		20.733629
21	48	3	0	35	6	7	9	6	7	150.11	0		31.816199
21	46	1	0	35	12	7	12	6	5	322.37	1		20.733629
21	47	1	0	35	12	12	12	6	5	322.37	1		20.733629
30	62	3	0	35	6	14	9	6	7	150.11	0		31.816199
30	61	2	0	34	18	14	11	3	8	166.14	0		24.836193
33	67	3	0	35	6	21	9	6	7	150.11	0		31.816199
35	70	1	0	35	12	17	12	6	5	322.37	1		20.733629
37	74	2	0	34	18	22	11	3	8	166.14	0		24.836193
29	60	1	0	33	12	22	12	6	5	322.37	1		20.733629
14	30	1	0	42	0	0	12	6	5	322.37	1		20.733629


