Name:				198_n100_m200_bt3_9474
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2208.47
Calculation_Time:		19.24
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		58
No_of_Items:			116
Customer_Sequence:		17 15 54 44 36 6 40 48 53 27 24 55 18 19 62 12 11 39 37 57 46 42 35 28 56 31 47 22 25 26 4 38 20 5 45 50 43 41 32 60 13 29 34 21 10 23 2 1 52 3 14 30 8 49 7 16 51 33 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
33	61	3	0	0	0	0	9	3	5	47.24	0		8.740837
33	60	1	0	0	3	0	14	6	4	248.40	1		6.923214
51	100	1	0	0	9	0	14	6	4	248.40	1		6.923214
16	30	2	0	0	15	0	10	3	7	160.97	0		65.527841
16	31	2	0	0	18	0	10	3	7	160.97	0		65.527841
16	29	1	0	0	3	4	14	6	4	248.40	1		6.923214
7	14	3	0	0	21	0	9	3	5	47.24	0		8.740837
7	13	1	0	0	9	4	14	6	4	248.40	1		6.923214
49	97	2	0	0	0	5	10	3	7	160.97	0		65.527841
49	98	3	0	0	21	5	9	3	5	47.24	0		8.740837
49	96	1	0	0	3	8	14	6	4	248.40	1		6.923214
8	15	2	0	0	15	7	10	3	7	160.97	0		65.527841
30	57	1	0	0	9	8	14	6	4	248.40	1		6.923214
14	25	2	0	0	18	7	10	3	7	160.97	0		65.527841
14	26	3	0	0	21	10	9	3	5	47.24	0		8.740837
14	27	3	0	0	0	12	9	3	5	47.24	0		8.740837
3	5	3	0	0	15	14	9	3	5	47.24	0		8.740837
3	6	3	0	0	18	14	9	3	5	47.24	0		8.740837
52	101	2	0	0	21	15	10	3	7	160.97	0		65.527841
52	102	2	0	0	0	17	10	3	7	160.97	0		65.527841
1	1	2	0	0	15	19	10	3	7	160.97	0		65.527841
2	2	2	0	0	18	19	10	3	7	160.97	0		65.527841
2	3	2	0	0	21	22	10	3	7	160.97	0		65.527841
2	4	3	0	0	0	24	9	3	5	47.24	0		8.740837
23	43	3	0	10	15	0	9	3	5	47.24	0		8.740837
23	44	3	0	10	18	0	9	3	5	47.24	0		8.740837
10	18	3	0	10	21	0	9	3	5	47.24	0		8.740837
10	17	1	0	0	3	12	14	6	4	248.40	1		6.923214
21	40	1	0	0	9	12	14	6	4	248.40	1		6.923214
21	41	1	0	0	3	16	14	6	4	248.40	1		6.923214
34	62	2	0	10	0	0	10	3	7	160.97	0		65.527841
34	63	3	0	10	15	5	9	3	5	47.24	0		8.740837
29	56	2	0	10	18	5	10	3	7	160.97	0		65.527841
13	23	2	0	10	21	5	10	3	7	160.97	0		65.527841
13	24	3	0	10	0	7	9	3	5	47.24	0		8.740837
13	22	1	0	0	9	16	14	6	4	248.40	1		6.923214
60	117	2	0	10	15	10	10	3	7	160.97	0		65.527841
60	116	1	0	0	3	20	14	6	4	248.40	1		6.923214
