Name:				202_n100_m200_bt10_9748
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2503.59
Calculation_Time:		310.80
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		70
No_of_Items:			147
Customer_Sequence:		30 19 65 50 64 16 17 37 52 48 54 5 12 55 11 14 67 23 49 68 33 7 27 38 20 69 3 43 71 72 6 26 46 44 60 61 28 70 13 25 40 4 45 47 41 39 31 29 2 56 8 51 36 34 63 1 73 58 35 21 9 53 10 32 22 57 15 59 24 18 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
18	41	9	0	0	0	0	16	2	5	59.29	0		8.932803
18	40	8	0	0	2	0	7	5	4	113.18	0		14.688655
18	39	3	0	0	7	0	13	3	8	291.89	1		16.838623
24	51	3	0	0	10	0	13	3	8	291.89	1		16.838623
59	119	9	0	0	13	0	16	2	5	59.29	0		8.932803
15	33	5	0	0	15	0	17	6	4	229.14	0		9.084010
15	34	5	0	0	15	4	17	6	4	229.14	0		9.084010
15	35	9	0	0	21	0	16	2	5	59.29	0		8.932803
57	116	6	0	0	2	4	7	3	8	58.68	0		5.315889
57	117	10	0	0	15	8	9	3	5	108.92	0		72.306617
46	95	6	0	0	18	8	7	3	8	58.68	0		5.315889
22	49	10	0	0	2	12	9	3	5	108.92	0		72.306617
32	66	8	0	9	2	0	7	5	4	113.18	0		14.688655
10	21	9	0	0	23	0	16	2	5	59.29	0		8.932803
10	19	1	0	0	21	5	6	3	4	47.10	0		10.486189
10	20	3	0	0	7	8	13	3	8	291.89	1		16.838623
53	110	9	0	0	5	4	16	2	5	59.29	0		8.932803
9	17	2	0	13	7	0	12	5	3	114.89	1		13.862504
9	18	2	0	13	7	3	12	5	3	114.89	1		13.862504
21	46	1	0	0	21	9	6	3	4	47.10	0		10.486189
21	47	3	0	0	10	8	13	3	8	291.89	1		16.838623
35	69	9	0	0	0	5	16	2	5	59.29	0		8.932803
58	118	7	0	0	13	5	7	2	8	90.88	0		41.141988
73	149	6	0	0	13	13	7	3	8	58.68	0		5.315889
73	150	9	0	0	5	9	16	2	5	59.29	0		8.932803
1	2	10	0	0	2	17	9	3	5	108.92	0		72.306617
1	1	2	0	0	7	16	12	5	3	114.89	1		13.862504
63	126	6	0	0	21	13	7	3	8	58.68	0		5.315889
63	125	1	0	0	13	21	6	3	4	47.10	0		10.486189
34	68	5	0	16	0	0	17	6	4	229.14	0		9.084010
36	71	6	0	0	21	21	7	3	8	58.68	0		5.315889
36	72	10	0	0	2	22	9	3	5	108.92	0		72.306617
36	70	2	0	0	7	19	12	5	3	114.89	1		13.862504
51	107	5	0	16	0	4	17	6	4	229.14	0		9.084010
51	106	4	0	0	0	10	12	2	6	105.04	0		26.439171
51	108	7	0	0	16	13	7	2	8	90.88	0		41.141988
8	16	2	0	0	7	22	12	5	3	114.89	1		13.862504
56	115	10	0	7	21	5	9	3	5	108.92	0		72.306617
2	3	9	0	0	5	14	16	2	5	59.29	0		8.932803
29	61	5	0	16	0	8	17	6	4	229.14	0		9.084010
29	62	10	0	7	21	10	9	3	5	108.92	0		72.306617
31	65	9	0	0	0	16	16	2	5	59.29	0		8.932803
31	64	1	0	0	13	25	6	3	4	47.10	0		10.486189
39	78	6	0	7	21	15	7	3	8	58.68	0		5.315889
39	79	8	0	16	0	12	7	5	4	113.18	0		14.688655
39	80	10	0	7	21	23	9	3	5	108.92	0		72.306617
41	86	6	0	9	15	8	7	3	8	58.68	0		5.315889
41	84	1	0	9	15	16	6	3	4	47.10	0		10.486189
41	85	2	0	0	7	25	12	5	3	114.89	1		13.862504
47	98	9	0	0	5	19	16	2	5	59.29	0		8.932803
47	96	4	0	0	0	21	12	2	6	105.04	0		26.439171
47	97	7	0	0	16	21	7	2	8	90.88	0		41.141988
45	91	5	0	17	12	0	17	6	4	229.14	0		9.084010
45	93	9	0	0	5	24	16	2	5	59.29	0		8.932803
45	92	8	0	16	0	16	7	5	4	113.18	0		14.688655
