Name:				203_n100_m200_bt10_9781
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2024.88
Calculation_Time:		135.98
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		46
No_of_Items:			91
Customer_Sequence:		18 21 19 10 24 41 40 30 13 27 14 26 28 39 25 31 23 17 5 44 3 4 2 34 12 38 49 1 7 9 11 42 45 20 47 8 33 6 48 15 29 43 32 46 35 36 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
36	68	3	0	0	0	0	9	7	8	262.16	0		20.790448
36	69	7	0	0	7	0	9	6	7	308.94	0		43.335689
36	70	7	0	0	13	0	9	6	7	308.94	0		43.335689
35	67	3	0	0	7	7	9	7	8	262.16	0		20.790448
46	88	8	0	0	19	0	14	4	3	137.89	0		66.062702
46	89	8	0	0	19	3	14	4	3	137.89	0		66.062702
32	62	9	0	0	0	8	12	6	5	321.41	0		26.813054
32	61	8	0	0	19	6	14	4	3	137.89	0		66.062702
15	30	2	0	0	0	13	15	6	4	207.06	1		10.118637
43	83	7	0	0	6	15	9	6	7	308.94	0		43.335689
43	84	8	0	0	19	9	14	4	3	137.89	0		66.062702
29	55	7	0	0	6	22	9	6	7	308.94	0		43.335689
47	91	5	0	0	23	0	14	2	8	129.02	1		4.941426
32	60	6	0	9	0	0	13	3	3	71.88	0		17.868102
48	92	9	0	9	6	0	12	6	5	321.41	0		26.813054
6	12	8	0	0	19	12	14	4	3	137.89	0		66.062702
6	11	6	0	0	19	15	13	3	3	71.88	0		17.868102
6	10	2	0	0	0	17	15	6	4	207.06	1		10.118637
33	64	7	0	9	12	0	9	6	7	308.94	0		43.335689
33	65	9	0	9	6	5	12	6	5	321.41	0		26.813054
7	15	10	0	0	14	7	12	3	8	178.15	0		19.412832
8	17	9	0	9	6	10	12	6	5	321.41	0		26.813054
8	16	6	0	0	19	18	13	3	3	71.88	0		17.868102
47	90	3	0	9	6	15	9	7	8	262.16	0		20.790448
29	56	7	0	22	0	0	9	6	7	308.94	0		43.335689
20	39	3	0	21	6	0	9	7	8	262.16	0		20.790448
