Name:				226_n100_m200_bt3_10239
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1842.97
Calculation_Time:		13.15
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		50
No_of_Items:			101
Customer_Sequence:		45 8 49 7 42 11 35 43 39 37 50 36 29 12 13 25 47 48 10 4 22 26 3 23 1 40 28 19 24 14 53 21 31 5 38 52 30 17 9 27 2 16 44 6 15 46 33 41 18 34 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
34	66	2	0	0	0	0	9	7	6	171.93	0		13.634740
34	67	2	0	0	7	0	9	7	6	171.93	0		13.634740
18	36	3	0	0	14	0	13	2	6	104.47	0		16.725813
18	37	3	0	0	16	0	13	2	6	104.47	0		16.725813
18	35	1	0	0	18	0	16	3	5	172.02	1		5.599234
41	82	3	0	0	21	0	13	2	6	104.47	0		16.725813
41	80	1	0	0	18	5	16	3	5	172.02	1		5.599234
41	81	1	1	0	0	6	16	3	5	172.02	1		5.599234
33	65	3	0	0	23	0	13	2	6	104.47	0		16.725813
33	64	1	0	0	21	6	16	3	5	172.02	1		5.599234
46	89	1	0	0	18	10	16	3	5	172.02	1		5.599234
46	90	1	1	0	0	11	16	3	5	172.02	1		5.599234
15	31	2	1	3	0	6	9	7	6	171.93	0		13.634740
15	32	3	0	0	16	6	13	2	6	104.47	0		16.725813
6	12	3	0	0	16	12	13	2	6	104.47	0		16.725813
44	86	2	0	3	9	6	9	7	6	171.93	0		13.634740
16	33	2	0	3	0	12	9	7	6	171.93	0		13.634740
2	4	2	0	3	7	12	9	7	6	171.93	0		13.634740
27	53	2	0	3	0	18	9	7	6	171.93	0		13.634740
27	54	3	0	0	16	18	13	2	6	104.47	0		16.725813
27	52	1	0	0	21	11	16	3	5	172.02	1		5.599234
9	19	1	0	0	18	15	16	3	5	172.02	1		5.599234
17	34	1	0	0	21	16	16	3	5	172.02	1		5.599234
30	60	3	0	0	16	24	13	2	6	104.47	0		16.725813
30	59	1	0	0	18	20	16	3	5	172.02	1		5.599234
52	101	2	0	3	7	18	9	7	6	171.93	0		13.634740
52	102	3	1	3	0	24	13	2	6	104.47	0		16.725813
52	100	1	0	0	21	21	16	3	5	172.02	1		5.599234
38	74	2	0	5	0	24	9	7	6	171.93	0		13.634740
38	75	3	0	12	0	0	13	2	6	104.47	0		16.725813
5	9	2	0	5	7	24	9	7	6	171.93	0		13.634740
5	10	2	0	12	7	0	9	7	6	171.93	0		13.634740
5	11	3	0	13	14	0	13	2	6	104.47	0		16.725813
31	61	1	0	0	18	25	16	3	5	172.02	1		5.599234
21	41	2	0	14	7	6	9	7	6	171.93	0		13.634740
21	40	1	0	16	16	0	16	3	5	172.02	1		5.599234
53	105	2	0	14	7	12	9	7	6	171.93	0		13.634740
53	103	1	0	16	19	0	16	3	5	172.02	1		5.599234
53	104	1	0	16	22	0	16	3	5	172.02	1		5.599234
