Name:				229_n100_m200_bt3_10549
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		3421.42
Calculation_Time:		103.04
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		86
No_of_Items:			176
Customer_Sequence:		23 79 71 29 17 28 41 54 27 3 74 32 6 1 46 19 39 81 73 13 10 12 76 70 36 18 65 75 52 2 4 16 24 25 35 85 9 37 72 57 31 47 87 77 59 43 62 5 20 53 60 68 78 83 22 82 15 64 55 88 48 30 56 40 58 7 86 67 51 34 63 45 14 11 49 84 61 26 8 50 38 44 33 80 21 66 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
66	133	2	0	0	0	0	15	4	3	90.29	0		25.200705
21	40	3	0	0	4	0	10	3	5	62.60	1		2.641948
21	41	3	0	0	7	0	10	3	5	62.60	1		2.641948
80	162	2	0	0	10	0	15	4	3	90.29	0		25.200705
80	163	2	0	0	14	0	15	4	3	90.29	0		25.200705
33	65	1	0	0	18	0	7	3	6	234.58	0		39.219102
33	66	1	0	0	21	0	7	3	6	234.58	0		39.219102
33	67	3	0	0	0	3	10	3	5	62.60	1		2.641948
44	90	3	0	0	10	3	10	3	5	62.60	1		2.641948
38	77	2	0	0	13	3	15	4	3	90.29	0		25.200705
50	103	3	0	0	4	5	10	3	5	62.60	1		2.641948
50	104	3	0	0	7	5	10	3	5	62.60	1		2.641948
8	16	2	0	0	13	6	15	4	3	90.29	0		25.200705
8	15	1	1	0	17	6	7	3	6	234.58	0		39.219102
8	17	3	0	0	0	8	10	3	5	62.60	1		2.641948
26	50	1	0	0	13	9	7	3	6	234.58	0		39.219102
26	51	1	1	0	16	12	7	3	6	234.58	0		39.219102
26	52	3	0	0	10	8	10	3	5	62.60	1		2.641948
61	123	2	0	7	18	0	15	4	3	90.29	0		25.200705
61	124	2	0	7	17	3	15	4	3	90.29	0		25.200705
61	125	3	0	0	4	10	10	3	5	62.60	1		2.641948
84	170	1	0	0	13	15	7	3	6	234.58	0		39.219102
84	171	3	0	0	7	10	10	3	5	62.60	1		2.641948
49	100	2	0	3	17	6	15	4	3	90.29	0		25.200705
49	101	2	0	3	16	9	15	4	3	90.29	0		25.200705
49	102	3	0	0	0	13	10	3	5	62.60	1		2.641948
11	22	2	0	3	16	12	15	4	3	90.29	0		25.200705
11	21	1	1	0	16	18	7	3	6	234.58	0		39.219102
14	27	1	0	0	13	21	7	3	6	234.58	0		39.219102
45	91	2	0	3	16	15	15	4	3	90.29	0		25.200705
