Name:				235_n100_m200_bt10_10896
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2001.70
Calculation_Time:		15.50
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		55
No_of_Items:			103
Customer_Sequence:		51 13 29 37 24 33 20 57 53 3 50 30 10 5 56 35 44 58 31 12 52 42 17 47 7 23 36 48 34 46 49 1 54 27 6 9 14 21 26 2 38 11 4 45 16 18 8 55 25 40 41 15 32 19 43 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
43	77	10	0	0	0	0	9	5	8	248.17	0		71.144329
43	76	7	0	0	5	0	8	2	7	41.55	0		10.454082
43	75	4	0	0	7	0	6	3	4	27.70	1		4.527884
19	34	10	0	0	10	0	9	5	8	248.17	0		71.144329
19	32	7	0	0	15	0	8	2	7	41.55	0		10.454082
19	33	9	0	0	17	0	8	4	8	160.79	1		25.465804
32	54	10	0	0	0	8	9	5	8	248.17	0		71.144329
15	26	8	0	0	21	0	17	4	5	247.90	0		10.701245
41	70	8	0	0	21	5	17	4	5	247.90	0		10.701245
41	71	9	0	0	10	8	8	4	8	160.79	1		25.465804
40	68	7	0	0	5	7	8	2	7	41.55	0		10.454082
40	69	9	0	0	17	8	8	4	8	160.79	1		25.465804
25	43	2	0	8	15	0	13	6	6	262.76	0		58.664146
55	101	3	0	8	5	0	15	5	4	147.94	0		46.196444
8	13	10	0	0	0	16	9	5	8	248.17	0		71.144329
8	11	1	0	0	21	10	6	4	6	72.90	0		8.997280
8	12	9	0	0	10	16	8	4	8	160.79	1		25.465804
18	31	7	0	0	15	7	8	2	7	41.55	0		10.454082
18	30	4	0	0	7	4	6	3	4	27.70	1		4.527884
16	27	4	0	0	7	8	6	3	4	27.70	1		4.527884
45	81	8	0	8	5	4	17	4	5	247.90	0		10.701245
45	80	7	0	0	5	14	8	2	7	41.55	0		10.454082
45	79	4	0	0	7	12	6	3	4	27.70	1		4.527884
4	4	2	0	8	15	6	13	6	6	262.76	0		58.664146
4	6	5	0	8	5	9	17	5	4	317.59	0		16.544576
4	5	4	0	0	7	16	6	3	4	27.70	1		4.527884
11	20	9	0	0	17	16	8	4	8	160.79	1		25.465804
11	18	4	0	0	21	16	6	3	4	27.70	1		4.527884
11	19	4	0	0	7	20	6	3	4	27.70	1		4.527884
38	64	2	0	8	15	12	13	6	6	262.76	0		58.664146
38	65	5	0	8	5	13	17	5	4	317.59	0		16.544576
38	66	6	0	8	5	17	17	5	3	81.72	0		11.179608
2	2	5	0	8	15	18	17	5	4	317.59	0		16.544576
26	44	9	0	6	21	10	8	4	8	160.79	1		25.465804
21	37	5	0	8	5	20	17	5	4	317.59	0		16.544576
21	38	9	0	6	21	18	8	4	8	160.79	1		25.465804
14	25	4	0	0	0	24	6	3	4	27.70	1		4.527884
9	14	3	0	8	15	22	15	5	4	147.94	0		46.196444
6	9	8	0	6	5	24	17	4	5	247.90	0		10.701245
27	45	1	0	9	0	0	6	4	6	72.90	0		8.997280
54	100	10	0	9	10	0	9	5	8	248.17	0		71.144329
54	99	5	0	8	15	26	17	5	4	317.59	0		16.544576
1	1	8	0	15	0	0	17	4	5	247.90	0		10.701245
49	91	8	0	15	0	5	17	4	5	247.90	0		10.701245
49	90	6	0	15	0	10	17	5	3	81.72	0		11.179608
46	82	10	0	8	10	8	9	5	8	248.17	0		71.144329
46	83	10	0	8	10	16	9	5	8	248.17	0		71.144329
34	56	5	0	15	0	13	17	5	4	317.59	0		16.544576
34	57	9	0	15	0	17	8	4	8	160.79	1		25.465804
48	87	3	0	18	10	0	15	5	4	147.94	0		46.196444
48	88	6	0	18	10	4	17	5	3	81.72	0		11.179608
48	89	7	0	17	21	0	8	2	7	41.55	0		10.454082
36	59	2	0	25	15	0	13	6	6	262.76	0		58.664146
36	60	4	0	0	9	24	6	3	4	27.70	1		4.527884
23	40	1	0	8	9	24	6	4	6	72.90	0		8.997280
7	10	3	0	18	10	7	15	5	4	147.94	0		46.196444
47	84	5	0	17	10	11	17	5	4	317.59	0		16.544576
47	85	5	0	17	10	15	17	5	4	317.59	0		16.544576
47	86	6	0	17	10	19	17	5	3	81.72	0		11.179608
