Name:				263_n100_m200_bt10_11944
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1901.82
Calculation_Time:		49.43
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		44
No_of_Items:			92
Customer_Sequence:		42 12 28 45 33 43 31 26 24 48 40 15 3 23 17 6 14 9 44 30 8 27 4 18 38 32 1 22 16 21 36 2 7 11 5 19 13 37 29 25 35 34 10 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	40	9	0	0	0	0	14	4	6	263.57	0		20.142201
10	22	8	0	0	4	0	12	6	7	368.46	0		11.811923
10	21	3	0	0	10	0	13	2	6	75.12	0		16.259331
34	72	10	0	0	12	0	12	6	8	646.97	1		9.536392
35	74	8	0	0	18	0	12	6	7	368.46	0		11.811923
35	75	9	0	0	0	6	14	4	6	263.57	0		20.142201
35	73	6	0	0	10	6	9	2	8	67.54	0		11.687348
25	53	7	0	0	18	7	10	7	3	193.45	0		90.438159
25	51	3	0	0	4	7	13	2	6	75.12	0		16.259331
25	52	6	0	0	6	7	9	2	8	67.54	0		11.687348
29	62	8	0	0	18	10	12	6	7	368.46	0		11.811923
37	78	7	0	0	18	17	10	7	3	193.45	0		90.438159
13	26	9	0	0	0	12	14	4	6	263.57	0		20.142201
19	39	5	0	0	0	18	9	3	7	167.26	0		80.281458
19	38	3	0	0	8	7	13	2	6	75.12	0		16.259331
19	37	2	0	0	12	8	13	5	5	321.17	1		10.842052
5	11	8	0	0	18	20	12	6	7	368.46	0		11.811923
5	10	5	0	12	17	0	9	3	7	167.26	0		80.281458
5	9	2	0	0	12	13	13	5	5	321.17	1		10.842052
11	23	10	0	0	12	18	12	6	8	646.97	1		9.536392
7	15	7	0	0	18	27	10	7	3	193.45	0		90.438159
7	16	7	0	13	4	0	10	7	3	193.45	0		90.438159
7	14	6	0	0	4	13	9	2	8	67.54	0		11.687348
2	3	1	0	0	8	13	15	2	5	107.88	0		51.764591
2	4	2	0	12	20	0	13	5	5	321.17	1		10.842052
36	76	5	0	12	17	7	9	3	7	167.26	0		80.281458
36	77	6	0	0	10	14	9	2	8	67.54	0		11.687348
21	41	4	0	13	11	0	14	5	6	398.66	0		20.786381
16	31	4	0	13	10	6	14	5	6	398.66	0		20.786381
16	30	3	0	0	8	18	13	2	6	75.12	0		16.259331
16	32	10	0	13	10	12	12	6	8	646.97	1		9.536392
22	44	5	0	12	17	14	9	3	7	167.26	0		80.281458
22	42	1	0	0	8	24	15	2	5	107.88	0		51.764591
22	43	1	0	14	0	0	15	2	5	107.88	0		51.764591
1	1	6	0	0	6	15	9	2	8	67.54	0		11.687348
1	2	10	0	12	10	20	12	6	8	646.97	1		9.536392
32	69	6	0	0	4	21	9	2	8	67.54	0		11.687348
38	79	3	0	13	4	3	13	2	6	75.12	0		16.259331
38	80	6	0	12	17	21	9	2	8	67.54	0		11.687348
18	36	3	0	12	6	3	13	2	6	75.12	0		16.259331
4	7	3	0	9	6	9	13	2	6	75.12	0		16.259331
4	8	10	0	26	2	0	12	6	8	646.97	1		9.536392
27	57	4	0	25	16	0	14	5	6	398.66	0		20.786381
27	58	9	0	25	21	0	14	4	6	263.57	0		20.142201
27	56	1	0	9	6	15	15	2	5	107.88	0		51.764591
8	18	8	0	25	16	6	12	6	7	368.46	0		11.811923
8	17	5	0	25	22	6	9	3	7	167.26	0		80.281458
30	64	9	0	25	16	13	14	4	6	263.57	0		20.142201
30	65	10	0	26	2	8	12	6	8	646.97	1		9.536392
30	63	2	0	25	20	13	13	5	5	321.17	1		10.842052
44	88	7	0	38	0	0	10	7	3	193.45	0		90.438159
9	20	10	0	24	2	16	12	6	8	646.97	1		9.536392
17	35	8	0	27	8	0	12	6	7	368.46	0		11.811923
14	27	10	0	38	0	3	12	6	8	646.97	1		9.536392
6	13	7	0	39	14	0	10	7	3	193.45	0		90.438159
6	12	1	0	25	16	19	15	2	5	107.88	0		51.764591
9	19	2	0	24	2	24	13	5	5	321.17	1		10.842052
17	33	1	0	25	18	19	15	2	5	107.88	0		51.764591
17	34	6	0	15	8	3	9	2	8	67.54	0		11.687348
23	46	7	0	27	8	7	10	7	3	193.45	0		90.438159
23	47	7	0	27	8	10	10	7	3	193.45	0		90.438159
23	45	3	0	25	16	24	13	2	6	75.12	0		16.259331
3	5	4	0	39	7	0	14	5	6	398.66	0		20.786381
3	6	7	0	25	8	13	10	7	3	193.45	0		90.438159
15	28	4	0	39	6	6	14	5	6	398.66	0		20.786381
15	29	6	0	24	8	16	9	2	8	67.54	0		11.687348
40	84	8	0	38	6	12	12	6	7	368.46	0		11.811923
40	83	3	0	25	18	24	13	2	6	75.12	0		16.259331
40	82	2	0	25	20	18	13	5	5	321.17	1		10.842052
48	95	8	0	37	6	19	12	6	7	368.46	0		11.811923
48	96	8	1	53	0	0	12	6	7	368.46	0		11.811923
48	94	7	0	37	6	26	10	7	3	193.45	0		90.438159
24	49	7	0	40	13	3	10	7	3	193.45	0		90.438159
24	48	1	0	39	21	0	15	2	5	107.88	0		51.764591
