Name:				264_n100_m200_bt10_11985
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1998.91
Calculation_Time:		105.31
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		47
No_of_Items:			99
Customer_Sequence:		6 36 5 10 22 21 49 24 37 34 26 27 3 41 7 11 45 14 42 47 44 32 23 28 1 19 29 17 43 4 35 30 16 15 13 8 2 39 18 38 50 20 31 9 40 12 33 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
33	66	4	0	0	0	0	8	7	4	192.79	0		65.021396
12	22	2	0	0	7	0	9	3	4	72.83	0		30.185832
40	80	10	0	0	10	0	9	3	8	120.56	0		26.345544
9	17	10	0	0	13	0	9	3	8	120.56	0		26.345544
31	61	4	0	0	16	0	8	7	4	192.79	0		65.021396
31	62	6	0	0	0	4	6	4	8	258.50	1		8.149279
20	39	9	0	0	16	4	7	7	4	165.95	0		20.185029
20	38	2	0	0	4	4	9	3	4	72.83	0		30.185832
50	101	4	0	0	10	8	8	7	4	192.79	0		65.021396
50	100	2	0	0	7	4	9	3	4	72.83	0		30.185832
50	102	5	0	0	23	0	12	2	3	39.09	1		7.329585
38	75	3	0	0	4	8	12	6	6	160.26	0		19.364184
38	76	6	0	0	17	8	6	4	8	258.50	1		8.149279
38	77	6	0	0	0	12	6	4	8	258.50	1		8.149279
18	35	10	0	0	10	12	9	3	8	120.56	0		26.345544
18	34	5	0	0	23	3	12	2	3	39.09	1		7.329585
39	78	6	0	0	13	12	6	4	8	258.50	1		8.149279
30	60	10	0	0	4	14	9	3	8	120.56	0		26.345544
2	3	2	0	0	7	14	9	3	4	72.83	0		30.185832
8	16	8	0	8	16	0	13	5	8	169.49	0		4.609499
13	24	8	0	6	17	8	13	5	8	169.49	0		4.609499
13	23	6	0	0	17	16	6	4	8	258.50	1		8.149279
15	28	7	0	6	17	16	17	4	8	427.72	0		25.646521
15	27	1	0	6	17	24	16	4	5	280.68	0		55.510781
16	29	1	0	8	0	0	16	4	5	280.68	0		55.510781
16	31	10	0	0	7	18	9	3	8	120.56	0		26.345544
16	30	9	0	12	4	0	7	7	4	165.95	0		20.185029
39	79	6	0	0	0	20	6	4	8	258.50	1		8.149279
30	58	2	0	0	10	20	9	3	4	72.83	0		30.185832
30	59	2	0	0	4	22	9	3	4	72.83	0		30.185832
35	70	1	0	6	0	5	16	4	5	280.68	0		55.510781
35	71	10	0	6	0	10	9	3	8	120.56	0		26.345544
4	9	7	0	9	11	0	17	4	8	427.72	0		25.646521
4	8	3	0	9	11	8	12	6	6	160.26	0		19.364184
4	7	1	0	9	11	14	16	4	5	280.68	0		55.510781
43	86	3	0	19	4	0	12	6	6	160.26	0		19.364184
43	87	10	0	6	0	18	9	3	8	120.56	0		26.345544
17	33	10	0	9	11	19	9	3	8	120.56	0		26.345544
17	32	9	0	0	4	26	7	7	4	165.95	0		20.185029
29	56	1	0	19	4	6	16	4	5	280.68	0		55.510781
29	57	6	1	9	4	14	6	4	8	258.50	1		8.149279
19	37	10	0	15	0	10	9	3	8	120.56	0		26.345544
19	36	2	0	6	0	26	9	3	4	72.83	0		30.185832
1	1	1	0	19	4	11	16	4	5	280.68	0		55.510781
1	2	9	0	23	15	0	7	7	4	165.95	0		20.185029
28	55	6	1	9	3	22	6	4	8	258.50	1		8.149279
23	46	9	0	23	15	4	7	7	4	165.95	0		20.185029
23	45	6	0	15	0	18	6	4	8	258.50	1		8.149279
32	64	8	0	19	4	16	13	5	8	169.49	0		4.609499
32	63	1	0	19	4	24	16	4	5	280.68	0		55.510781
32	65	10	0	18	11	19	9	3	8	120.56	0		26.345544
44	88	7	0	24	0	0	17	4	8	427.72	0		25.646521
44	89	7	0	24	0	8	17	4	8	427.72	0		25.646521
47	95	10	0	12	22	0	9	3	8	120.56	0		26.345544
47	94	2	0	12	22	8	9	3	4	72.83	0		30.185832
42	85	8	0	27	10	0	13	5	8	169.49	0		4.609499
42	83	1	0	24	0	16	16	4	5	280.68	0		55.510781
45	90	5	0	6	15	14	12	2	3	39.09	1		7.329585
14	26	7	0	21	0	21	17	4	8	427.72	0		25.646521
14	25	2	0	12	22	12	9	3	4	72.83	0		30.185832
45	92	10	0	12	22	16	9	3	8	120.56	0		26.345544
42	84	2	0	21	22	0	9	3	4	72.83	0		30.185832
45	91	5	0	6	15	17	12	2	3	39.09	1		7.329585
11	19	3	0	27	9	8	12	6	6	160.26	0		19.364184
11	20	9	0	23	15	8	7	7	4	165.95	0		20.185029
11	21	9	0	23	15	12	7	7	4	165.95	0		20.185029
7	15	6	0	23	15	16	6	4	8	258.50	1		8.149279
41	82	8	0	27	9	14	13	5	8	169.49	0		4.609499
41	81	3	0	27	9	22	12	6	6	160.26	0		19.364184
3	4	1	0	30	15	0	16	4	5	280.68	0		55.510781
3	6	9	0	40	4	0	7	7	4	165.95	0		20.185029
3	5	5	0	12	22	24	12	2	3	39.09	1		7.329585
27	54	8	0	30	19	0	13	5	8	169.49	0		4.609499
27	52	4	0	40	4	4	8	7	4	192.79	0		65.021396
27	53	5	0	12	22	27	12	2	3	39.09	1		7.329585
26	51	8	0	30	19	8	13	5	8	169.49	0		4.609499
26	50	4	0	40	4	8	8	7	4	192.79	0		65.021396
34	67	4	0	40	4	12	8	7	4	192.79	0		65.021396
34	68	4	0	40	4	16	8	7	4	192.79	0		65.021396
34	69	9	0	40	4	20	7	7	4	165.95	0		20.185029
37	74	4	0	39	4	24	8	7	4	192.79	0		65.021396
24	47	1	0	30	15	5	16	4	5	280.68	0		55.510781
24	48	10	0	23	19	16	9	3	8	120.56	0		26.345544
49	98	7	0	30	15	10	17	4	8	427.72	0		25.646521
49	99	8	0	32	19	16	13	5	8	169.49	0		4.609499
49	97	3	0	32	19	24	12	6	6	160.26	0		19.364184
21	40	1	0	29	15	18	16	4	5	280.68	0		55.510781
21	41	4	0	47	11	0	8	7	4	192.79	0		65.021396
22	43	7	0	41	0	0	17	4	8	427.72	0		25.646521
22	44	8	0	45	19	0	13	5	8	169.49	0		4.609499
22	42	3	0	45	19	8	12	6	6	160.26	0		19.364184
10	18	9	0	47	11	4	7	7	4	165.95	0		20.185029
5	11	7	0	41	0	8	17	4	8	427.72	0		25.646521
5	10	2	0	29	15	23	9	3	4	72.83	0		30.185832
36	73	3	0	45	19	14	12	6	6	160.26	0		19.364184
36	72	2	0	38	15	23	9	3	4	72.83	0		30.185832
6	13	3	0	45	18	20	12	6	6	160.26	0		19.364184
6	12	2	0	40	0	16	9	3	4	72.83	0		30.185832
6	14	5	0	29	15	27	12	2	3	39.09	1		7.329585


