Name:				288_n100_m200_bt3_12797
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2211.68
Calculation_Time:		23.27
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		52
No_of_Items:			118
Customer_Sequence:		21 16 33 12 22 56 29 36 34 28 19 15 8 48 54 26 30 10 40 35 7 23 3 50 38 1 2 9 42 31 49 6 17 18 47 5 43 27 51 44 53 46 37 11 20 13 4 39 45 25 32 14 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
14	28	1	0	0	0	0	7	6	5	102.87	0		28.624916
14	29	1	0	0	6	0	7	6	5	102.87	0		28.624916
14	30	3	0	0	12	0	16	2	7	69.01	1		2.730205
32	67	1	0	0	14	0	7	6	5	102.87	0		28.624916
32	68	1	0	0	0	5	7	6	5	102.87	0		28.624916
32	69	3	0	0	20	0	16	2	7	69.01	1		2.730205
25	50	2	0	7	0	0	16	4	4	232.12	0		211.627217
45	97	1	0	0	6	5	7	6	5	102.87	0		28.624916
45	98	1	0	0	14	5	7	6	5	102.87	0		28.624916
45	99	3	0	0	22	0	16	2	7	69.01	1		2.730205
39	85	2	1	0	0	10	16	4	4	232.12	0		211.627217
39	86	3	0	0	20	7	16	2	7	69.01	1		2.730205
39	87	3	0	0	22	7	16	2	7	69.01	1		2.730205
4	8	1	0	7	4	0	7	6	5	102.87	0		28.624916
4	9	1	0	7	14	0	7	6	5	102.87	0		28.624916
4	10	3	1	0	0	14	16	2	7	69.01	1		2.730205
13	27	2	0	7	0	4	16	4	4	232.12	0		211.627217
20	41	3	0	0	20	14	16	2	7	69.01	1		2.730205
20	42	3	0	0	22	14	16	2	7	69.01	1		2.730205
11	25	2	0	7	0	8	16	4	4	232.12	0		211.627217
11	24	1	0	7	4	5	7	6	5	102.87	0		28.624916
37	81	2	1	4	4	10	16	4	4	232.12	0		211.627217
37	79	1	0	2	4	14	7	6	5	102.87	0		28.624916
37	80	1	0	2	10	14	7	6	5	102.87	0		28.624916
46	100	1	0	2	4	19	7	6	5	102.87	0		28.624916
46	101	1	0	2	10	19	7	6	5	102.87	0		28.624916
46	102	3	1	0	0	21	16	2	7	69.01	1		2.730205
53	117	1	0	2	4	24	7	6	5	102.87	0		28.624916
44	96	3	0	0	20	21	16	2	7	69.01	1		2.730205
51	115	1	0	2	10	24	7	6	5	102.87	0		28.624916
27	53	2	0	4	0	12	16	4	4	232.12	0		211.627217
27	54	3	0	0	22	21	16	2	7	69.01	1		2.730205
43	94	2	0	2	0	16	16	4	4	232.12	0		211.627217
43	95	3	0	2	0	20	16	2	7	69.01	1		2.730205
5	11	2	0	14	4	0	16	4	4	232.12	0		211.627217
47	103	2	0	14	8	0	16	4	4	232.12	0		211.627217
47	104	2	0	14	14	0	16	4	4	232.12	0		211.627217
47	105	2	0	14	4	4	16	4	4	232.12	0		211.627217
18	36	2	0	14	8	4	16	4	4	232.12	0		211.627217
18	37	3	0	2	2	20	16	2	7	69.01	1		2.730205
18	38	3	0	14	18	0	16	2	7	69.01	1		2.730205
17	35	2	0	14	14	4	16	4	4	232.12	0		211.627217
6	12	2	0	14	4	8	16	4	4	232.12	0		211.627217
6	13	2	0	14	8	8	16	4	4	232.12	0		211.627217
49	109	1	0	14	4	12	7	6	5	102.87	0		28.624916
49	110	1	0	14	4	17	7	6	5	102.87	0		28.624916
49	111	3	0	14	18	7	16	2	7	69.01	1		2.730205
31	65	2	0	14	14	8	16	4	4	232.12	0		211.627217
31	64	1	0	14	4	22	7	6	5	102.87	0		28.624916
31	66	3	0	14	10	12	16	2	7	69.01	1		2.730205
42	91	1	0	21	4	12	7	6	5	102.87	0		28.624916
42	92	3	0	14	14	12	16	2	7	69.01	1		2.730205
42	93	3	0	14	16	12	16	2	7	69.01	1		2.730205
9	20	2	0	16	20	0	16	4	4	232.12	0		211.627217
9	21	2	0	16	20	4	16	4	4	232.12	0		211.627217
9	19	1	0	21	4	17	7	6	5	102.87	0		28.624916
