Name:				290_n100_m200_bt3_12992
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		3203.56
Calculation_Time:		43.77
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		78
No_of_Items:			159
Customer_Sequence:		21 55 61 56 71 62 23 5 79 18 26 10 35 63 24 66 29 68 31 54 53 69 74 12 8 40 46 45 65 17 11 6 16 60 57 4 51 3 13 2 30 81 80 52 25 49 64 14 33 70 36 32 73 59 9 58 41 67 15 50 22 37 34 38 76 20 72 47 27 7 19 1 44 43 77 28 48 42 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
42	81	3	0	0	0	0	15	4	6	174.76	0		14.551836
48	96	3	0	0	4	0	15	4	6	174.76	0		14.551836
48	95	2	0	0	8	0	6	4	4	45.15	0		50.239351
48	94	1	0	0	12	0	14	2	3	54.35	1		1.792966
28	56	3	0	0	14	0	15	4	6	174.76	0		14.551836
77	153	3	0	0	18	0	15	4	6	174.76	0		14.551836
77	151	1	0	0	22	0	14	2	3	54.35	1		1.792966
77	152	1	0	0	12	3	14	2	3	54.35	1		1.792966
43	82	1	0	0	22	3	14	2	3	54.35	1		1.792966
43	83	1	0	0	0	6	14	2	3	54.35	1		1.792966
44	84	2	0	0	8	4	6	4	4	45.15	0		50.239351
44	85	2	0	0	2	6	6	4	4	45.15	0		50.239351
1	1	3	0	0	14	6	15	4	6	174.76	0		14.551836
19	35	1	0	0	6	6	14	2	3	54.35	1		1.792966
19	36	1	0	0	12	6	14	2	3	54.35	1		1.792966
19	37	1	0	0	18	6	14	2	3	54.35	1		1.792966
7	14	2	0	0	8	8	6	4	4	45.15	0		50.239351
27	55	1	0	0	20	6	14	2	3	54.35	1		1.792966
47	93	3	0	0	14	12	15	4	6	174.76	0		14.551836
47	92	2	0	0	2	10	6	4	4	45.15	0		50.239351
72	143	2	0	0	8	12	6	4	4	45.15	0		50.239351
72	142	1	0	0	22	6	14	2	3	54.35	1		1.792966
20	39	2	0	0	2	14	6	4	4	45.15	0		50.239351
20	40	2	0	0	8	16	6	4	4	45.15	0		50.239351
20	38	1	0	0	0	9	14	2	3	54.35	1		1.792966
76	149	2	0	0	2	18	6	4	4	45.15	0		50.239351
76	150	2	0	0	14	18	6	4	4	45.15	0		50.239351
76	148	1	0	0	6	9	14	2	3	54.35	1		1.792966
38	75	3	0	6	8	0	15	4	6	174.76	0		14.551836
38	74	1	0	0	12	9	14	2	3	54.35	1		1.792966
34	66	1	0	0	18	9	14	2	3	54.35	1		1.792966
34	67	1	0	0	20	9	14	2	3	54.35	1		1.792966
34	68	1	0	0	22	9	14	2	3	54.35	1		1.792966
37	73	3	0	6	8	6	15	4	6	174.76	0		14.551836
22	42	3	0	6	8	12	15	4	6	174.76	0		14.551836
22	43	3	0	6	8	18	15	4	6	174.76	0		14.551836
22	44	3	0	6	8	24	15	4	6	174.76	0		14.551836
50	100	2	0	0	2	22	6	4	4	45.15	0		50.239351
15	30	3	0	15	0	0	15	4	6	174.76	0		14.551836
15	31	3	0	6	2	6	15	4	6	174.76	0		14.551836
67	134	2	0	0	14	22	6	4	4	45.15	0		50.239351
41	79	2	0	0	2	26	6	4	4	45.15	0		50.239351
41	80	2	0	0	14	26	6	4	4	45.15	0		50.239351
58	115	1	0	0	0	12	14	2	3	54.35	1		1.792966
