Name:				292_n100_m200_bt10_13128
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		3118.72
Calculation_Time:		1433.37
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		72
No_of_Items:			148
Customer_Sequence:		13 66 5 25 63 39 43 14 3 24 27 33 60 51 68 75 4 17 42 69 59 73 34 31 10 8 54 71 58 48 6 29 70 35 11 47 32 9 19 20 44 30 67 1 21 55 50 28 2 41 7 23 49 36 40 65 52 15 64 45 46 26 12 56 62 18 72 16 38 37 22 61 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
61	125	1	0	0	0	0	9	3	6	148.97	0		11.155127
22	45	1	0	0	3	0	9	3	6	148.97	0		11.155127
22	46	1	0	0	6	0	9	3	6	148.97	0		11.155127
37	75	3	0	0	9	0	7	5	6	76.01	0		19.717874
37	76	5	0	0	14	0	17	2	3	65.18	0		48.602499
38	79	10	0	0	16	0	6	6	6	172.14	0		30.795433
38	77	2	0	0	22	0	6	2	8	49.85	0		136.629782
38	78	8	0	0	0	6	6	3	4	58.97	1		9.171969
16	31	2	0	0	14	3	6	2	8	49.85	0		136.629782
72	146	10	0	0	3	6	6	6	6	172.14	0		30.795433
72	145	1	0	0	9	6	9	3	6	148.97	0		11.155127
18	37	7	0	0	16	6	8	6	7	263.61	0		44.662441
18	36	3	0	0	3	12	7	5	6	76.01	0		19.717874
18	35	2	0	0	12	6	6	2	8	49.85	0		136.629782
62	126	6	0	0	8	12	10	3	6	163.75	0		18.410377
56	116	3	0	0	16	13	7	5	6	76.01	0		19.717874
56	115	1	0	0	3	18	9	3	6	148.97	0		11.155127
12	24	5	0	6	22	0	17	2	3	65.18	0		48.602499
26	54	8	0	0	0	10	6	3	4	58.97	1		9.171969
46	96	6	0	0	6	18	10	3	6	163.75	0		18.410377
46	95	5	0	6	22	3	17	2	3	65.18	0		48.602499
45	92	7	0	8	16	0	8	6	7	263.61	0		44.662441
45	93	9	0	0	16	19	6	5	5	122.53	0		25.563860
45	94	9	0	0	3	24	6	5	5	122.53	0		25.563860
