Name:				325_n020_m400_bt10_15365
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		194.02
Calculation_Time:		10.27
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			88
Customer_Sequence:		1 19 8 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	399	8	0	0	0	0	14	6	7	100.16	0		2.574903
20	398	8	0	0	6	0	14	6	7	100.16	0		2.574903
20	397	8	0	0	12	0	14	6	7	100.16	0		2.574903
20	389	3	0	0	18	0	16	5	6	59.41	0		10.369826
20	388	3	0	0	18	6	16	5	6	59.41	0		10.369826
20	386	3	0	0	0	7	16	5	6	59.41	0		10.369826
20	387	3	0	0	5	7	16	5	6	59.41	0		10.369826
20	400	10	0	0	10	7	17	3	8	54.63	0		4.036011
20	380	1	0	0	13	7	10	5	7	44.53	0		2.328649
20	382	1	0	0	18	12	10	5	7	44.53	0		2.328649
20	381	1	0	0	0	13	10	5	7	44.53	0		2.328649
20	379	1	0	0	5	13	10	5	7	44.53	0		2.328649
20	394	7	0	0	13	14	8	3	7	27.75	0		7.148205
20	395	7	0	0	10	15	8	3	7	27.75	0		7.148205
20	396	7	0	0	18	19	8	3	7	27.75	0		7.148205
20	385	2	0	0	0	20	9	3	6	19.09	0		3.741785
20	384	2	0	0	3	20	9	3	6	19.09	0		3.741785
20	383	2	0	0	6	20	9	3	6	19.09	0		3.741785
20	390	5	0	0	13	21	7	4	4	11.62	0		10.596865
20	391	6	0	0	23	0	15	2	7	38.86	1		3.938385
20	392	6	0	0	23	7	15	2	7	38.86	1		3.938385
20	393	6	0	0	23	14	15	2	7	38.86	1		3.938385
8	157	8	0	16	13	0	14	6	7	100.16	0		2.574903
8	156	8	0	16	19	0	14	6	7	100.16	0		2.574903
8	143	3	0	10	13	7	16	5	6	59.41	0		10.369826
8	144	3	0	10	13	13	16	5	6	59.41	0		10.369826
8	145	3	0	8	13	19	16	5	6	59.41	0		10.369826
8	146	3	0	16	0	0	16	5	6	59.41	0		10.369826
8	141	1	1	10	0	13	10	5	7	44.53	0		2.328649
8	140	1	1	9	0	20	10	5	7	44.53	0		2.328649
8	147	4	1	0	0	26	11	6	4	30.84	0		2.411353
8	148	4	0	8	13	25	11	6	4	30.84	0		2.411353
8	155	7	0	8	10	15	8	3	7	27.75	0		7.148205
8	154	7	0	6	10	22	8	3	7	27.75	0		7.148205
8	142	2	0	16	5	0	9	3	6	19.09	0		3.741785
8	151	5	0	0	13	25	7	4	4	11.62	0		10.596865
8	152	5	0	0	17	26	7	4	4	11.62	0		10.596865
8	150	5	0	10	18	12	7	4	4	11.62	0		10.596865
8	149	5	0	10	18	16	7	4	4	11.62	0		10.596865
8	153	6	0	0	23	21	15	2	7	38.86	1		3.938385
8	158	9	0	16	0	6	7	6	5	35.79	1		1.346165
8	159	9	0	16	0	11	7	6	5	35.79	1		1.346165
8	160	9	0	15	0	16	7	6	5	35.79	1		1.346165
8	161	9	0	14	0	21	7	6	5	35.79	1		1.346165
19	370	3	0	25	5	0	16	5	6	59.41	0		10.369826
19	369	3	0	23	5	6	16	5	6	59.41	0		10.369826
19	378	10	0	17	10	0	17	3	8	54.63	0		4.036011
19	377	10	0	17	10	8	17	3	8	54.63	0		4.036011
19	376	10	0	16	10	16	17	3	8	54.63	0		4.036011
19	365	1	0	23	0	6	10	5	7	44.53	0		2.328649
19	366	1	0	23	5	12	10	5	7	44.53	0		2.328649
19	364	1	0	23	0	13	10	5	7	44.53	0		2.328649
19	363	1	0	22	5	19	10	5	7	44.53	0		2.328649
19	362	1	0	22	0	20	10	5	7	44.53	0		2.328649
19	361	1	1	26	13	7	10	5	7	44.53	0		2.328649
