Name:				472_n060_m400_bt10_24189
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		433.86
Calculation_Time:		173.41
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		10
No_of_Items:			78
Customer_Sequence:		1 6 13 4 5 12 11 8 7 10 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
10	74	7	0	0	0	0	11	7	7	92.50	0		4.836117
10	75	7	0	0	7	0	11	7	7	92.50	0		4.836117
10	70	3	0	0	14	0	10	6	5	95.09	0		15.121424
10	71	3	0	0	14	5	10	6	5	95.09	0		15.121424
10	73	5	0	0	20	0	12	2	3	33.64	0		14.913841
10	72	4	0	0	0	7	7	4	6	29.68	1		3.034069
7	50	7	0	0	4	7	11	7	7	92.50	0		4.836117
7	51	7	0	0	14	10	11	7	7	92.50	0		4.836117
7	52	7	0	0	4	14	11	7	7	92.50	0		4.836117
7	53	9	0	11	0	0	16	7	3	49.51	0		6.454856
11	82	8	0	11	7	0	16	5	8	115.22	0		3.682125
7	48	4	0	0	0	13	7	4	6	29.68	1		3.034069
7	49	4	0	0	14	17	7	4	6	29.68	1		3.034069
8	61	8	0	11	12	0	16	5	8	115.22	0		3.682125
8	62	8	0	11	0	3	16	5	8	115.22	0		3.682125
8	59	6	0	0	4	21	11	5	8	216.33	0		8.181031
8	60	6	0	11	12	8	11	5	8	216.33	0		8.181031
8	54	1	0	11	0	11	16	5	4	84.84	0		3.902070
8	55	1	0	11	0	15	16	5	4	84.84	0		3.902070
8	57	3	0	11	12	16	10	6	5	95.09	0		15.121424
8	58	3	0	11	0	19	10	6	5	95.09	0		15.121424
8	56	2	0	0	18	17	7	4	5	29.12	1		1.863225
7	47	4	0	0	0	19	7	4	6	29.68	1		3.034069
11	83	9	0	27	0	0	16	7	3	49.51	0		6.454856
11	79	3	0	11	6	8	10	6	5	95.09	0		15.121424
11	80	4	0	0	18	22	7	4	6	29.68	1		3.034069
11	81	4	0	0	14	23	7	4	6	29.68	1		3.034069
11	76	2	0	0	0	25	7	4	5	29.12	1		1.863225
11	77	2	0	11	6	13	7	4	5	29.12	1		1.863225
11	78	2	0	11	6	18	7	4	5	29.12	1		1.863225
12	88	8	0	12	18	0	16	5	8	115.22	0		3.682125
12	86	6	0	11	18	8	11	5	8	216.33	0		8.181031
12	87	6	0	11	18	16	11	5	8	216.33	0		8.181031
5	37	7	0	27	7	0	11	7	7	92.50	0		4.836117
12	89	9	0	27	0	3	16	7	3	49.51	0		6.454856
12	85	3	0	11	12	21	10	6	5	95.09	0		15.121424
12	84	1	0	27	0	6	16	5	4	84.84	0		3.902070
5	38	8	0	27	0	10	16	5	8	115.22	0		3.682125
12	90	10	0	28	14	0	12	7	5	128.56	0		9.715215
5	39	10	0	27	7	7	12	7	5	128.56	0		9.715215
5	31	1	0	27	7	12	16	5	4	84.84	0		3.902070
5	34	4	0	11	6	23	7	4	6	29.68	1		3.034069
5	35	4	0	11	0	24	7	4	6	29.68	1		3.034069
5	36	4	0	11	18	24	7	4	6	29.68	1		3.034069
5	32	2	0	21	0	19	7	4	5	29.12	1		1.863225
5	33	2	0	18	0	24	7	4	5	29.12	1		1.863225
4	27	7	0	28	14	5	11	7	7	92.50	0		4.836117
4	28	7	0	27	12	12	11	7	7	92.50	0		4.836117
4	29	10	0	27	12	19	12	7	5	128.56	0		9.715215
4	30	10	0	27	12	24	12	7	5	128.56	0		9.715215
13	93	3	0	28	0	18	10	6	5	95.09	0		15.121424
4	25	3	0	40	12	0	10	6	5	95.09	0		15.121424
4	26	4	1	22	14	8	7	4	6	29.68	1		3.034069
13	96	7	0	28	0	23	11	7	7	92.50	0		4.836117
13	97	7	0	39	12	5	11	7	7	92.50	0		4.836117
1	5	8	0	27	7	16	16	5	8	115.22	0		3.682125
13	95	6	0	39	12	12	11	5	8	216.33	0		8.181031
13	99	10	0	40	18	0	12	7	5	128.56	0		9.715215
13	98	9	0	43	0	0	16	7	3	49.51	0		6.454856
13	91	1	0	39	19	5	16	5	4	84.84	0		3.902070
4	24	1	0	43	7	0	16	5	4	84.84	0		3.902070
13	92	2	0	28	21	0	7	4	5	29.12	1		1.863225
6	45	10	0	43	0	3	12	7	5	128.56	0		9.715215
6	46	10	0	43	0	8	12	7	5	128.56	0		9.715215
6	42	2	0	39	19	9	7	4	5	29.12	1		1.863225
6	43	5	0	26	19	12	12	2	3	33.64	0		14.913841
6	40	2	0	38	19	14	7	4	5	29.12	1		1.863225
6	41	2	0	38	19	19	7	4	5	29.12	1		1.863225
6	44	9	0	43	0	13	16	7	3	49.51	0		6.454856
13	94	6	0	39	12	20	11	5	8	216.33	0		8.181031
1	6	8	0	43	7	4	16	5	8	115.22	0		3.682125
1	7	8	0	43	7	12	16	5	8	115.22	0		3.682125
1	8	10	0	43	0	16	12	7	5	128.56	0		9.715215
1	9	10	0	43	0	21	12	7	5	128.56	0		9.715215
1	1	1	0	27	7	24	16	5	4	84.84	0		3.902070
1	2	1	0	43	7	20	16	5	4	84.84	0		3.902070
1	4	5	0	39	17	12	12	2	3	33.64	0		14.913841
1	3	4	0	38	19	24	7	4	6	29.68	1		3.034069


