Name:				166_n060_m200_bt3_3757
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2038.27
Calculation_Time:		67.13
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		48
No_of_Items:			164
Customer_Sequence:		49 15 16 24 27 35 4 39 19 21 45 47 36 25 1 44 17 11 22 32 26 42 43 40 30 29 10 3 14 9 7 8 2 41 33 31 48 23 50 6 38 34 18 37 12 28 20 46 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
46	154	2	0	0	0	0	8	5	7	198.44	0		24.472500
46	155	2	0	0	5	0	8	5	7	198.44	0		24.472500
46	156	3	0	0	10	0	12	2	5	96.34	0		72.200103
46	157	3	0	0	12	0	12	2	5	96.34	0		72.200103
46	153	1	0	0	14	0	7	6	5	127.26	1		3.122100
20	69	3	0	0	20	0	12	2	5	96.34	0		72.200103
20	70	3	0	0	22	0	12	2	5	96.34	0		72.200103
20	68	1	0	0	10	5	7	6	5	127.26	1		3.122100
28	94	3	0	0	20	5	12	2	5	96.34	0		72.200103
28	92	1	0	0	0	7	7	6	5	127.26	1		3.122100
28	93	1	0	0	10	10	7	6	5	127.26	1		3.122100
12	43	2	0	7	14	0	8	5	7	198.44	0		24.472500
12	44	3	0	0	22	5	12	2	5	96.34	0		72.200103
12	42	1	0	0	0	12	7	6	5	127.26	1		3.122100
37	121	3	0	0	20	10	12	2	5	96.34	0		72.200103
37	122	3	0	0	22	10	12	2	5	96.34	0		72.200103
18	62	2	0	0	20	15	8	5	7	198.44	0		24.472500
18	63	3	0	8	0	0	12	2	5	96.34	0		72.200103
18	64	3	0	8	2	0	12	2	5	96.34	0		72.200103
34	113	3	0	8	4	0	12	2	5	96.34	0		72.200103
34	110	1	0	0	10	15	7	6	5	127.26	1		3.122100
34	111	1	0	0	0	17	7	6	5	127.26	1		3.122100
34	112	1	0	0	10	20	7	6	5	127.26	1		3.122100
38	125	3	0	8	6	0	12	2	5	96.34	0		72.200103
38	126	3	0	8	8	0	12	2	5	96.34	0		72.200103
38	123	1	0	0	0	22	7	6	5	127.26	1		3.122100
38	124	1	0	0	10	25	7	6	5	127.26	1		3.122100
6	19	2	0	0	20	22	8	5	7	198.44	0		24.472500
6	16	1	0	7	14	7	7	6	5	127.26	1		3.122100
6	17	1	0	7	14	12	7	6	5	127.26	1		3.122100
6	18	1	0	7	14	17	7	6	5	127.26	1		3.122100
50	168	2	0	8	0	5	8	5	7	198.44	0		24.472500
50	169	3	0	8	5	5	12	2	5	96.34	0		72.200103
50	167	1	0	7	14	22	7	6	5	127.26	1		3.122100
23	80	3	0	8	7	5	12	2	5	96.34	0		72.200103
23	81	3	0	7	5	10	12	2	5	96.34	0		72.200103
23	79	1	0	15	10	0	7	6	5	127.26	1		3.122100
48	162	1	0	15	16	0	7	6	5	127.26	1		3.122100
48	163	1	0	15	9	5	7	6	5	127.26	1		3.122100
48	164	1	0	14	7	10	7	6	5	127.26	1		3.122100
31	102	2	0	7	0	12	8	5	7	198.44	0		24.472500
31	103	3	0	7	5	15	12	2	5	96.34	0		72.200103
31	101	1	0	14	7	15	7	6	5	127.26	1		3.122100
33	107	2	0	7	0	19	8	5	7	198.44	0		24.472500
33	108	2	0	20	0	0	8	5	7	198.44	0		24.472500
33	109	3	0	7	5	20	12	2	5	96.34	0		72.200103
41	135	2	0	20	0	7	8	5	7	198.44	0		24.472500
41	136	2	0	20	0	14	8	5	7	198.44	0		24.472500
41	137	3	0	7	5	25	12	2	5	96.34	0		72.200103
41	138	3	0	12	22	0	12	2	5	96.34	0		72.200103
41	134	1	0	14	7	20	7	6	5	127.26	1		3.122100
2	4	2	0	20	0	21	8	5	7	198.44	0		24.472500
2	5	3	0	12	22	5	12	2	5	96.34	0		72.200103
8	26	3	0	12	22	10	12	2	5	96.34	0		72.200103
8	27	3	0	8	22	15	12	2	5	96.34	0		72.200103
8	28	3	0	8	22	20	12	2	5	96.34	0		72.200103
8	25	1	0	14	7	25	7	6	5	127.26	1		3.122100
7	21	2	0	22	5	0	8	5	7	198.44	0		24.472500
7	22	2	0	22	10	0	8	5	7	198.44	0		24.472500
7	23	3	0	8	22	25	12	2	5	96.34	0		72.200103
7	24	3	0	22	15	0	12	2	5	96.34	0		72.200103
7	20	1	0	15	15	5	7	6	5	127.26	1		3.122100
9	31	2	0	22	17	0	8	5	7	198.44	0		24.472500
9	32	3	0	22	15	5	12	2	5	96.34	0		72.200103
9	33	3	0	22	15	10	12	2	5	96.34	0		72.200103
9	29	1	0	14	13	10	7	6	5	127.26	1		3.122100
9	30	1	0	14	13	15	7	6	5	127.26	1		3.122100
14	48	2	0	22	5	7	8	5	7	198.44	0		24.472500
14	49	2	0	21	5	14	8	5	7	198.44	0		24.472500
14	50	3	0	21	15	15	12	2	5	96.34	0		72.200103
14	51	3	0	21	15	20	12	2	5	96.34	0		72.200103
14	47	1	0	14	13	20	7	6	5	127.26	1		3.122100
3	6	2	0	21	5	21	8	5	7	198.44	0		24.472500
3	7	2	0	22	10	7	8	5	7	198.44	0		24.472500
3	8	3	0	21	15	25	12	2	5	96.34	0		72.200103
3	9	3	0	24	22	0	12	2	5	96.34	0		72.200103
10	35	2	0	21	10	14	8	5	7	198.44	0		24.472500
10	36	3	0	24	22	5	12	2	5	96.34	0		72.200103
10	37	3	0	24	22	10	12	2	5	96.34	0		72.200103
10	34	1	0	30	0	0	7	6	5	127.26	1		3.122100
29	96	3	0	20	22	15	12	2	5	96.34	0		72.200103
29	97	3	0	20	22	20	12	2	5	96.34	0		72.200103
29	95	1	0	30	6	0	7	6	5	127.26	1		3.122100
30	100	2	0	21	10	21	8	5	7	198.44	0		24.472500
30	98	1	0	30	0	5	7	6	5	127.26	1		3.122100
30	99	1	0	30	6	5	7	6	5	127.26	1		3.122100
40	131	2	0	22	17	7	8	5	7	198.44	0		24.472500
40	132	2	0	21	17	14	8	5	7	198.44	0		24.472500
40	133	3	0	20	22	25	12	2	5	96.34	0		72.200103
43	144	2	0	21	17	21	8	5	7	198.44	0		24.472500
43	145	3	0	30	12	0	12	2	5	96.34	0		72.200103
43	143	1	0	30	0	10	7	6	5	127.26	1		3.122100
42	141	3	0	30	17	0	12	2	5	96.34	0		72.200103
42	142	3	0	30	19	0	12	2	5	96.34	0		72.200103
42	139	1	0	29	0	15	7	6	5	127.26	1		3.122100
42	140	1	0	29	0	20	7	6	5	127.26	1		3.122100
26	88	3	0	30	12	5	12	2	5	96.34	0		72.200103
26	89	3	0	30	17	5	12	2	5	96.34	0		72.200103
32	106	3	0	30	19	5	12	2	5	96.34	0		72.200103
32	104	1	0	29	0	25	7	6	5	127.26	1		3.122100
32	105	1	0	30	6	10	7	6	5	127.26	1		3.122100
22	77	2	0	30	17	10	8	5	7	198.44	0		24.472500
22	78	3	0	30	12	10	12	2	5	96.34	0		72.200103
22	75	1	0	29	6	15	7	6	5	127.26	1		3.122100
22	76	1	0	29	6	20	7	6	5	127.26	1		3.122100
11	40	2	0	29	17	17	8	5	7	198.44	0		24.472500
11	41	3	0	29	12	15	12	2	5	96.34	0		72.200103
11	38	1	0	29	6	25	7	6	5	127.26	1		3.122100
11	39	1	0	37	0	0	7	6	5	127.26	1		3.122100
17	60	3	0	29	12	20	12	2	5	96.34	0		72.200103
17	61	3	0	29	12	25	12	2	5	96.34	0		72.200103
17	59	1	0	37	6	0	7	6	5	127.26	1		3.122100
44	147	2	0	42	12	0	8	5	7	198.44	0		24.472500
44	148	3	0	36	22	0	12	2	5	96.34	0		72.200103
44	149	3	0	36	22	5	12	2	5	96.34	0		72.200103
44	150	3	0	36	22	10	12	2	5	96.34	0		72.200103
44	146	1	0	37	0	5	7	6	5	127.26	1		3.122100
1	1	1	0	37	6	5	7	6	5	127.26	1		3.122100
1	2	1	0	37	0	10	7	6	5	127.26	1		3.122100
1	3	1	0	36	0	15	7	6	5	127.26	1		3.122100
25	87	3	0	32	22	15	12	2	5	96.34	0		72.200103
25	85	1	0	36	0	20	7	6	5	127.26	1		3.122100
25	86	1	0	36	0	25	7	6	5	127.26	1		3.122100
36	119	3	0	32	22	20	12	2	5	96.34	0		72.200103
36	120	3	0	32	22	25	12	2	5	96.34	0		72.200103
47	158	2	0	42	17	0	8	5	7	198.44	0		24.472500
47	159	2	0	42	12	7	8	5	7	198.44	0		24.472500
47	160	2	0	42	17	7	8	5	7	198.44	0		24.472500
47	161	2	0	42	12	14	8	5	7	198.44	0		24.472500
45	151	2	0	42	17	14	8	5	7	198.44	0		24.472500
45	152	3	0	44	0	0	12	2	5	96.34	0		72.200103
21	74	2	0	41	12	21	8	5	7	198.44	0		24.472500
21	71	1	0	37	6	10	7	6	5	127.26	1		3.122100
21	72	1	0	36	6	15	7	6	5	127.26	1		3.122100
21	73	1	0	36	6	20	7	6	5	127.26	1		3.122100
19	66	2	0	41	17	21	8	5	7	198.44	0		24.472500
19	67	2	0	44	2	0	8	5	7	198.44	0		24.472500
19	65	1	0	36	6	25	7	6	5	127.26	1		3.122100
39	128	2	0	44	7	0	8	5	7	198.44	0		24.472500
39	129	2	0	44	2	7	8	5	7	198.44	0		24.472500
39	130	3	0	44	0	5	12	2	5	96.34	0		72.200103
39	127	1	0	44	2	14	7	6	5	127.26	1		3.122100
4	11	2	0	50	12	0	8	5	7	198.44	0		24.472500
4	12	3	0	44	0	10	12	2	5	96.34	0		72.200103
4	10	1	0	43	2	19	7	6	5	127.26	1		3.122100
35	114	2	0	50	17	0	8	5	7	198.44	0		24.472500
35	115	3	0	44	0	15	12	2	5	96.34	0		72.200103
35	116	3	0	43	0	20	12	2	5	96.34	0		72.200103
35	117	3	0	43	0	25	12	2	5	96.34	0		72.200103
35	118	3	0	48	22	0	12	2	5	96.34	0		72.200103
27	90	2	0	50	12	7	8	5	7	198.44	0		24.472500
27	91	3	0	48	22	5	12	2	5	96.34	0		72.200103
24	83	3	0	48	22	10	12	2	5	96.34	0		72.200103
24	84	3	0	44	22	15	12	2	5	96.34	0		72.200103
24	82	1	0	43	2	24	7	6	5	127.26	1		3.122100
16	56	2	0	50	17	7	8	5	7	198.44	0		24.472500
16	57	2	0	50	12	14	8	5	7	198.44	0		24.472500
16	58	3	0	44	22	20	12	2	5	96.34	0		72.200103
16	55	1	0	49	12	21	7	6	5	127.26	1		3.122100
15	54	2	0	52	2	0	8	5	7	198.44	0		24.472500
15	52	1	0	52	2	7	7	6	5	127.26	1		3.122100
15	53	1	0	52	2	12	7	6	5	127.26	1		3.122100
49	166	3	0	44	22	25	12	2	5	96.34	0		72.200103
49	165	1	0	51	2	17	7	6	5	127.26	1		3.122100


