Name:				228_n100_m200_bt3_4985
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2243.89
Calculation_Time:		313.53
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		54
No_of_Items:			115
Customer_Sequence:		33 56 40 53 42 51 5 39 13 15 3 35 54 20 46 16 18 48 44 58 29 47 4 11 30 26 45 7 41 21 55 37 38 6 8 34 25 28 27 1 14 24 17 22 36 32 9 50 2 43 12 19 10 31 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
31	64	2	0	0	0	0	13	4	7	285.21	0		27.056142
31	65	3	0	0	4	0	17	4	4	241.58	0		77.087387
10	21	2	0	0	8	0	13	4	7	285.21	0		27.056142
10	22	2	0	0	12	0	13	4	7	285.21	0		27.056142
10	23	3	0	0	16	0	17	4	4	241.58	0		77.087387
19	42	3	0	0	20	0	17	4	4	241.58	0		77.087387
12	27	2	0	0	4	4	13	4	7	285.21	0		27.056142
12	28	2	0	0	16	4	13	4	7	285.21	0		27.056142
43	88	3	0	0	20	4	17	4	4	241.58	0		77.087387
2	3	2	0	0	0	7	13	4	7	285.21	0		27.056142
2	4	3	0	0	8	7	17	4	4	241.58	0		77.087387
50	102	3	0	0	12	7	17	4	4	241.58	0		77.087387
9	19	2	0	0	20	8	13	4	7	285.21	0		27.056142
9	20	2	0	0	4	11	13	4	7	285.21	0		27.056142
32	66	2	0	0	8	11	13	4	7	285.21	0		27.056142
32	67	2	0	0	12	11	13	4	7	285.21	0		27.056142
36	74	1	0	0	16	11	6	3	8	222.38	1		11.925311
22	48	2	0	0	0	14	13	4	7	285.21	0		27.056142
22	49	2	0	0	19	15	13	4	7	285.21	0		27.056142
22	47	1	0	0	4	18	6	3	8	222.38	1		11.925311
17	40	3	0	0	7	18	17	4	4	241.58	0		77.087387
17	38	1	0	0	11	18	6	3	8	222.38	1		11.925311
17	39	1	0	0	16	19	6	3	8	222.38	1		11.925311
24	51	2	0	0	0	21	13	4	7	285.21	0		27.056142
14	31	2	0	0	7	22	13	4	7	285.21	0		27.056142
14	32	2	0	0	19	22	13	4	7	285.21	0		27.056142
1	2	2	0	13	0	0	13	4	7	285.21	0		27.056142
1	1	1	0	6	16	11	6	3	8	222.38	1		11.925311
27	56	3	0	13	0	7	17	4	4	241.58	0		77.087387
28	59	2	0	13	0	11	13	4	7	285.21	0		27.056142
28	57	1	0	6	4	18	6	3	8	222.38	1		11.925311
28	58	1	0	6	11	18	6	3	8	222.38	1		11.925311
25	52	3	0	13	0	18	17	4	4	241.58	0		77.087387
45	92	3	0	13	0	22	17	4	4	241.58	0		77.087387
34	71	1	0	6	16	19	6	3	8	222.38	1		11.925311
8	17	2	0	17	4	0	13	4	7	285.21	0		27.056142
8	18	3	0	17	8	0	17	4	4	241.58	0		77.087387
8	16	1	1	13	11	11	6	3	8	222.38	1		11.925311
6	12	2	0	17	12	0	13	4	7	285.21	0		27.056142
6	11	1	1	13	11	19	6	3	8	222.38	1		11.925311
38	78	2	0	17	16	0	13	4	7	285.21	0		27.056142
38	79	3	0	17	20	0	17	4	4	241.58	0		77.087387
38	77	1	0	17	8	4	6	3	8	222.38	1		11.925311
37	75	2	0	17	20	4	13	4	7	285.21	0		27.056142
37	76	2	0	17	4	7	13	4	7	285.21	0		27.056142
55	112	3	0	17	12	7	17	4	4	241.58	0		77.087387
41	85	2	0	16	11	11	13	4	7	285.21	0		27.056142
55	111	1	0	16	16	7	6	3	8	222.38	1		11.925311
21	45	2	0	17	20	11	13	4	7	285.21	0		27.056142
21	46	3	0	17	4	14	17	4	4	241.58	0		77.087387
5	8	1	0	16	16	15	6	3	8	222.38	1		11.925311
41	84	1	0	16	11	18	6	3	8	222.38	1		11.925311
7	13	2	0	17	4	18	13	4	7	285.21	0		27.056142
7	14	3	0	13	20	18	17	4	4	241.58	0		77.087387
7	15	3	0	13	19	22	17	4	4	241.58	0		77.087387
34	72	2	0	30	0	0	13	4	7	285.21	0		27.056142
26	53	2	0	30	16	0	13	4	7	285.21	0		27.056142
26	55	3	0	13	0	26	17	4	4	241.58	0		77.087387
26	54	2	0	30	0	7	13	4	7	285.21	0		27.056142
30	63	2	0	30	16	7	13	4	7	285.21	0		27.056142
47	97	1	0	17	8	12	6	3	8	222.38	1		11.925311
11	24	1	0	22	11	18	6	3	8	222.38	1		11.925311
11	25	1	0	23	8	4	6	3	8	222.38	1		11.925311
4	6	3	0	13	4	25	17	4	4	241.58	0		77.087387
4	7	3	0	13	19	26	17	4	4	241.58	0		77.087387
47	96	1	0	17	8	20	6	3	8	222.38	1		11.925311
11	26	2	0	30	0	14	13	4	7	285.21	0		27.056142
47	98	1	0	23	8	12	6	3	8	222.38	1		11.925311
29	61	2	0	30	0	21	13	4	7	285.21	0		27.056142
29	62	3	0	34	4	0	17	4	4	241.58	0		77.087387
29	60	1	0	23	8	20	6	3	8	222.38	1		11.925311
58	118	3	0	34	8	0	17	4	4	241.58	0		77.087387
58	119	3	0	29	8	4	17	4	4	241.58	0		77.087387
58	120	3	0	29	8	8	17	4	4	241.58	0		77.087387
44	89	2	0	29	8	12	13	4	7	285.21	0		27.056142
44	90	3	0	29	8	19	17	4	4	241.58	0		77.087387
44	91	3	0	29	8	23	17	4	4	241.58	0		77.087387
48	100	3	0	34	12	0	17	4	4	241.58	0		77.087387
48	99	1	0	29	12	11	6	3	8	222.38	1		11.925311
18	41	2	0	34	20	0	13	4	7	285.21	0		27.056142
16	36	3	0	30	20	7	17	4	4	241.58	0		77.087387
16	37	3	0	30	20	11	17	4	4	241.58	0		77.087387
46	93	2	0	30	19	15	13	4	7	285.21	0		27.056142
46	94	2	0	30	19	22	13	4	7	285.21	0		27.056142
46	95	3	0	34	4	4	17	4	4	241.58	0		77.087387
20	43	3	0	34	4	8	17	4	4	241.58	0		77.087387
20	44	3	0	34	4	12	17	4	4	241.58	0		77.087387
54	108	3	0	34	4	16	17	4	4	241.58	0		77.087387
54	109	3	0	30	4	20	17	4	4	241.58	0		77.087387
35	73	3	0	30	4	24	17	4	4	241.58	0		77.087387
3	5	2	0	35	12	4	13	4	7	285.21	0		27.056142
15	34	3	0	35	12	11	17	4	4	241.58	0		77.087387
15	35	3	0	35	12	15	17	4	4	241.58	0		77.087387
15	33	1	0	28	12	19	6	3	8	222.38	1		11.925311
13	29	2	0	35	12	19	13	4	7	285.21	0		27.056142
13	30	2	0	43	0	0	13	4	7	285.21	0		27.056142
39	81	2	0	43	16	0	13	4	7	285.21	0		27.056142
39	82	2	0	43	0	7	13	4	7	285.21	0		27.056142
39	80	1	0	43	16	7	6	3	8	222.38	1		11.925311
5	10	2	0	43	0	14	13	4	7	285.21	0		27.056142
