Name:				243_n100_m200_bt3_5145
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		298.79
Calculation_Time:		1.38
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			17
Customer_Sequence:		6 2 1 10 15 5 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	5	1	0	0	0	0	23	10	11	600.92	0		5.282398
3	6	3	0	0	10	0	27	9	9	440.58	1		7.885510
5	9	3	0	0	10	9	27	9	9	440.58	1		7.885510
5	8	2	0	0	19	0	19	6	11	302.67	0		13.148663
5	10	3	0	0	0	11	27	9	9	440.58	1		7.885510
15	27	2	0	0	19	11	19	6	11	302.67	0		13.148663
15	28	3	0	0	9	18	27	9	9	440.58	1		7.885510
15	29	3	0	0	0	20	27	9	9	440.58	1		7.885510
1	3	3	0	27	0	0	27	9	9	440.58	1		7.885510
10	20	1	0	27	9	0	23	10	11	600.92	0		5.282398
10	19	1	0	27	9	11	23	10	11	600.92	0		5.282398
1	2	2	0	19	19	0	19	6	11	302.67	0		13.148663
1	1	2	0	19	19	11	19	6	11	302.67	0		13.148663
2	4	3	0	27	0	9	27	9	9	440.58	1		7.885510
6	11	2	0	38	19	0	19	6	11	302.67	0		13.148663
6	12	2	0	38	19	11	19	6	11	302.67	0		13.148663
6	13	2	1	54	0	0	19	6	11	302.67	0		13.148663


