Name:				258_n100_m200_bt3_5375
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1501.52
Calculation_Time:		9.24
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		42
No_of_Items:			85
Customer_Sequence:		29 5 8 17 14 6 37 16 19 7 42 1 36 9 22 4 21 45 31 18 3 2 41 20 13 26 25 28 38 27 39 15 46 35 34 12 30 23 10 11 44 24 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
24	46	2	0	0	0	0	11	3	7	132.03	0		19.806349
24	47	3	0	0	3	0	17	6	6	253.94	1		8.443233
44	85	1	0	0	9	0	9	5	6	268.60	0		12.068180
44	86	1	0	0	14	0	9	5	6	268.60	0		12.068180
44	87	3	0	0	19	0	17	6	6	253.94	1		8.443233
11	18	1	0	0	9	6	9	5	6	268.60	0		12.068180
11	19	3	0	0	3	6	17	6	6	253.94	1		8.443233
11	20	3	0	0	19	6	17	6	6	253.94	1		8.443233
10	17	3	0	0	3	12	17	6	6	253.94	1		8.443233
23	43	1	0	0	14	6	9	5	6	268.60	0		12.068180
23	44	2	0	0	0	7	11	3	7	132.03	0		19.806349
23	45	2	0	0	9	12	11	3	7	132.03	0		19.806349
30	59	1	0	0	12	12	9	5	6	268.60	0		12.068180
30	60	2	0	0	0	14	11	3	7	132.03	0		19.806349
12	21	2	0	0	12	18	11	3	7	132.03	0		19.806349
34	66	1	0	11	9	0	9	5	6	268.60	0		12.068180
34	67	1	0	11	14	0	9	5	6	268.60	0		12.068180
34	68	2	0	0	9	19	11	3	7	132.03	0		19.806349
35	69	3	0	0	17	12	17	6	6	253.94	1		8.443233
46	90	1	0	11	9	6	9	5	6	268.60	0		12.068180
46	91	3	0	0	3	18	17	6	6	253.94	1		8.443233
15	24	1	0	11	9	12	9	5	6	268.60	0		12.068180
15	25	3	0	0	15	18	17	6	6	253.94	1		8.443233
39	78	3	0	0	3	24	17	6	6	253.94	1		8.443233
27	53	1	0	11	9	18	9	5	6	268.60	0		12.068180
27	54	1	0	11	9	24	9	5	6	268.60	0		12.068180
27	55	3	0	0	15	24	17	6	6	253.94	1		8.443233
38	76	3	0	17	0	0	17	6	6	253.94	1		8.443233
38	77	3	0	17	19	0	17	6	6	253.94	1		8.443233
28	56	1	0	20	6	0	9	5	6	268.60	0		12.068180
28	57	3	0	17	0	6	17	6	6	253.94	1		8.443233
25	48	1	0	20	11	0	9	5	6	268.60	0		12.068180
25	49	3	0	17	19	6	17	6	6	253.94	1		8.443233
26	50	1	0	20	6	6	9	5	6	268.60	0		12.068180
26	51	3	0	17	0	12	17	6	6	253.94	1		8.443233
26	52	3	0	17	19	12	17	6	6	253.94	1		8.443233
13	22	1	0	20	11	6	9	5	6	268.60	0		12.068180
20	37	1	0	20	6	12	9	5	6	268.60	0		12.068180
20	38	3	0	17	0	18	17	6	6	253.94	1		8.443233
41	80	1	0	20	11	12	9	5	6	268.60	0		12.068180
41	81	3	0	17	19	18	17	6	6	253.94	1		8.443233
2	2	3	0	17	0	24	17	6	6	253.94	1		8.443233
2	3	3	0	17	19	24	17	6	6	253.94	1		8.443233
3	4	1	0	20	6	18	9	5	6	268.60	0		12.068180
18	32	1	0	20	11	18	9	5	6	268.60	0		12.068180
18	33	2	0	20	16	0	11	3	7	132.03	0		19.806349
31	61	2	0	20	16	7	11	3	7	132.03	0		19.806349
45	88	2	0	20	16	14	11	3	7	132.03	0		19.806349
45	89	3	0	29	6	0	17	6	6	253.94	1		8.443233
21	39	2	0	20	16	21	11	3	7	132.03	0		19.806349
21	40	2	0	29	12	0	11	3	7	132.03	0		19.806349
4	5	1	0	20	6	24	9	5	6	268.60	0		12.068180
4	6	1	0	20	11	24	9	5	6	268.60	0		12.068180
4	7	1	0	34	0	0	9	5	6	268.60	0		12.068180
22	41	2	0	29	12	7	11	3	7	132.03	0		19.806349
22	42	3	0	29	6	6	17	6	6	253.94	1		8.443233
9	15	2	0	29	12	14	11	3	7	132.03	0		19.806349
9	16	2	0	29	12	21	11	3	7	132.03	0		19.806349
36	70	1	0	34	15	0	9	5	6	268.60	0		12.068180
36	71	2	0	34	20	0	11	3	7	132.03	0		19.806349
36	72	3	0	29	6	12	17	6	6	253.94	1		8.443233
1	1	2	0	34	0	6	11	3	7	132.03	0		19.806349
