Name:				530_n100_m400_bt3_13067
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1120.86
Calculation_Time:		30.74
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		32
No_of_Items:			138
Customer_Sequence:		36 25 23 12 10 16 18 3 31 33 15 19 9 7 5 27 11 4 13 29 32 2 35 17 30 22 24 6 21 20 14 1 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
1	1	1	0	0	0	0	11	5	5	86.83	0		3.298137
1	3	3	0	0	5	0	16	2	4	73.29	0		27.644421
1	2	2	0	0	7	0	13	3	7	101.82	1		3.277691
14	58	1	0	0	10	0	11	5	5	86.83	0		3.298137
14	59	1	0	0	15	0	11	5	5	86.83	0		3.298137
14	60	2	0	0	20	0	13	3	7	101.82	1		3.277691
14	61	2	0	0	0	5	13	3	7	101.82	1		3.277691
20	84	1	0	0	10	5	11	5	5	86.83	0		3.298137
20	86	3	0	0	23	0	16	2	4	73.29	0		27.644421
20	85	2	0	0	15	5	13	3	7	101.82	1		3.277691
21	87	1	0	0	10	10	11	5	5	86.83	0		3.298137
21	88	1	0	0	10	15	11	5	5	86.83	0		3.298137
21	92	3	0	0	5	4	16	2	4	73.29	0		27.644421
21	89	2	0	0	7	7	13	3	7	101.82	1		3.277691
21	90	2	0	0	20	7	13	3	7	101.82	1		3.277691
21	91	2	0	0	0	12	13	3	7	101.82	1		3.277691
6	24	3	0	0	23	4	16	2	4	73.29	0		27.644421
6	25	3	0	0	5	8	16	2	4	73.29	0		27.644421
6	23	2	0	0	15	12	13	3	7	101.82	1		3.277691
24	99	3	0	0	23	8	16	2	4	73.29	0		27.644421
24	100	3	0	0	5	12	16	2	4	73.29	0		27.644421
24	101	3	0	0	23	12	16	2	4	73.29	0		27.644421
24	102	3	0	0	5	16	16	2	4	73.29	0		27.644421
22	94	3	0	0	23	16	16	2	4	73.29	0		27.644421
22	93	2	0	0	7	14	13	3	7	101.82	1		3.277691
30	119	1	0	0	10	20	11	5	5	86.83	0		3.298137
30	120	1	0	0	10	25	11	5	5	86.83	0		3.298137
30	123	3	0	0	5	20	16	2	4	73.29	0		27.644421
30	121	2	0	0	20	14	13	3	7	101.82	1		3.277691
30	122	2	0	0	0	19	13	3	7	101.82	1		3.277691
17	72	1	0	11	10	0	11	5	5	86.83	0		3.298137
17	73	2	0	0	15	19	13	3	7	101.82	1		3.277691
17	74	2	0	0	7	21	13	3	7	101.82	1		3.277691
35	140	1	0	11	10	5	11	5	5	86.83	0		3.298137
35	141	1	0	11	10	10	11	5	5	86.83	0		3.298137
35	143	3	0	0	23	20	16	2	4	73.29	0		27.644421
35	144	3	0	0	5	24	16	2	4	73.29	0		27.644421
35	142	2	0	0	20	21	13	3	7	101.82	1		3.277691
2	7	3	0	0	23	24	16	2	4	73.29	0		27.644421
2	4	2	0	11	10	15	13	3	7	101.82	1		3.277691
2	5	2	0	11	10	22	13	3	7	101.82	1		3.277691
2	6	2	0	13	7	0	13	3	7	101.82	1		3.277691
32	128	1	0	13	0	0	11	5	5	86.83	0		3.298137
32	129	1	0	13	0	5	11	5	5	86.83	0		3.298137
32	130	1	0	13	15	0	11	5	5	86.83	0		3.298137
29	113	1	0	13	15	5	11	5	5	86.83	0		3.298137
29	114	1	0	13	0	10	11	5	5	86.83	0		3.298137
29	115	1	0	13	15	10	11	5	5	86.83	0		3.298137
29	117	3	0	13	20	0	16	2	4	73.29	0		27.644421
29	118	3	0	13	20	4	16	2	4	73.29	0		27.644421
29	116	2	0	13	7	7	13	3	7	101.82	1		3.277691
13	53	1	0	13	0	15	11	5	5	86.83	0		3.298137
13	54	3	0	13	20	8	16	2	4	73.29	0		27.644421
13	55	3	0	13	20	12	16	2	4	73.29	0		27.644421
13	56	3	0	13	20	16	16	2	4	73.29	0		27.644421
13	57	3	0	13	20	20	16	2	4	73.29	0		27.644421
4	12	1	0	13	13	15	11	5	5	86.83	0		3.298137
