Name:				198_n100_m200_bt3_1312
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		3119.76
Calculation_Time:		2782.48
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		76
No_of_Items:			156
Customer_Sequence:		28 46 35 15 30 33 56 62 54 64 79 53 67 68 66 52 58 21 7 69 16 14 6 77 55 37 23 60 4 12 2 44 31 49 3 71 43 45 26 8 74 36 19 27 75 10 25 61 20 48 5 50 72 59 63 51 38 29 65 34 22 24 47 40 41 32 13 73 78 39 70 42 76 11 57 17 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
17	33	2	0	0	0	0	10	3	7	160.97	0		65.527841
17	32	1	0	0	3	0	14	6	4	248.40	1		6.923214
57	112	1	0	0	9	0	14	6	4	248.40	1		6.923214
11	19	2	0	0	15	0	10	3	7	160.97	0		65.527841
11	20	3	0	0	18	0	9	3	5	47.24	0		8.740837
76	150	2	0	0	21	0	10	3	7	160.97	0		65.527841
76	151	3	0	0	18	5	9	3	5	47.24	0		8.740837
76	152	3	0	0	0	7	9	3	5	47.24	0		8.740837
42	82	2	0	0	15	7	10	3	7	160.97	0		65.527841
42	83	3	0	0	21	7	9	3	5	47.24	0		8.740837
42	81	1	0	0	3	4	14	6	4	248.40	1		6.923214
70	135	3	0	0	18	10	9	3	5	47.24	0		8.740837
39	75	3	0	0	0	12	9	3	5	47.24	0		8.740837
39	73	1	0	0	9	4	14	6	4	248.40	1		6.923214
39	74	1	0	0	3	8	14	6	4	248.40	1		6.923214
78	157	3	0	0	21	12	9	3	5	47.24	0		8.740837
78	158	3	0	0	15	14	9	3	5	47.24	0		8.740837
78	156	1	0	0	9	8	14	6	4	248.40	1		6.923214
73	142	2	0	0	18	15	10	3	7	160.97	0		65.527841
73	143	2	0	0	0	17	10	3	7	160.97	0		65.527841
13	23	2	0	0	21	17	10	3	7	160.97	0		65.527841
13	24	3	0	0	15	19	9	3	5	47.24	0		8.740837
13	22	1	0	0	3	12	14	6	4	248.40	1		6.923214
40	76	2	0	0	18	22	10	3	7	160.97	0		65.527841
41	79	2	0	10	0	0	10	3	7	160.97	0		65.527841
41	80	3	0	0	0	24	9	3	5	47.24	0		8.740837
41	78	1	0	0	9	12	14	6	4	248.40	1		6.923214
32	59	1	0	0	3	16	14	6	4	248.40	1		6.923214
40	77	2	0	10	15	0	10	3	7	160.97	0		65.527841
47	91	1	0	0	9	16	14	6	4	248.40	1		6.923214
29	56	2	0	10	18	0	10	3	7	160.97	0		65.527841
24	45	2	0	10	21	0	10	3	7	160.97	0		65.527841
24	46	3	0	0	15	24	9	3	5	47.24	0		8.740837
22	42	1	0	0	3	20	14	6	4	248.40	1		6.923214
34	62	2	0	10	0	7	10	3	7	160.97	0		65.527841
34	63	3	0	0	21	24	9	3	5	47.24	0		8.740837
65	127	2	0	10	15	7	10	3	7	160.97	0		65.527841
65	126	1	0	0	9	20	14	6	4	248.40	1		6.923214
47	92	1	0	14	3	0	14	6	4	248.40	1		6.923214
38	72	3	0	9	15	14	9	3	5	47.24	0		8.740837
10	18	3	0	9	15	19	9	3	5	47.24	0		8.740837
38	71	1	0	0	3	24	14	6	4	248.40	1		6.923214
51	100	1	0	0	9	24	14	6	4	248.40	1		6.923214
63	122	1	0	14	9	0	14	6	4	248.40	1		6.923214
63	123	1	0	14	3	4	14	6	4	248.40	1		6.923214
63	124	1	0	14	9	4	14	6	4	248.40	1		6.923214
59	114	2	0	10	18	7	10	3	7	160.97	0		65.527841
59	115	3	0	10	21	7	9	3	5	47.24	0		8.740837
72	140	2	0	10	0	14	10	3	7	160.97	0		65.527841
72	139	1	0	14	3	8	14	6	4	248.40	1		6.923214
72	141	2	0	10	21	12	10	3	7	160.97	0		65.527841
50	99	2	0	10	18	14	10	3	7	160.97	0		65.527841
5	9	2	0	10	21	19	10	3	7	160.97	0		65.527841
5	10	3	0	10	0	21	9	3	5	47.24	0		8.740837
5	8	1	0	14	9	8	14	6	4	248.40	1		6.923214
48	93	2	0	10	18	21	10	3	7	160.97	0		65.527841
48	94	2	0	20	0	0	10	3	7	160.97	0		65.527841
48	95	3	0	20	15	0	9	3	5	47.24	0		8.740837
20	39	2	0	20	18	0	10	3	7	160.97	0		65.527841
20	38	1	0	14	3	12	14	6	4	248.40	1		6.923214
61	118	2	0	20	21	0	10	3	7	160.97	0		65.527841
25	49	3	0	20	15	5	9	3	5	47.24	0		8.740837
25	47	1	0	14	9	12	14	6	4	248.40	1		6.923214
25	48	1	0	14	3	16	14	6	4	248.40	1		6.923214
27	53	2	0	20	0	7	10	3	7	160.97	0		65.527841
10	17	1	0	14	9	16	14	6	4	248.40	1		6.923214
75	148	2	0	20	18	7	10	3	7	160.97	0		65.527841
75	149	2	0	20	21	7	10	3	7	160.97	0		65.527841
75	147	1	0	14	3	20	14	6	4	248.40	1		6.923214
27	51	2	0	20	15	10	10	3	7	160.97	0		65.527841
27	52	2	0	18	15	17	10	3	7	160.97	0		65.527841
74	146	3	0	9	15	24	9	3	5	47.24	0		8.740837
19	36	2	0	20	0	14	10	3	7	160.97	0		65.527841
19	37	3	0	19	0	21	9	3	5	47.24	0		8.740837
19	35	1	0	14	9	20	14	6	4	248.40	1		6.923214
36	67	2	0	20	18	14	10	3	7	160.97	0		65.527841
49	97	2	0	20	21	14	10	3	7	160.97	0		65.527841
36	66	1	0	14	3	24	14	6	4	248.40	1		6.923214
74	144	2	0	20	18	21	10	3	7	160.97	0		65.527841
74	145	3	0	18	15	24	9	3	5	47.24	0		8.740837
38	70	1	0	28	3	0	14	6	4	248.40	1		6.923214
