Name:				259_n100_m200_bt3_1548
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		3694.27
Calculation_Time:		3306.30
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		93
No_of_Items:			190
Customer_Sequence:		84 91 30 44 26 71 45 46 67 50 73 53 83 92 41 82 42 18 61 19 11 74 24 55 76 54 8 39 14 27 7 52 63 69 80 70 43 3 88 59 89 77 60 13 37 68 75 40 5 79 72 36 6 12 51 32 9 56 22 58 15 96 49 34 29 16 31 85 93 1 62 64 17 87 57 35 48 81 86 25 28 20 38 33 23 21 90 47 78 10 65 2 66 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
66	128	3	0	0	0	0	14	2	5	116.90	0		63.572415
66	129	3	0	0	2	0	14	2	5	116.90	0		63.572415
66	130	3	0	0	4	0	14	2	5	116.90	0		63.572415
47	87	3	0	0	6	0	14	2	5	116.90	0		63.572415
2	4	1	0	0	8	0	9	3	7	227.54	0		84.604200
2	5	2	0	0	11	0	6	6	7	216.36	1		7.545438
65	126	2	0	0	17	0	6	6	7	216.36	1		7.545438
65	127	2	0	0	0	5	6	6	7	216.36	1		7.545438
10	17	3	0	0	23	0	14	2	5	116.90	0		63.572415
10	18	3	0	0	23	5	14	2	5	116.90	0		63.572415
23	43	2	0	0	8	7	6	6	7	216.36	1		7.545438
78	155	2	0	0	14	7	6	6	7	216.36	1		7.545438
47	85	1	0	6	11	0	9	3	7	227.54	0		84.604200
20	37	2	0	0	0	12	6	6	7	216.36	1		7.545438
90	183	3	0	0	6	5	14	2	5	116.90	0		63.572415
2	3	1	0	6	14	0	9	3	7	227.54	0		84.604200
90	181	2	0	0	14	14	6	6	7	216.36	1		7.545438
90	182	2	0	0	14	21	6	6	7	216.36	1		7.545438
21	38	3	0	0	6	10	14	2	5	116.90	0		63.572415
23	41	1	0	6	17	0	9	3	7	227.54	0		84.604200
23	42	1	0	6	20	0	9	3	7	227.54	0		84.604200
78	156	3	0	0	23	10	14	2	5	116.90	0		63.572415
33	61	3	0	0	6	15	14	2	5	116.90	0		63.572415
33	62	3	0	0	23	15	14	2	5	116.90	0		63.572415
33	63	3	0	0	6	20	14	2	5	116.90	0		63.572415
38	70	1	0	6	0	5	9	3	7	227.54	0		84.604200
47	86	3	0	9	8	0	14	2	5	116.90	0		63.572415
28	52	3	0	0	23	20	14	2	5	116.90	0		63.572415
25	46	1	0	6	3	5	9	3	7	227.54	0		84.604200
25	47	2	0	0	8	14	6	6	7	216.36	1		7.545438
86	175	1	1	6	8	7	9	3	7	227.54	0		84.604200
81	162	1	0	6	17	7	9	3	7	227.54	0		84.604200
81	163	3	0	0	6	25	14	2	5	116.90	0		63.572415
32	60	3	0	0	23	25	14	2	5	116.90	0		63.572415
48	88	1	0	6	20	7	9	3	7	227.54	0		84.604200
35	66	2	0	0	0	19	6	6	7	216.36	1		7.545438
57	108	1	0	6	0	12	9	3	7	227.54	0		84.604200
87	176	1	0	6	3	12	9	3	7	227.54	0		84.604200
87	177	3	1	6	8	14	14	2	5	116.90	0		63.572415
17	33	1	0	6	0	19	9	3	7	227.54	0		84.604200
64	124	3	1	6	8	19	14	2	5	116.90	0		63.572415
64	125	3	1	6	8	24	14	2	5	116.90	0		63.572415
64	123	2	0	0	8	21	6	6	7	216.36	1		7.545438
62	119	1	0	6	3	19	9	3	7	227.54	0		84.604200
62	120	2	0	15	10	0	6	6	7	216.36	1		7.545438
1	1	3	0	9	8	5	14	2	5	116.90	0		63.572415
1	2	3	0	9	8	10	14	2	5	116.90	0		63.572415
93	189	3	0	8	8	15	14	2	5	116.90	0		63.572415
85	172	1	0	15	16	0	9	3	7	227.54	0		84.604200
85	173	3	0	8	8	20	14	2	5	116.90	0		63.572415
85	174	3	0	8	8	25	14	2	5	116.90	0		63.572415
31	56	1	0	15	19	0	9	3	7	227.54	0		84.604200
31	58	3	0	14	6	0	14	2	5	116.90	0		63.572415
31	57	2	0	9	10	7	6	6	7	216.36	1		7.545438
16	30	1	0	15	22	0	9	3	7	227.54	0		84.604200
16	31	1	0	15	0	0	9	3	7	227.54	0		84.604200
16	32	1	0	15	3	0	9	3	7	227.54	0		84.604200
29	53	1	0	15	0	7	9	3	7	227.54	0		84.604200
29	54	1	0	15	3	7	9	3	7	227.54	0		84.604200
34	64	1	0	15	16	7	9	3	7	227.54	0		84.604200
34	65	3	0	14	6	5	14	2	5	116.90	0		63.572415
49	89	1	0	15	19	7	9	3	7	227.54	0		84.604200
49	91	3	0	14	6	10	14	2	5	116.90	0		63.572415
49	90	1	0	15	22	7	9	3	7	227.54	0		84.604200
96	193	3	0	14	6	15	14	2	5	116.90	0		63.572415
96	192	2	0	8	10	14	6	6	7	216.36	1		7.545438
15	28	3	0	8	16	14	14	2	5	116.90	0		63.572415
15	29	3	0	8	18	14	14	2	5	116.90	0		63.572415
58	109	1	0	8	20	14	9	3	7	227.54	0		84.604200
58	110	3	0	8	16	19	14	2	5	116.90	0		63.572415
22	39	1	0	8	20	21	9	3	7	227.54	0		84.604200
22	40	2	0	8	10	21	6	6	7	216.36	1		7.545438
56	106	3	0	8	18	19	14	2	5	116.90	0		63.572415
88	178	2	0	15	10	7	6	6	7	216.36	1		7.545438
56	105	2	0	15	0	14	6	6	7	216.36	1		7.545438
