Name:				289_n100_m200_bt3_1715
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2264.32
Calculation_Time:		1502.01
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		63
No_of_Items:			128
Customer_Sequence:		56 66 39 23 18 48 30 1 7 38 15 32 22 12 19 44 8 20 31 52 41 14 26 65 42 36 17 27 13 40 57 47 53 4 28 62 11 50 49 43 63 5 59 6 33 24 60 55 34 45 35 9 25 64 2 46 21 51 61 16 10 58 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	3	3	0	0	0	0	8	3	8	82.75	0		24.770523
10	17	3	0	0	3	0	8	3	8	82.75	0		24.770523
58	113	1	0	0	6	0	10	7	4	245.01	0		18.421572
58	114	3	0	0	13	0	8	3	8	82.75	0		24.770523
58	112	1	0	0	16	0	10	7	4	245.01	0		18.421572
10	16	2	0	8	0	0	17	3	7	110.96	1		2.731464
16	29	1	0	0	6	4	10	7	4	245.01	0		18.421572
16	30	2	1	0	0	8	17	3	7	110.96	1		2.731464
16	31	2	1	0	0	15	17	3	7	110.96	1		2.731464
61	120	1	0	0	17	4	10	7	4	245.01	0		18.421572
61	121	2	1	0	0	22	17	3	7	110.96	1		2.731464
51	98	1	0	0	17	8	10	7	4	245.01	0		18.421572
21	40	1	0	0	17	12	10	7	4	245.01	0		18.421572
21	41	2	1	3	0	8	17	3	7	110.96	1		2.731464
46	87	1	0	0	17	16	10	7	4	245.01	0		18.421572
46	89	3	0	0	17	20	8	3	8	82.75	0		24.770523
46	88	2	1	3	0	15	17	3	7	110.96	1		2.731464
2	2	1	0	10	3	0	10	7	4	245.01	0		18.421572
64	127	1	0	10	10	0	10	7	4	245.01	0		18.421572
64	128	1	0	10	17	0	10	7	4	245.01	0		18.421572
25	47	3	0	0	20	20	8	3	8	82.75	0		24.770523
25	48	3	1	6	0	8	8	3	8	82.75	0		24.770523
9	13	1	0	10	3	4	10	7	4	245.01	0		18.421572
9	15	3	0	6	8	8	8	3	8	82.75	0		24.770523
9	14	2	1	3	0	22	17	3	7	110.96	1		2.731464
35	63	2	0	9	0	7	17	3	7	110.96	1		2.731464
45	86	3	1	6	0	16	8	3	8	82.75	0		24.770523
45	85	2	0	9	0	14	17	3	7	110.96	1		2.731464
34	60	1	0	10	11	4	10	7	4	245.01	0		18.421572
34	62	3	0	6	11	8	8	3	8	82.75	0		24.770523
34	61	2	0	9	0	21	17	3	7	110.96	1		2.731464
55	105	1	0	10	18	4	10	7	4	245.01	0		18.421572
55	106	1	0	10	14	8	10	7	4	245.01	0		18.421572
55	107	1	0	10	14	12	10	7	4	245.01	0		18.421572
60	117	1	0	6	8	16	10	7	4	245.01	0		18.421572
60	118	3	0	6	8	20	8	3	8	82.75	0		24.770523
60	119	3	0	6	11	20	8	3	8	82.75	0		24.770523
24	46	3	0	9	3	8	8	3	8	82.75	0		24.770523
24	44	2	0	20	3	0	17	3	7	110.96	1		2.731464
24	45	2	0	20	6	0	17	3	7	110.96	1		2.731464
33	59	1	0	10	15	16	10	7	4	245.01	0		18.421572
59	115	1	0	8	14	20	10	7	4	245.01	0		18.421572
11	18	1	0	8	14	24	10	7	4	245.01	0		18.421572
6	8	2	0	20	9	0	17	3	7	110.96	1		2.731464
63	126	2	0	20	12	0	17	3	7	110.96	1		2.731464
5	7	2	0	20	15	0	17	3	7	110.96	1		2.731464
63	124	1	0	20	18	0	10	7	4	245.01	0		18.421572
63	125	2	0	20	3	7	17	3	7	110.96	1		2.731464
59	116	3	0	9	3	16	8	3	8	82.75	0		24.770523
43	81	3	0	10	22	8	8	3	8	82.75	0		24.770523
43	80	2	0	17	3	14	17	3	7	110.96	1		2.731464
49	94	1	0	20	18	4	10	7	4	245.01	0		18.421572
49	95	2	0	17	3	21	17	3	7	110.96	1		2.731464
50	96	1	0	20	18	8	10	7	4	245.01	0		18.421572
50	97	3	0	10	22	16	8	3	8	82.75	0		24.770523
6	9	2	0	20	6	7	17	3	7	110.96	1		2.731464
11	19	2	0	16	6	14	17	3	7	110.96	1		2.731464
11	20	2	0	14	6	21	17	3	7	110.96	1		2.731464
62	123	3	0	18	22	12	8	3	8	82.75	0		24.770523
62	122	2	0	20	9	7	17	3	7	110.96	1		2.731464
28	53	3	0	18	22	20	8	3	8	82.75	0		24.770523
28	52	2	0	16	9	14	17	3	7	110.96	1		2.731464
4	4	1	0	30	18	0	10	7	4	245.01	0		18.421572
4	5	2	0	14	9	21	17	3	7	110.96	1		2.731464
4	6	2	0	20	12	7	17	3	7	110.96	1		2.731464
53	101	1	0	30	18	4	10	7	4	245.01	0		18.421572
53	102	1	0	30	18	8	10	7	4	245.01	0		18.421572
53	103	3	0	20	18	12	8	3	8	82.75	0		24.770523
47	90	2	0	20	15	7	17	3	7	110.96	1		2.731464
47	91	2	0	20	12	14	17	3	7	110.96	1		2.731464
57	110	1	0	28	18	12	10	7	4	245.01	0		18.421572
57	111	3	0	18	18	20	8	3	8	82.75	0		24.770523
40	71	1	0	28	18	16	10	7	4	245.01	0		18.421572
40	72	1	0	26	18	20	10	7	4	245.01	0		18.421572
40	73	3	0	26	0	0	8	3	8	82.75	0		24.770523
13	24	3	0	26	0	8	8	3	8	82.75	0		24.770523
13	23	2	0	20	15	14	17	3	7	110.96	1		2.731464
27	51	1	0	26	18	24	10	7	4	245.01	0		18.421572
17	32	3	0	26	0	16	8	3	8	82.75	0		24.770523
36	64	1	0	37	0	0	10	7	4	245.01	0		18.421572
36	65	3	0	37	7	0	8	3	8	82.75	0		24.770523
42	79	3	0	37	10	0	8	3	8	82.75	0		24.770523
42	77	2	0	18	12	21	17	3	7	110.96	1		2.731464
42	78	2	0	18	15	21	17	3	7	110.96	1		2.731464
65	129	1	0	37	0	4	10	7	4	245.01	0		18.421572
65	130	3	0	37	13	0	8	3	8	82.75	0		24.770523
26	49	1	0	37	0	8	10	7	4	245.01	0		18.421572
26	50	3	0	37	7	8	8	3	8	82.75	0		24.770523
14	25	2	0	40	16	0	17	3	7	110.96	1		2.731464
41	74	1	0	37	0	12	10	7	4	245.01	0		18.421572
41	75	2	0	40	19	0	17	3	7	110.96	1		2.731464
41	76	3	0	37	10	8	8	3	8	82.75	0		24.770523
52	99	1	0	37	0	16	10	7	4	245.01	0		18.421572
52	100	3	0	37	13	8	8	3	8	82.75	0		24.770523
8	12	2	0	40	22	0	17	3	7	110.96	1		2.731464
20	39	3	0	37	7	16	8	3	8	82.75	0		24.770523
20	38	2	0	40	16	7	17	3	7	110.96	1		2.731464
31	57	3	0	37	10	16	8	3	8	82.75	0		24.770523
44	82	1	0	37	0	20	10	7	4	245.01	0		18.421572
44	83	1	0	37	0	24	10	7	4	245.01	0		18.421572
44	84	2	0	38	16	14	17	3	7	110.96	1		2.731464
19	37	3	0	37	13	16	8	3	8	82.75	0		24.770523
19	36	2	0	36	16	21	17	3	7	110.96	1		2.731464
12	21	2	0	40	19	7	17	3	7	110.96	1		2.731464
12	22	2	0	38	19	14	17	3	7	110.96	1		2.731464
22	42	3	0	45	7	0	8	3	8	82.75	0		24.770523
32	58	3	0	45	10	0	8	3	8	82.75	0		24.770523
15	26	1	0	35	7	24	10	7	4	245.01	0		18.421572
15	27	1	0	47	0	0	10	7	4	245.01	0		18.421572
15	28	1	0	47	0	4	10	7	4	245.01	0		18.421572
38	67	1	0	47	0	8	10	7	4	245.01	0		18.421572
38	69	3	0	45	13	0	8	3	8	82.75	0		24.770523
38	68	2	0	36	19	21	17	3	7	110.96	1		2.731464
7	10	1	0	45	7	8	10	7	4	245.01	0		18.421572
7	11	2	0	40	22	7	17	3	7	110.96	1		2.731464
1	1	3	0	45	7	12	8	3	8	82.75	0		24.770523
30	56	3	0	45	10	12	8	3	8	82.75	0		24.770523
30	55	2	0	38	22	14	17	3	7	110.96	1		2.731464
48	93	3	0	45	7	20	8	3	8	82.75	0		24.770523
18	35	3	0	45	10	20	8	3	8	82.75	0		24.770523
18	33	1	0	47	0	12	10	7	4	245.01	0		18.421572
48	92	2	0	36	22	21	17	3	7	110.96	1		2.731464
18	34	2	1	57	0	0	17	3	7	110.96	1		2.731464
23	43	1	0	47	0	16	10	7	4	245.01	0		18.421572
39	70	2	1	57	0	7	17	3	7	110.96	1		2.731464
66	131	1	0	47	0	20	10	7	4	245.01	0		18.421572
56	108	2	1	57	0	14	17	3	7	110.96	1		2.731464
56	109	2	1	57	0	21	17	3	7	110.96	1		2.731464


