Name:				346_n020_m400_bt3_2294
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		285.49
Calculation_Time:		1097.25
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			149
Customer_Sequence:		3 4 9 20 1 8 11 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
11	215	3	0	0	0	0	15	5	5	174.24	0		62.559108
11	214	3	0	0	5	0	15	5	5	174.24	0		62.559108
11	213	3	0	0	10	0	15	5	5	174.24	0		62.559108
11	212	3	0	0	15	0	15	5	5	174.24	0		62.559108
11	211	3	0	0	20	0	15	5	5	174.24	0		62.559108
11	210	3	0	0	0	5	15	5	5	174.24	0		62.559108
11	209	3	0	0	5	5	15	5	5	174.24	0		62.559108
11	208	3	0	0	10	5	15	5	5	174.24	0		62.559108
11	207	3	0	0	15	5	15	5	5	174.24	0		62.559108
11	195	1	0	0	20	5	9	3	5	23.56	0		1.764253
11	198	1	0	0	0	10	9	3	5	23.56	0		1.764253
11	197	1	0	0	3	10	9	3	5	23.56	0		1.764253
11	196	1	0	0	6	10	9	3	5	23.56	0		1.764253
11	194	1	0	0	9	10	9	3	5	23.56	0		1.764253
11	204	2	0	0	12	10	6	5	6	36.60	1		2.107025
11	205	2	0	0	17	10	6	5	6	36.60	1		2.107025
11	206	2	0	0	0	15	6	5	6	36.60	1		2.107025
11	203	2	0	0	5	15	6	5	6	36.60	1		2.107025
11	202	2	0	0	12	16	6	5	6	36.60	1		2.107025
11	201	2	0	0	17	16	6	5	6	36.60	1		2.107025
11	200	2	0	0	0	21	6	5	6	36.60	1		2.107025
11	199	2	0	0	5	21	6	5	6	36.60	1		2.107025
8	160	3	1	9	0	10	15	5	5	174.24	0		62.559108
8	159	3	1	6	0	15	15	5	5	174.24	0		62.559108
20	383	1	0	6	15	10	9	3	5	23.56	0		1.764253
8	157	3	1	6	0	20	15	5	5	174.24	0		62.559108
8	156	3	1	6	0	25	15	5	5	174.24	0		62.559108
8	155	3	0	15	0	0	15	5	5	174.24	0		62.559108
8	154	3	0	15	5	0	15	5	5	174.24	0		62.559108
8	142	1	0	6	18	10	9	3	5	23.56	0		1.764253
8	145	1	0	6	18	15	9	3	5	23.56	0		1.764253
8	144	1	0	6	18	20	9	3	5	23.56	0		1.764253
8	143	1	0	6	18	25	9	3	5	23.56	0		1.764253
8	141	1	1	11	0	15	9	3	5	23.56	0		1.764253
8	149	2	0	0	12	22	6	5	6	36.60	1		2.107025
8	150	2	0	0	17	22	6	5	6	36.60	1		2.107025
8	151	2	0	15	10	0	6	5	6	36.60	1		2.107025
8	152	2	0	15	15	0	6	5	6	36.60	1		2.107025
8	153	2	0	15	20	0	6	5	6	36.60	1		2.107025
8	148	2	0	15	0	5	6	5	6	36.60	1		2.107025
8	147	2	0	14	0	11	6	5	6	36.60	1		2.107025
8	146	2	0	14	0	17	6	5	6	36.60	1		2.107025
1	20	3	0	15	5	5	15	5	5	174.24	0		62.559108
1	19	3	0	14	5	10	15	5	5	174.24	0		62.559108
1	18	3	0	14	5	15	15	5	5	174.24	0		62.559108
1	17	3	0	11	5	20	15	5	5	174.24	0		62.559108
1	16	3	0	11	5	25	15	5	5	174.24	0		62.559108
1	15	3	0	21	10	0	15	5	5	174.24	0		62.559108
1	14	3	0	21	15	0	15	5	5	174.24	0		62.559108
1	13	3	0	21	20	0	15	5	5	174.24	0		62.559108
1	2	1	0	21	0	5	9	3	5	23.56	0		1.764253
1	7	1	0	21	10	5	9	3	5	23.56	0		1.764253
1	6	1	0	21	13	5	9	3	5	23.56	0		1.764253
1	5	1	0	21	16	5	9	3	5	23.56	0		1.764253
1	4	1	0	21	19	5	9	3	5	23.56	0		1.764253
1	3	1	0	21	22	5	9	3	5	23.56	0		1.764253
1	1	1	0	21	0	10	9	3	5	23.56	0		1.764253
1	10	2	0	14	0	23	6	5	6	36.60	1		2.107025
1	11	2	0	15	10	6	6	5	6	36.60	1		2.107025
1	12	2	0	15	18	6	6	5	6	36.60	1		2.107025
1	9	2	0	14	10	12	6	5	6	36.60	1		2.107025
1	8	2	0	14	10	18	6	5	6	36.60	1		2.107025
20	400	3	1	21	10	10	15	5	5	174.24	0		62.559108
20	399	3	1	20	10	15	15	5	5	174.24	0		62.559108
20	398	3	1	20	10	20	15	5	5	174.24	0		62.559108
20	397	3	1	20	10	25	15	5	5	174.24	0		62.559108
20	396	3	1	26	10	10	15	5	5	174.24	0		62.559108
20	395	3	1	25	10	15	15	5	5	174.24	0		62.559108
20	381	1	0	6	15	15	9	3	5	23.56	0		1.764253
20	393	3	1	25	10	20	15	5	5	174.24	0		62.559108
20	392	3	1	25	10	25	15	5	5	174.24	0		62.559108
20	391	3	0	30	0	0	15	5	5	174.24	0		62.559108
20	378	1	0	6	15	20	9	3	5	23.56	0		1.764253
20	384	1	0	6	15	25	9	3	5	23.56	0		1.764253
8	158	3	0	30	5	0	15	5	5	174.24	0		62.559108
20	382	1	0	20	0	15	9	3	5	23.56	0		1.764253
20	394	3	0	30	0	5	15	5	5	174.24	0		62.559108
20	380	1	0	20	0	20	9	3	5	23.56	0		1.764253
20	379	1	0	20	0	25	9	3	5	23.56	0		1.764253
20	377	1	0	30	5	5	9	3	5	23.56	0		1.764253
20	388	2	0	14	10	24	6	5	6	36.60	1		2.107025
20	389	2	1	15	18	12	6	5	6	36.60	1		2.107025
20	390	2	1	15	18	18	6	5	6	36.60	1		2.107025
20	387	2	1	15	18	24	6	5	6	36.60	1		2.107025
20	386	2	0	29	3	10	6	5	6	36.60	1		2.107025
20	385	2	0	29	3	16	6	5	6	36.60	1		2.107025
9	179	3	1	31	8	5	15	5	5	174.24	0		62.559108
9	178	3	1	31	8	10	15	5	5	174.24	0		62.559108
9	177	3	1	30	8	15	15	5	5	174.24	0		62.559108
4	64	1	0	30	0	10	9	3	5	23.56	0		1.764253
9	175	3	1	30	8	20	15	5	5	174.24	0		62.559108
9	174	3	1	30	10	25	15	5	5	174.24	0		62.559108
9	173	3	0	36	10	0	15	5	5	174.24	0		62.559108
9	172	3	0	36	15	0	15	5	5	174.24	0		62.559108
9	171	3	0	36	20	0	15	5	5	174.24	0		62.559108
9	162	1	0	35	3	10	9	3	5	23.56	0		1.764253
9	163	1	0	35	3	15	9	3	5	23.56	0		1.764253
9	161	1	0	35	3	20	9	3	5	23.56	0		1.764253
9	170	2	0	29	3	22	6	5	6	36.60	1		2.107025
9	169	2	0	36	8	5	6	5	6	36.60	1		2.107025
9	168	2	0	36	13	5	6	5	6	36.60	1		2.107025
4	65	1	0	29	0	15	9	3	5	23.56	0		1.764253
9	166	2	0	36	18	5	6	5	6	36.60	1		2.107025
4	77	3	1	42	6	5	15	5	5	174.24	0		62.559108
9	164	2	0	36	8	11	6	5	6	36.60	1		2.107025
4	83	3	1	42	6	10	15	5	5	174.24	0		62.559108
4	82	3	1	42	6	15	15	5	5	174.24	0		62.559108
4	81	3	1	42	6	20	15	5	5	174.24	0		62.559108
4	80	3	1	42	6	25	15	5	5	174.24	0		62.559108
4	79	3	0	45	0	0	15	5	5	174.24	0		62.559108
4	78	3	0	45	5	0	15	5	5	174.24	0		62.559108
9	165	2	0	35	8	17	6	5	6	36.60	1		2.107025
4	76	3	0	45	0	5	15	5	5	174.24	0		62.559108
4	75	3	0	44	0	10	15	5	5	174.24	0		62.559108
9	167	2	0	35	8	23	6	5	6	36.60	1		2.107025
4	67	1	0	29	0	20	9	3	5	23.56	0		1.764253
4	66	1	0	29	0	25	9	3	5	23.56	0		1.764253
9	176	3	1	51	10	0	15	5	5	174.24	0		62.559108
4	74	2	0	36	13	11	6	5	6	36.60	1		2.107025
4	73	2	0	35	13	17	6	5	6	36.60	1		2.107025
4	72	2	0	35	13	23	6	5	6	36.60	1		2.107025
4	71	2	0	36	18	11	6	5	6	36.60	1		2.107025
4	70	2	0	35	18	17	6	5	6	36.60	1		2.107025
4	69	2	0	35	18	23	6	5	6	36.60	1		2.107025
4	68	2	0	44	0	15	6	5	6	36.60	1		2.107025
3	63	3	1	47	5	5	15	5	5	174.24	0		62.559108
3	62	3	1	47	5	10	15	5	5	174.24	0		62.559108
3	61	3	1	47	5	15	15	5	5	174.24	0		62.559108
3	60	3	1	47	5	20	15	5	5	174.24	0		62.559108
3	59	3	1	47	5	25	15	5	5	174.24	0		62.559108
3	58	3	1	52	5	5	15	5	5	174.24	0		62.559108
3	57	3	1	52	5	10	15	5	5	174.24	0		62.559108
