Name:				202_n100_m200_bt10_16829
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1194.70
Calculation_Time:		13.22
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		33
No_of_Items:			70
Customer_Sequence:		35 23 37 20 33 36 19 9 26 29 18 27 15 34 28 5 12 11 32 8 10 3 4 25 21 7 24 14 1 22 6 17 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	28	8	0	0	0	0	7	5	4	113.18	0		14.688655
13	29	8	0	0	5	0	7	5	4	113.18	0		14.688655
13	27	7	0	0	10	0	7	2	8	90.88	0		41.141988
17	37	4	0	0	12	0	12	2	6	105.04	0		26.439171
17	38	7	0	0	14	0	7	2	8	90.88	0		41.141988
6	14	4	0	0	16	0	12	2	6	105.04	0		26.439171
3	4	3	0	0	18	0	13	3	8	291.89	1		16.838623
22	48	10	0	0	21	0	9	3	5	108.92	0		72.306617
22	49	10	0	0	0	4	9	3	5	108.92	0		72.306617
1	2	10	0	0	3	4	9	3	5	108.92	0		72.306617
1	1	2	0	0	0	9	12	5	3	114.89	1		13.862504
14	30	5	0	12	12	0	17	6	4	229.14	0		9.084010
14	32	10	0	0	6	4	9	3	5	108.92	0		72.306617
14	31	7	0	0	21	5	7	2	8	90.88	0		41.141988
24	51	3	0	0	0	12	13	3	8	291.89	1		16.838623
7	15	2	0	12	12	4	12	5	3	114.89	1		13.862504
21	46	1	0	0	5	9	6	3	4	47.10	0		10.486189
21	47	3	0	0	0	20	13	3	8	291.89	1		16.838623
25	52	1	0	0	5	13	6	3	4	47.10	0		10.486189
4	8	9	0	7	10	0	16	2	5	59.29	0		8.932803
4	9	9	0	7	10	5	16	2	5	59.29	0		8.932803
4	7	2	0	12	12	7	12	5	3	114.89	1		13.862504
3	6	9	0	7	10	10	16	2	5	59.29	0		8.932803
3	5	8	0	13	18	0	7	5	4	113.18	0		14.688655
6	13	2	0	7	0	0	12	5	3	114.89	1		13.862504
10	21	9	0	7	10	15	16	2	5	59.29	0		8.932803
10	19	1	0	0	5	17	6	3	4	47.10	0		10.486189
10	20	3	0	0	18	8	13	3	8	291.89	1		16.838623
8	16	2	0	12	12	10	12	5	3	114.89	1		13.862504
32	66	8	0	13	18	4	7	5	4	113.18	0		14.688655
11	23	4	0	7	10	20	12	2	6	105.04	0		26.439171
11	22	2	0	12	12	13	12	5	3	114.89	1		13.862504
12	25	5	0	19	0	0	17	6	4	229.14	0		9.084010
12	26	7	0	0	21	13	7	2	8	90.88	0		41.141988
12	24	1	0	0	5	21	6	3	4	47.10	0		10.486189
5	11	5	0	19	0	4	17	6	4	229.14	0		9.084010
5	12	6	0	13	18	8	7	3	8	58.68	0		5.315889
5	10	1	0	0	5	25	6	3	4	47.10	0		10.486189
28	59	5	0	19	0	8	17	6	4	229.14	0		9.084010
28	60	9	0	13	23	0	16	2	5	59.29	0		8.932803
28	58	4	0	13	23	5	12	2	6	105.04	0		26.439171
34	68	5	0	19	0	12	17	6	4	229.14	0		9.084010
15	33	5	0	19	0	16	17	6	4	229.14	0		9.084010
15	34	5	0	19	0	20	17	6	4	229.14	0		9.084010
15	35	9	0	13	23	11	16	2	5	59.29	0		8.932803
27	57	10	0	13	18	16	9	3	5	108.92	0		72.306617
27	56	7	0	0	21	21	7	2	8	90.88	0		41.141988
27	55	1	0	13	18	21	6	3	4	47.10	0		10.486189
18	41	9	0	13	23	16	16	2	5	59.29	0		8.932803
18	40	8	0	19	0	24	7	5	4	113.18	0		14.688655
18	39	3	0	12	12	16	13	3	8	291.89	1		16.838623
29	61	5	0	29	12	0	17	6	4	229.14	0		9.084010
29	62	10	0	19	6	0	9	3	5	108.92	0		72.306617
26	53	5	0	28	6	0	17	6	4	229.14	0		9.084010
26	54	9	0	13	23	21	16	2	5	59.29	0		8.932803
9	17	2	0	26	0	24	12	5	3	114.89	1		13.862504
9	18	2	0	26	0	27	12	5	3	114.89	1		13.862504
19	42	6	0	19	6	5	7	3	8	58.68	0		5.315889
36	71	6	0	19	6	13	7	3	8	58.68	0		5.315889
36	72	10	0	19	6	21	9	3	5	108.92	0		72.306617
36	70	2	0	28	6	4	12	5	3	114.89	1		13.862504
33	67	2	0	28	11	4	12	5	3	114.89	1		13.862504
20	45	6	0	29	18	0	7	3	8	58.68	0		5.315889
20	44	3	0	28	6	7	13	3	8	291.89	1		16.838623
20	43	2	0	28	9	7	12	5	3	114.89	1		13.862504
37	73	4	0	28	16	4	12	2	6	105.04	0		26.439171
37	75	10	0	29	21	0	9	3	5	108.92	0		72.306617
37	74	7	0	13	21	8	7	2	8	90.88	0		41.141988
23	50	3	0	28	9	10	13	3	8	291.89	1		16.838623
35	69	9	0	28	16	10	16	2	5	59.29	0		8.932803


