Name:				203_n100_m200_bt10_16904
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		863.01
Calculation_Time:		3.63
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		23
No_of_Items:			48
Customer_Sequence:		6 8 25 26 7 11 3 23 20 13 16 21 10 27 2 14 19 4 18 15 9 1 24 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
24	46	2	0	0	0	0	15	6	4	207.06	1		10.118637
1	1	5	0	0	6	0	14	2	8	129.02	1		4.941426
9	18	7	0	0	8	0	9	6	7	308.94	0		43.335689
9	19	7	0	0	14	0	9	6	7	308.94	0		43.335689
15	30	2	0	0	0	4	15	6	4	207.06	1		10.118637
18	33	4	0	0	20	0	15	4	7	145.43	0		44.674637
18	34	8	1	0	8	7	14	4	3	137.89	0		66.062702
18	35	8	1	0	8	10	14	4	3	137.89	0		66.062702
4	7	3	0	9	8	0	9	7	8	262.16	0		20.790448
4	6	1	1	0	8	13	11	3	6	200.38	0		38.007598
4	8	5	0	0	22	7	14	2	8	129.02	1		4.941426
19	38	3	0	9	8	8	9	7	8	262.16	0		20.790448
19	36	1	1	0	8	19	11	3	6	200.38	0		38.007598
19	37	1	0	9	15	0	11	3	6	200.38	0		38.007598
14	28	1	0	9	15	6	11	3	6	200.38	0		38.007598
14	29	2	0	0	0	8	15	6	4	207.06	1		10.118637
2	3	6	1	0	8	25	13	3	3	71.88	0		17.868102
2	4	6	0	9	15	12	13	3	3	71.88	0		17.868102
2	2	5	0	0	6	8	14	2	8	129.02	1		4.941426
27	50	4	0	15	0	0	15	4	7	145.43	0		44.674637
27	52	9	0	9	8	16	12	6	5	321.41	0		26.813054
27	51	6	0	9	15	15	13	3	3	71.88	0		17.868102
10	20	5	0	0	0	12	14	2	8	129.02	1		4.941426
10	21	5	0	0	2	12	14	2	8	129.02	1		4.941426
10	22	5	0	0	4	12	14	2	8	129.02	1		4.941426
21	42	3	0	9	8	21	9	7	8	262.16	0		20.790448
21	43	6	0	9	15	18	13	3	3	71.88	0		17.868102
16	31	8	0	15	4	0	14	4	3	137.89	0		66.062702
13	27	4	0	15	20	0	15	4	7	145.43	0		44.674637
20	39	3	0	29	4	0	9	7	8	262.16	0		20.790448
20	41	9	0	29	11	0	12	6	5	321.41	0		26.813054
20	40	5	0	0	22	15	14	2	8	129.02	1		4.941426
23	45	4	0	15	0	7	15	4	7	145.43	0		44.674637
3	5	9	0	29	11	5	12	6	5	321.41	0		26.813054
11	24	3	0	29	4	8	9	7	8	262.16	0		20.790448
11	23	1	0	9	15	21	11	3	6	200.38	0		38.007598
11	25	8	0	15	20	7	14	4	3	137.89	0		66.062702
7	13	3	0	29	11	10	9	7	8	262.16	0		20.790448
7	15	10	0	15	20	10	12	3	8	178.15	0		19.412832
7	14	6	0	9	15	27	13	3	3	71.88	0		17.868102
26	49	9	0	29	4	16	12	6	5	321.41	0		26.813054
26	48	6	0	15	0	14	13	3	3	71.88	0		17.868102
25	47	9	0	29	11	18	12	6	5	321.41	0		26.813054
8	17	9	0	29	4	21	12	6	5	321.41	0		26.813054
8	16	6	0	15	0	17	13	3	3	71.88	0		17.868102
6	12	8	0	29	11	23	14	4	3	137.89	0		66.062702
6	11	6	0	15	20	18	13	3	3	71.88	0		17.868102
6	10	2	0	29	4	26	15	6	4	207.06	1		10.118637


