Name:				262_n100_m200_bt10_22020
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1439.96
Calculation_Time:		6.81
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		32
No_of_Items:			58
Customer_Sequence:		26 4 8 19 34 15 6 7 9 30 14 22 28 17 13 18 2 21 10 16 35 20 5 27 23 3 24 11 33 25 12 36 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
36	60	3	0	0	0	0	10	4	4	148.45	0		36.951389
36	62	6	0	0	4	0	10	2	7	121.13	0		17.741160
36	61	4	0	0	6	0	8	4	4	55.77	0		21.527783
12	19	7	0	0	10	0	12	7	6	448.61	0		48.010574
12	20	7	0	0	17	0	12	7	6	448.61	0		48.010574
12	18	6	0	0	0	4	10	2	7	121.13	0		17.741160
25	41	3	0	0	6	4	10	4	4	148.45	0		36.951389
25	40	2	0	0	10	6	15	5	3	217.11	1		15.689187
33	54	7	0	0	15	6	12	7	6	448.61	0		48.010574
33	53	5	0	0	15	12	7	6	5	154.72	1		5.319968
11	17	8	0	10	0	0	11	5	7	116.23	0		9.228267
11	16	4	0	0	6	8	8	4	4	55.77	0		21.527783
11	15	2	0	0	10	9	15	5	3	217.11	1		15.689187
24	39	7	0	12	17	0	12	7	6	448.61	0		48.010574
3	4	1	0	0	6	12	7	4	8	89.12	0		6.435426
23	37	1	0	0	6	20	7	4	8	89.12	0		6.435426
23	38	2	0	0	10	12	15	5	3	217.11	1		15.689187
27	44	10	0	10	0	7	9	6	6	110.44	0		23.719453
5	6	10	0	10	0	13	9	6	6	110.44	0		23.719453
20	33	7	0	12	17	6	12	7	6	448.61	0		48.010574
20	32	3	0	7	15	12	10	4	4	148.45	0		36.951389
35	58	7	0	21	0	0	12	7	6	448.61	0		48.010574
35	59	10	0	10	0	19	9	6	6	110.44	0		23.719453
35	57	2	0	0	10	15	15	5	3	217.11	1		15.689187
16	24	3	0	7	19	12	10	4	4	148.45	0		36.951389
16	25	4	0	7	15	16	8	4	4	55.77	0		21.527783
10	12	3	0	7	19	16	10	4	4	148.45	0		36.951389
10	13	3	0	7	15	20	10	4	4	148.45	0		36.951389
10	14	5	0	10	0	25	7	6	5	154.72	1		5.319968
21	34	10	1	17	15	12	9	6	6	110.44	0		23.719453
2	2	1	0	7	19	20	7	4	8	89.12	0		6.435426
2	3	4	0	7	15	24	8	4	4	55.77	0		21.527783
18	28	4	0	17	15	18	8	4	4	55.77	0		21.527783
18	29	4	0	17	19	18	8	4	4	55.77	0		21.527783
18	30	5	0	17	15	22	7	6	5	154.72	1		5.319968
13	21	4	0	21	7	0	8	4	4	55.77	0		21.527783
17	26	3	0	21	11	0	10	4	4	148.45	0		36.951389
17	27	4	0	21	7	4	8	4	4	55.77	0		21.527783
28	46	9	0	21	0	6	11	5	3	65.44	0		13.036439
28	47	9	0	21	0	9	11	5	3	65.44	0		13.036439
28	45	3	0	21	11	4	10	4	4	148.45	0		36.951389
22	36	9	0	21	7	8	11	5	3	65.44	0		13.036439
22	35	6	0	17	21	22	10	2	7	121.13	0		17.741160
14	22	9	0	21	7	11	11	5	3	65.44	0		13.036439
30	49	1	0	21	0	12	7	4	8	89.12	0		6.435426
30	50	6	0	21	5	6	10	2	7	121.13	0		17.741160
9	11	9	0	21	7	14	11	5	3	65.44	0		13.036439
7	9	1	0	21	7	17	7	4	8	89.12	0		6.435426
6	7	1	0	21	0	20	7	4	8	89.12	0		6.435426
6	8	5	0	33	0	0	7	6	5	154.72	1		5.319968
15	23	8	0	33	6	0	11	5	7	116.23	0		9.228267
34	56	7	0	33	11	0	12	7	6	448.61	0		48.010574
34	55	3	0	33	18	0	10	4	4	148.45	0		36.951389
19	31	5	0	33	0	5	7	6	5	154.72	1		5.319968
8	10	8	0	33	11	6	11	5	7	116.23	0		9.228267
4	5	3	0	33	18	4	10	4	4	148.45	0		36.951389
26	42	3	0	33	6	7	10	4	4	148.45	0		36.951389
26	43	6	0	21	5	13	10	2	7	121.13	0		17.741160


