Name:				321_n020_m400_bt10_26506
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		89.04
Calculation_Time:		1.79
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		2
No_of_Items:			40
Customer_Sequence:		6 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	284	2	0	0	0	0	16	7	8	98.64	0		9.874351
15	285	2	0	0	7	0	16	7	8	98.64	0		9.874351
15	286	2	0	0	14	0	16	7	8	98.64	0		9.874351
15	287	2	0	0	0	8	16	7	8	98.64	0		9.874351
15	298	8	0	0	7	8	10	5	7	43.04	0		3.398651
15	297	8	0	0	12	8	10	5	7	43.04	0		3.398651
15	296	8	0	0	17	8	10	5	7	43.04	0		3.398651
15	289	6	0	0	21	0	11	4	7	38.82	0		4.681858
15	290	6	0	0	7	15	11	4	7	38.82	0		4.681858
15	291	6	0	0	11	15	11	4	7	38.82	0		4.681858
15	292	6	0	0	15	15	11	4	7	38.82	0		4.681858
15	288	5	0	0	0	16	10	6	5	32.44	0		13.767275
15	302	10	0	0	19	15	10	4	6	42.10	0		4.910823
15	301	10	0	0	0	21	10	4	6	42.10	0		4.910823
15	295	7	0	0	4	21	7	2	8	21.35	0		16.824741
15	294	7	0	0	19	21	7	2	8	21.35	0		16.824741
15	293	7	0	0	21	21	7	2	8	21.35	0		16.824741
15	283	1	0	0	7	22	7	4	3	11.03	0		2.473601
15	299	9	0	0	11	22	11	3	8	42.72	1		4.036976
15	300	9	0	0	14	22	11	3	8	42.72	1		4.036976
6	104	2	0	16	0	0	16	7	8	98.64	0		9.874351
6	105	2	0	16	7	0	16	7	8	98.64	0		9.874351
6	112	6	0	11	21	0	11	4	7	38.82	0		4.681858
6	111	5	0	16	14	0	10	6	5	32.44	0		13.767275
6	110	5	0	16	14	5	10	6	5	32.44	0		13.767275
6	121	10	0	11	21	7	10	4	6	42.10	0		4.910823
6	120	10	0	11	21	13	10	4	6	42.10	0		4.910823
6	119	10	0	11	21	19	10	4	6	42.10	0		4.910823
6	118	10	0	16	0	8	10	4	6	42.10	0		4.910823
6	109	4	0	16	4	8	10	5	4	20.03	0		10.906988
6	108	4	0	16	9	8	10	5	4	20.03	0		10.906988
6	113	7	0	0	17	22	7	2	8	21.35	0		16.824741
6	114	7	0	10	0	16	7	2	8	21.35	0		16.824741
6	115	7	0	10	2	16	7	2	8	21.35	0		16.824741
6	103	1	0	0	7	25	7	4	3	11.03	0		2.473601
6	102	1	0	0	0	27	7	4	3	11.03	0		2.473601
6	107	3	0	26	14	0	16	6	8	74.44	1		0.981683
6	106	3	1	26	0	8	16	6	8	74.44	1		0.981683
6	116	9	1	16	4	12	11	3	8	42.72	1		4.036976
6	117	9	1	16	4	20	11	3	8	42.72	1		4.036976


