Name:				077_n060_m200_bt3_7895
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		625.95
Calculation_Time:		4.95
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		17
No_of_Items:			53
Customer_Sequence:		21 19 2 9 1 6 4 12 13 7 23 16 14 22 18 5 20 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
20	56	2	0	0	0	0	6	6	4	90.63	0		22.486769
20	57	3	0	0	6	0	8	2	6	71.25	0		24.140400
4	9	1	0	0	8	0	12	7	7	515.87	1		4.730632
5	14	2	0	0	15	0	6	6	4	90.63	0		22.486769
5	15	2	0	0	0	4	6	6	4	90.63	0		22.486769
5	12	1	0	6	15	0	12	7	7	515.87	1		4.730632
5	13	1	0	6	15	7	12	7	7	515.87	1		4.730632
18	52	3	0	0	6	6	8	2	6	71.25	0		24.140400
18	50	1	0	6	15	14	12	7	7	515.87	1		4.730632
18	51	1	0	6	15	21	12	7	7	515.87	1		4.730632
22	65	3	0	0	0	8	8	2	6	71.25	0		24.140400
22	63	1	0	18	15	0	12	7	7	515.87	1		4.730632
22	64	1	0	18	15	7	12	7	7	515.87	1		4.730632
14	38	2	0	30	15	0	6	6	4	90.63	0		22.486769
14	37	1	0	18	15	14	12	7	7	515.87	1		4.730632
16	43	2	0	30	15	4	6	6	4	90.63	0		22.486769
16	44	2	0	30	15	8	6	6	4	90.63	0		22.486769
16	45	3	0	0	2	8	8	2	6	71.25	0		24.140400
16	41	1	0	18	15	21	12	7	7	515.87	1		4.730632
16	42	1	0	36	15	0	12	7	7	515.87	1		4.730632
23	68	2	0	30	15	12	6	6	4	90.63	0		22.486769
23	69	2	0	30	15	16	6	6	4	90.63	0		22.486769
23	70	2	0	30	15	20	6	6	4	90.63	0		22.486769
23	66	1	0	36	15	7	12	7	7	515.87	1		4.730632
23	67	1	0	36	15	14	12	7	7	515.87	1		4.730632
7	20	2	0	30	15	24	6	6	4	90.63	0		22.486769
7	21	3	0	0	4	8	8	2	6	71.25	0		24.140400
7	18	1	0	36	15	21	12	7	7	515.87	1		4.730632
7	19	1	0	48	15	0	12	7	7	515.87	1		4.730632
13	36	3	0	0	6	12	8	2	6	71.25	0		24.140400
13	35	1	0	48	15	7	12	7	7	515.87	1		4.730632
12	34	3	0	0	0	14	8	2	6	71.25	0		24.140400
12	33	1	0	48	15	14	12	7	7	515.87	1		4.730632
4	11	2	0	12	8	0	6	6	4	90.63	0		22.486769
20	58	3	0	6	22	0	8	2	6	71.25	0		24.140400
4	10	1	0	0	8	7	12	7	7	515.87	1		4.730632
6	16	2	0	12	8	4	6	6	4	90.63	0		22.486769
6	17	3	0	0	2	14	8	2	6	71.25	0		24.140400
1	3	3	0	0	4	14	8	2	6	71.25	0		24.140400
1	1	1	0	0	8	14	12	7	7	515.87	1		4.730632
1	2	1	0	0	8	21	12	7	7	515.87	1		4.730632
9	26	2	0	0	0	20	6	6	4	90.63	0		22.486769
9	24	1	0	18	8	0	12	7	7	515.87	1		4.730632
9	25	1	0	18	8	7	12	7	7	515.87	1		4.730632
2	5	3	0	0	6	18	8	2	6	71.25	0		24.140400
2	4	1	0	18	8	14	12	7	7	515.87	1		4.730632
19	55	3	0	0	0	24	8	2	6	71.25	0		24.140400
19	53	1	0	18	8	21	12	7	7	515.87	1		4.730632
19	54	1	0	30	8	0	12	7	7	515.87	1		4.730632
21	60	2	0	0	2	24	6	6	4	90.63	0		22.486769
21	61	3	0	6	22	6	8	2	6	71.25	0		24.140400
21	62	3	0	6	22	12	8	2	6	71.25	0		24.140400
21	59	1	0	30	8	7	12	7	7	515.87	1		4.730632


