Name:				083_n060_m200_bt10_8543
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		953.74
Calculation_Time:		55.01
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		30
No_of_Items:			109
Customer_Sequence:		30 28 1 15 10 24 27 33 25 8 22 29 18 31 20 6 17 4 9 14 16 26 11 21 19 12 7 34 23 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	6	1	0	0	0	0	10	6	3	77.21	0		21.051003
2	7	1	0	0	6	0	10	6	3	77.21	0		21.051003
2	8	1	0	0	12	0	10	6	3	77.21	0		21.051003
23	82	9	0	0	18	0	13	2	3	83.09	0		38.777766
23	81	5	0	0	0	3	9	6	3	193.49	1		55.849331
34	118	6	0	0	20	0	12	4	5	279.64	0		26.899576
34	120	10	0	0	6	3	9	4	4	118.71	0		32.697216
34	119	7	0	0	10	3	6	5	2	312.56	0		48.913854
7	22	2	0	10	0	0	12	6	3	600.82	0		29.057388
7	23	3	0	0	15	3	7	5	4	226.04	0		35.000813
12	41	2	0	9	0	3	12	6	3	600.82	0		29.057388
12	42	2	0	9	0	6	12	6	3	600.82	0		29.057388
12	45	10	0	0	20	5	9	4	4	118.71	0		32.697216
12	43	5	0	0	0	6	9	6	3	193.49	1		55.849331
12	44	5	0	0	0	9	9	6	3	193.49	1		55.849331
19	65	6	0	0	6	7	12	4	5	279.64	0		26.899576
19	64	1	0	9	0	9	10	6	3	77.21	0		21.051003
19	67	9	0	0	6	12	13	2	3	83.09	0		38.777766
19	68	9	0	0	8	12	13	2	3	83.09	0		38.777766
19	66	7	0	0	10	5	6	5	2	312.56	0		48.913854
21	74	3	0	0	10	7	7	5	4	226.04	0		35.000813
21	77	9	0	0	6	15	13	2	3	83.09	0		38.777766
21	76	8	0	13	18	0	7	7	5	114.84	1		32.489882
21	75	5	0	0	0	12	9	6	3	193.49	1		55.849331
11	39	4	0	9	0	12	13	5	3	177.82	0		23.266086
11	40	4	0	9	0	15	13	5	3	177.82	0		23.266086
11	37	3	0	0	15	7	7	5	4	226.04	0		35.000813
11	38	3	0	0	20	9	7	5	4	226.04	0		35.000813
26	92	1	1	0	10	11	10	6	3	77.21	0		21.051003
26	94	10	0	0	20	13	9	4	4	118.71	0		32.697216
26	93	7	0	0	10	14	6	5	2	312.56	0		48.913854
16	54	3	0	0	15	14	7	5	4	226.04	0		35.000813
16	55	3	0	0	10	16	7	5	4	226.04	0		35.000813
14	48	1	0	9	0	18	10	6	3	77.21	0		21.051003
14	49	1	0	9	0	21	10	6	3	77.21	0		21.051003
14	51	10	0	0	20	17	9	4	4	118.71	0		32.697216
14	50	8	0	9	0	24	7	7	5	114.84	1		32.489882
9	30	6	0	0	20	21	12	4	5	279.64	0		26.899576
9	31	6	0	10	12	0	12	4	5	279.64	0		26.899576
9	29	3	0	0	15	18	7	5	4	226.04	0		35.000813
9	32	9	0	0	8	15	13	2	3	83.09	0		38.777766
4	12	6	0	10	12	5	12	4	5	279.64	0		26.899576
4	14	9	0	0	8	18	13	2	3	83.09	0		38.777766
4	13	8	0	13	18	5	7	7	5	114.84	1		32.489882
17	56	3	0	0	10	20	7	5	4	226.04	0		35.000813
17	58	9	0	0	8	21	13	2	3	83.09	0		38.777766
17	57	5	0	0	8	24	9	6	3	193.49	1		55.849331
6	18	2	0	20	18	0	12	6	3	600.82	0		29.057388
6	19	2	0	20	18	3	12	6	3	600.82	0		29.057388
6	20	2	0	20	18	6	12	6	3	600.82	0		29.057388
6	21	10	0	0	15	22	9	4	4	118.71	0		32.697216
20	70	6	0	10	12	10	12	4	5	279.64	0		26.899576
20	69	2	0	20	18	9	12	6	3	600.82	0		29.057388
20	73	10	0	0	15	26	9	4	4	118.71	0		32.697216
20	72	9	0	0	20	26	13	2	3	83.09	0		38.777766
20	71	7	0	10	12	15	6	5	2	312.56	0		48.913854
31	108	6	0	20	18	12	12	4	5	279.64	0		26.899576
31	109	9	0	0	22	26	13	2	3	83.09	0		38.777766
31	107	5	0	0	8	27	9	6	3	193.49	1		55.849331
18	63	6	0	20	18	17	12	4	5	279.64	0		26.899576
18	59	1	0	22	0	0	10	6	3	77.21	0		21.051003
18	60	1	0	22	6	0	10	6	3	77.21	0		21.051003
18	61	1	0	22	12	0	10	6	3	77.21	0		21.051003
18	62	3	0	10	12	17	7	5	4	226.04	0		35.000813
29	101	1	0	22	0	3	10	6	3	77.21	0		21.051003
29	102	1	0	22	6	3	10	6	3	77.21	0		21.051003
25	91	10	0	10	12	21	9	4	4	118.71	0		32.697216
22	80	6	0	20	18	22	12	4	5	279.64	0		26.899576
22	78	2	0	22	12	3	12	6	3	600.82	0		29.057388
22	79	2	0	22	0	6	12	6	3	600.82	0		29.057388
8	26	6	0	22	6	6	12	4	5	279.64	0		26.899576
8	24	4	0	22	10	6	13	5	3	177.82	0		23.266086
8	28	10	0	22	0	9	9	4	4	118.71	0		32.697216
8	27	7	0	20	18	27	6	5	2	312.56	0		48.913854
8	25	5	0	22	10	9	9	6	3	193.49	1		55.849331
25	87	2	0	32	18	0	12	6	3	600.82	0		29.057388
29	103	1	0	32	0	0	10	6	3	77.21	0		21.051003
25	88	3	0	10	12	25	7	5	4	226.04	0		35.000813
25	89	7	0	22	0	13	6	5	2	312.56	0		48.913854
25	90	8	0	22	10	12	7	7	5	114.84	1		32.489882
33	114	6	0	22	6	11	12	4	5	279.64	0		26.899576
33	117	10	0	22	6	16	9	4	4	118.71	0		32.697216
33	113	3	0	22	0	15	7	5	4	226.04	0		35.000813
33	115	7	0	22	0	19	6	5	2	312.56	0		48.913854
33	116	8	0	22	10	17	7	7	5	114.84	1		32.489882
27	95	3	0	22	0	21	7	5	4	226.04	0		35.000813
27	96	3	0	22	0	25	7	5	4	226.04	0		35.000813
27	97	3	0	32	18	3	7	5	4	226.04	0		35.000813
24	83	6	0	22	6	20	12	4	5	279.64	0		26.899576
24	86	10	0	22	5	25	9	4	4	118.71	0		32.697216
24	84	7	0	26	18	27	6	5	2	312.56	0		48.913854
24	85	8	0	22	10	22	7	7	5	114.84	1		32.489882
10	33	2	0	42	0	0	12	6	3	600.82	0		29.057388
10	34	4	0	42	6	0	13	5	3	177.82	0		23.266086
10	36	9	0	42	11	0	13	2	3	83.09	0		38.777766
10	35	5	0	22	10	27	9	6	3	193.49	1		55.849331
15	53	6	0	42	13	0	12	4	5	279.64	0		26.899576
15	52	3	0	32	18	7	7	5	4	226.04	0		35.000813
1	1	2	0	42	0	3	12	6	3	600.82	0		29.057388
1	2	4	0	42	6	3	13	5	3	177.82	0		23.266086
1	3	4	0	42	0	6	13	5	3	177.82	0		23.266086
1	5	10	0	32	18	11	9	4	4	118.71	0		32.697216
1	4	8	0	42	5	6	7	7	5	114.84	1		32.489882
28	100	9	0	42	13	5	13	2	3	83.09	0		38.777766
28	98	5	0	42	5	11	9	6	3	193.49	1		55.849331
28	99	5	0	42	5	14	9	6	3	193.49	1		55.849331
30	104	1	0	44	18	0	10	6	3	77.21	0		21.051003
30	105	1	0	44	18	3	10	6	3	77.21	0		21.051003
30	106	9	0	42	15	5	13	2	3	83.09	0		38.777766


