Name:				141_n060_m200_bt10_14225
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		897.36
Calculation_Time:		36.90
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		22
No_of_Items:			75
Customer_Sequence:		4 1 5 23 13 19 14 26 7 24 12 8 20 21 10 9 2 18 16 27 17 11 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
11	33	5	0	0	0	0	10	4	8	300.73	0		33.950448
11	34	7	0	0	4	0	8	6	6	556.89	0		215.311932
11	35	8	0	0	10	0	10	3	3	87.17	0		13.433860
17	57	7	0	0	13	0	8	6	6	556.89	0		215.311932
17	58	7	0	0	19	0	8	6	6	556.89	0		215.311932
17	59	7	0	0	4	6	8	6	6	556.89	0		215.311932
17	56	6	0	0	10	3	12	3	3	99.10	0		13.027510
27	87	1	0	0	10	6	14	3	3	187	0		17.417966
27	88	1	0	0	10	9	14	3	3	187	0		17.417966
16	53	7	0	0	13	6	8	6	6	556.89	0		215.311932
16	54	9	1	0	4	12	14	4	4	208.05	0		53.762336
16	55	9	1	0	4	16	14	4	4	208.05	0		53.762336
16	52	1	1	0	4	20	14	3	3	187	0		17.417966
18	60	2	0	8	13	0	8	7	3	98.73	0		98.568129
18	61	2	0	8	13	3	8	7	3	98.73	0		98.568129
18	62	8	0	0	19	6	10	3	3	87.17	0		13.433860
18	63	10	0	0	0	8	6	4	8	136.77	1		6.048159
2	3	3	0	8	4	0	15	6	7	492.70	0		162.197441
2	5	7	1	4	4	12	8	6	6	556.89	0		215.311932
2	6	10	0	0	19	9	6	4	8	136.77	1		6.048159
2	4	4	0	0	0	16	6	4	5	103.24	1		6.721287
9	26	5	1	4	4	18	10	4	8	300.73	0		33.950448
9	28	9	1	0	4	23	14	4	4	208.05	0		53.762336
9	27	8	1	0	4	27	10	3	3	87.17	0		13.433860
10	31	3	0	16	13	0	15	6	7	492.70	0		162.197441
10	32	9	0	10	0	0	14	4	4	208.05	0		53.762336
10	30	2	0	16	13	7	8	7	3	98.73	0		98.568129
10	29	1	0	10	0	4	14	3	3	187	0		17.417966
21	71	7	0	10	0	7	8	6	6	556.89	0		215.311932
21	72	8	1	4	4	26	10	3	3	87.17	0		13.433860
21	69	4	0	0	19	17	6	4	5	103.24	1		6.721287
21	70	4	0	0	0	21	6	4	5	103.24	1		6.721287
20	66	3	0	23	4	0	15	6	7	492.70	0		162.197441
20	68	10	0	0	19	22	6	4	8	136.77	1		6.048159
20	67	4	0	10	6	7	6	4	5	103.24	1		6.721287
8	24	5	0	10	0	13	10	4	8	300.73	0		33.950448
8	25	10	0	10	6	12	6	4	8	136.77	1		6.048159
8	23	4	0	10	6	20	6	4	5	103.24	1		6.721287
12	38	9	0	16	6	7	14	4	4	208.05	0		53.762336
7	21	7	0	16	13	10	8	6	6	556.89	0		215.311932
19	65	3	0	31	13	0	15	6	7	492.70	0		162.197441
12	40	10	0	10	0	21	6	4	8	136.77	1		6.048159
12	37	4	0	10	6	25	6	4	5	103.24	1		6.721287
24	80	3	0	31	19	0	15	6	7	492.70	0		162.197441
24	81	5	0	16	6	11	10	4	8	300.73	0		33.950448
7	20	3	0	31	19	7	15	6	7	492.70	0		162.197441
12	36	2	1	24	13	7	8	7	3	98.73	0		98.568129
7	22	8	0	16	13	16	10	3	3	87.17	0		13.433860
26	84	5	0	16	6	19	10	4	8	300.73	0		33.950448
26	85	6	0	16	13	19	12	3	3	99.10	0		13.027510
26	86	6	0	16	13	22	12	3	3	99.10	0		13.027510
14	47	9	0	24	0	0	14	4	4	208.05	0		53.762336
14	45	2	0	38	0	0	8	7	3	98.73	0		98.568129
14	46	6	0	16	13	25	12	3	3	99.10	0		13.027510
14	48	10	0	16	16	16	6	4	8	136.77	1		6.048159
12	39	10	0	38	7	0	6	4	8	136.77	1		6.048159
19	64	1	0	24	0	4	14	3	3	187	0		17.417966
13	41	5	0	24	0	7	10	4	8	300.73	0		33.950448
13	42	5	0	24	0	15	10	4	8	300.73	0		33.950448
13	44	9	0	31	13	7	14	4	4	208.05	0		53.762336
13	43	8	0	16	6	27	10	3	3	87.17	0		13.433860
23	76	3	0	31	19	14	15	6	7	492.70	0		162.197441
23	77	9	0	31	13	11	14	4	4	208.05	0		53.762336
23	78	9	0	31	13	15	14	4	4	208.05	0		53.762336
23	79	10	0	31	13	19	6	4	8	136.77	1		6.048159
5	15	2	0	38	0	3	8	7	3	98.73	0		98.568129
5	14	1	0	31	19	21	14	3	3	187	0		17.417966
5	16	10	1	34	0	7	6	4	8	136.77	1		6.048159
1	2	9	0	31	19	24	14	4	4	208.05	0		53.762336
1	1	8	0	24	0	23	10	3	3	87.17	0		13.433860
4	10	3	0	44	7	0	15	6	7	492.70	0		162.197441
4	11	3	0	44	7	7	15	6	7	492.70	0		162.197441
4	13	7	0	38	0	6	8	6	6	556.89	0		215.311932
4	9	1	0	44	7	14	14	3	3	187	0		17.417966
4	12	4	1	34	0	15	6	4	5	103.24	1		6.721287


