Name:				144_n060_m200_bt10_14482
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		597.06
Calculation_Time:		3.76
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		13
No_of_Items:			53
Customer_Sequence:		17 9 4 2 8 15 18 12 5 10 6 7 1 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
1	1	2	0	0	0	0	16	3	6	358.41	0		102.092754
1	2	7	0	0	3	0	10	6	4	220.28	0		30.466300
7	22	6	0	0	9	0	12	5	8	284.01	0		11.529031
7	23	6	0	0	14	0	12	5	8	284.01	0		11.529031
7	21	5	0	0	19	0	12	6	6	253.20	0		80.669520
7	20	2	0	0	0	6	16	3	6	358.41	0		102.092754
7	24	7	0	0	3	4	10	6	4	220.28	0		30.466300
6	19	9	0	0	3	8	10	7	8	382.87	0		17.459941
6	17	5	0	0	19	6	12	6	6	253.20	0		80.669520
6	18	8	0	0	10	8	12	5	7	394.22	0		17.605436
6	16	3	0	0	15	8	14	3	7	231.39	1		18.299463
10	37	8	0	0	19	12	12	5	7	394.22	0		17.605436
10	38	10	0	10	3	0	16	6	4	122.92	0		12.578337
10	34	2	0	0	0	12	16	3	6	358.41	0		102.092754
10	35	3	0	0	10	15	14	3	7	231.39	1		18.299463
10	36	4	0	0	13	15	6	4	5	68.03	1		7.915199
5	13	6	0	0	3	16	12	5	8	284.01	0		11.529031
5	14	6	0	0	19	19	12	5	8	284.01	0		11.529031
5	15	6	0	10	3	4	12	5	8	284.01	0		11.529031
12	42	6	0	12	19	0	12	5	8	284.01	0		11.529031
12	43	8	0	12	19	8	12	5	7	394.22	0		17.605436
12	44	10	0	24	19	0	16	6	4	122.92	0		12.578337
18	65	5	0	0	3	24	12	6	6	253.20	0		80.669520
18	66	10	0	24	19	4	16	6	4	122.92	0		12.578337
18	64	2	0	0	0	18	16	3	6	358.41	0		102.092754
18	63	1	0	12	19	15	6	4	4	48.87	0		7.460366
15	55	9	0	26	3	0	10	7	8	382.87	0		17.459941
15	54	8	0	24	19	8	12	5	7	394.22	0		17.605436
15	52	2	0	0	0	24	16	3	6	358.41	0		102.092754
15	51	1	0	12	19	19	6	4	4	48.87	0		7.460366
15	53	4	0	0	13	20	6	4	5	68.03	1		7.915199
8	28	9	0	26	10	0	10	7	8	382.87	0		17.459941
8	25	6	0	18	19	15	12	5	8	284.01	0		11.529031
8	27	8	0	12	19	23	12	5	7	394.22	0		17.605436
8	29	10	1	26	3	8	16	6	4	122.92	0		12.578337
8	26	7	1	26	3	12	10	6	4	220.28	0		30.466300
2	6	9	1	26	3	16	10	7	8	382.87	0		17.459941
2	5	8	1	32	3	8	12	5	7	394.22	0		17.605436
2	7	10	0	36	3	0	16	6	4	122.92	0		12.578337
2	3	2	0	16	0	0	16	3	6	358.41	0		102.092754
2	4	2	0	16	0	6	16	3	6	358.41	0		102.092754
4	11	8	0	40	19	0	12	5	7	394.22	0		17.605436
4	12	10	1	52	3	0	16	6	4	122.92	0		12.578337
4	10	1	0	24	19	23	6	4	4	48.87	0		7.460366
9	30	1	0	26	3	24	6	4	4	48.87	0		7.460366
9	31	1	0	26	7	24	6	4	4	48.87	0		7.460366
9	32	1	0	30	19	15	6	4	4	48.87	0		7.460366
9	33	3	0	16	0	12	14	3	7	231.39	1		18.299463
17	61	8	0	40	19	7	12	5	7	394.22	0		17.605436
17	62	10	1	52	3	4	16	6	4	122.92	0		12.578337
17	58	2	0	32	0	0	16	3	6	358.41	0		102.092754
17	59	2	0	32	0	6	16	3	6	358.41	0		102.092754
17	60	4	0	0	13	25	6	4	5	68.03	1		7.915199


