Name:				200_n100_m200_bt3_19987
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1069.32
Calculation_Time:		4.24
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		21
No_of_Items:			51
Customer_Sequence:		26 23 18 24 6 10 8 13 22 20 21 4 17 25 2 19 15 7 1 12 11 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
11	23	1	0	0	0	0	12	7	3	155.76	0		8.435983
11	25	3	0	0	7	0	10	3	7	161.82	0		56.129911
11	24	2	0	0	10	0	17	6	5	183.15	1		2.254312
12	26	1	0	0	16	0	12	7	3	155.76	0		8.435983
12	27	1	0	0	0	3	12	7	3	155.76	0		8.435983
12	28	3	0	0	16	3	10	3	7	161.82	0		56.129911
1	3	3	0	0	19	3	10	3	7	161.82	0		56.129911
1	1	2	0	0	10	5	17	6	5	183.15	1		2.254312
1	2	2	0	0	10	10	17	6	5	183.15	1		2.254312
7	13	1	0	0	0	6	12	7	3	155.76	0		8.435983
7	14	2	0	0	10	15	17	6	5	183.15	1		2.254312
7	15	2	0	0	10	20	17	6	5	183.15	1		2.254312
15	35	2	0	0	10	25	17	6	5	183.15	1		2.254312
15	36	2	0	12	0	0	17	6	5	183.15	1		2.254312
19	43	1	0	0	0	9	12	7	3	155.76	0		8.435983
19	44	1	0	0	0	12	12	7	3	155.76	0		8.435983
19	45	2	0	12	16	0	17	6	5	183.15	1		2.254312
2	4	2	0	12	0	5	17	6	5	183.15	1		2.254312
25	56	1	0	0	0	15	12	7	3	155.76	0		8.435983
25	57	2	0	12	16	5	17	6	5	183.15	1		2.254312
25	58	2	0	0	16	10	17	6	5	183.15	1		2.254312
17	38	1	0	0	0	18	12	7	3	155.76	0		8.435983
17	39	3	0	0	7	7	10	3	7	161.82	0		56.129911
17	40	3	0	0	7	14	10	3	7	161.82	0		56.129911
4	6	1	0	0	0	21	12	7	3	155.76	0		8.435983
4	7	2	0	0	16	15	17	6	5	183.15	1		2.254312
21	47	1	0	0	0	24	12	7	3	155.76	0		8.435983
21	48	2	0	0	16	20	17	6	5	183.15	1		2.254312
20	46	3	0	0	7	21	10	3	7	161.82	0		56.129911
22	49	1	0	0	0	27	12	7	3	155.76	0		8.435983
22	50	3	0	10	7	0	10	3	7	161.82	0		56.129911
13	29	1	0	20	7	0	12	7	3	155.76	0		8.435983
13	30	1	0	20	7	3	12	7	3	155.76	0		8.435983
13	31	2	0	0	16	25	17	6	5	183.15	1		2.254312
8	16	2	0	12	0	10	17	6	5	183.15	1		2.254312
8	17	2	0	12	0	15	17	6	5	183.15	1		2.254312
8	18	2	0	12	0	20	17	6	5	183.15	1		2.254312
10	20	1	0	20	7	6	12	7	3	155.76	0		8.435983
10	21	1	0	20	7	9	12	7	3	155.76	0		8.435983
10	22	3	0	10	7	7	10	3	7	161.82	0		56.129911
6	10	1	0	20	7	12	12	7	3	155.76	0		8.435983
6	11	3	0	10	7	14	10	3	7	161.82	0		56.129911
6	12	3	0	10	7	21	10	3	7	161.82	0		56.129911
24	53	1	0	20	7	15	12	7	3	155.76	0		8.435983
24	55	3	0	12	22	0	10	3	7	161.82	0		56.129911
24	54	2	0	12	0	25	17	6	5	183.15	1		2.254312
18	41	1	0	20	7	18	12	7	3	155.76	0		8.435983
18	42	2	0	29	0	0	17	6	5	183.15	1		2.254312
23	51	2	0	29	16	0	17	6	5	183.15	1		2.254312
23	52	2	0	29	0	5	17	6	5	183.15	1		2.254312
26	59	2	0	29	16	5	17	6	5	183.15	1		2.254312


