Name:				262_n100_m200_bt10_25650
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1645.06
Calculation_Time:		9.37
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		43
No_of_Items:			78
Customer_Sequence:		27 36 28 22 24 38 13 34 41 39 45 19 35 43 7 23 25 15 44 3 32 37 6 4 14 21 11 30 8 10 2 5 26 42 17 16 12 47 18 20 1 33 40 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
40	69	9	0	0	0	0	11	5	3	65.44	0		13.036439
40	68	5	0	0	5	0	7	6	5	154.72	1		5.319968
33	54	7	0	0	11	0	12	7	6	448.61	0		48.010574
33	53	5	0	0	18	0	7	6	5	154.72	1		5.319968
1	1	3	0	0	0	3	10	4	4	148.45	0		36.951389
20	33	7	0	0	11	6	12	7	6	448.61	0		48.010574
20	32	3	0	0	0	7	10	4	4	148.45	0		36.951389
18	28	4	0	0	0	11	8	4	4	55.77	0		21.527783
18	29	4	0	0	11	12	8	4	4	55.77	0		21.527783
18	30	5	0	0	5	5	7	6	5	154.72	1		5.319968
47	80	1	0	0	15	12	7	4	8	89.12	0		6.435426
47	82	9	0	7	5	0	11	5	3	65.44	0		13.036439
47	81	6	0	0	0	15	10	2	7	121.13	0		17.741160
12	19	7	0	7	18	0	12	7	6	448.61	0		48.010574
12	20	7	0	7	18	6	12	7	6	448.61	0		48.010574
12	18	6	0	0	2	15	10	2	7	121.13	0		17.741160
16	24	3	0	0	11	16	10	4	4	148.45	0		36.951389
16	25	4	0	0	11	20	8	4	4	55.77	0		21.527783
17	26	3	0	0	0	22	10	4	4	148.45	0		36.951389
17	27	4	0	0	15	20	8	4	4	55.77	0		21.527783
42	73	8	0	7	5	3	11	5	7	116.23	0		9.228267
42	74	10	0	0	11	24	9	6	6	110.44	0		23.719453
26	42	3	0	0	0	26	10	4	4	148.45	0		36.951389
26	43	6	0	7	5	10	10	2	7	121.13	0		17.741160
5	6	10	0	12	11	0	9	6	6	110.44	0		23.719453
2	2	1	0	7	7	10	7	4	8	89.12	0		6.435426
2	3	4	0	7	7	18	8	4	4	55.77	0		21.527783
10	12	3	0	7	7	22	10	4	4	148.45	0		36.951389
10	13	3	0	7	7	26	10	4	4	148.45	0		36.951389
10	14	5	0	12	11	6	7	6	5	154.72	1		5.319968
8	10	8	0	11	0	0	11	5	7	116.23	0		9.228267
30	49	1	0	10	0	7	7	4	8	89.12	0		6.435426
30	50	6	0	7	5	17	10	2	7	121.13	0		17.741160
11	17	8	0	18	5	0	11	5	7	116.23	0		9.228267
11	16	4	0	10	0	15	8	4	4	55.77	0		21.527783
11	15	2	0	19	18	0	15	5	3	217.11	1		15.689187
21	34	10	0	18	5	7	9	6	6	110.44	0		23.719453
14	22	9	0	18	5	13	11	5	3	65.44	0		13.036439
4	5	3	0	10	0	19	10	4	4	148.45	0		36.951389
6	7	1	0	18	5	16	7	4	8	89.12	0		6.435426
6	8	5	0	12	11	11	7	6	5	154.72	1		5.319968
37	63	1	0	21	11	0	7	4	8	89.12	0		6.435426
32	52	4	0	10	0	23	8	4	4	55.77	0		21.527783
3	4	1	0	21	11	8	7	4	8	89.12	0		6.435426
44	77	8	0	22	0	0	11	5	7	116.23	0		9.228267
15	23	8	0	22	0	7	11	5	7	116.23	0		9.228267
25	41	3	0	22	0	14	10	4	4	148.45	0		36.951389
25	40	2	0	12	11	16	15	5	3	217.11	1		15.689187
23	37	1	0	22	0	18	7	4	8	89.12	0		6.435426
23	38	2	0	12	11	19	15	5	3	217.11	1		15.689187
7	9	1	0	28	11	0	7	4	8	89.12	0		6.435426
43	76	6	0	19	23	0	10	2	7	121.13	0		17.741160
43	75	2	0	12	11	22	15	5	3	217.11	1		15.689187
35	58	7	0	33	0	0	12	7	6	448.61	0		48.010574
35	59	10	0	33	0	6	9	6	6	110.44	0		23.719453
35	57	2	0	12	11	25	15	5	3	217.11	1		15.689187
19	31	5	0	33	0	12	7	6	5	154.72	1		5.319968
45	78	5	0	33	0	17	7	6	5	154.72	1		5.319968
39	67	8	0	34	18	0	11	5	7	116.23	0		9.228267
39	66	5	0	33	0	22	7	6	5	154.72	1		5.319968
41	70	1	0	28	11	8	7	4	8	89.12	0		6.435426
41	71	1	0	27	11	16	7	4	8	89.12	0		6.435426
41	72	2	0	35	11	0	15	5	3	217.11	1		15.689187
34	56	7	0	45	0	0	12	7	6	448.61	0		48.010574
34	55	3	0	33	7	0	10	4	4	148.45	0		36.951389
13	21	4	0	27	11	24	8	4	4	55.77	0		21.527783
38	65	9	0	34	18	7	11	5	3	65.44	0		13.036439
38	64	6	0	19	23	7	10	2	7	121.13	0		17.741160
24	39	7	0	42	0	6	12	7	6	448.61	0		48.010574
22	36	9	0	34	18	10	11	5	3	65.44	0		13.036439
22	35	6	0	19	23	14	10	2	7	121.13	0		17.741160
28	46	9	0	34	18	13	11	5	3	65.44	0		13.036439
28	47	9	0	34	18	16	11	5	3	65.44	0		13.036439
28	45	3	0	33	7	4	10	4	4	148.45	0		36.951389
36	60	3	0	33	7	8	10	4	4	148.45	0		36.951389
36	62	6	0	19	23	21	10	2	7	121.13	0		17.741160
36	61	4	0	33	6	12	8	4	4	55.77	0		21.527783
27	44	10	0	34	18	19	9	6	6	110.44	0		23.719453


