Name:				265_n100_m200_bt10_25909
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1734.15
Calculation_Time:		58.94
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		46
No_of_Items:			94
Customer_Sequence:		10 7 37 36 28 24 30 43 12 11 25 32 19 26 42 9 46 1 2 4 33 49 23 38 3 17 15 41 27 47 16 20 39 31 34 18 35 21 45 8 14 48 50 29 5 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	28	7	0	0	0	0	8	6	8	286.05	0		56.820791
13	29	7	0	0	6	0	8	6	8	286.05	0		56.820791
13	30	8	0	0	12	0	10	3	7	83.52	0		4.921474
5	10	1	0	0	15	0	11	4	3	85.79	0		45.289240
5	11	6	0	0	19	0	15	2	3	62.37	0		17.701277
29	60	4	0	0	15	3	10	5	4	195.07	0		22.942585
50	98	4	0	0	12	7	10	5	4	195.07	0		22.942585
48	94	7	0	0	0	8	8	6	8	286.05	0		56.820791
48	93	4	0	0	6	8	10	5	4	195.07	0		22.942585
14	33	10	0	0	21	0	17	3	5	240.96	0		91.762062
9	17	2	0	0	0	16	9	7	4	178.77	0		89.136866
14	32	9	0	0	12	11	8	5	3	66.81	1		3.454289
8	16	10	0	0	21	5	17	3	5	240.96	0		91.762062
8	15	1	0	0	21	10	11	4	3	85.79	0		45.289240
45	90	10	0	8	0	0	17	3	5	240.96	0		91.762062
45	89	5	0	0	12	14	8	6	4	85.25	1		12.067034
21	47	4	0	0	6	12	10	5	4	195.07	0		22.942585
35	70	3	0	0	21	13	6	4	4	61.35	0		33.697395
35	71	6	0	8	3	0	15	2	3	62.37	0		17.701277
18	41	3	0	0	7	16	6	4	4	61.35	0		33.697395
18	42	3	0	0	21	17	6	4	4	61.35	0		33.697395
34	68	7	0	23	3	0	8	6	8	286.05	0		56.820791
34	69	10	0	8	0	5	17	3	5	240.96	0		91.762062
34	67	3	0	0	7	20	6	4	4	61.35	0		33.697395
31	62	2	0	23	9	0	9	7	4	178.77	0		89.136866
31	63	5	0	0	12	18	8	6	4	85.25	1		12.067034
39	79	2	0	23	16	0	9	7	4	178.77	0		89.136866
39	77	1	0	8	0	10	11	4	3	85.79	0		45.289240
39	78	1	0	8	0	13	11	4	3	85.79	0		45.289240
20	45	7	0	23	9	4	8	6	8	286.05	0		56.820791
20	44	6	0	23	23	0	15	2	3	62.37	0		17.701277
20	46	9	0	0	12	22	8	5	3	66.81	1		3.454289
16	36	1	0	23	15	4	11	4	3	85.79	0		45.289240
16	37	5	0	0	12	25	8	6	4	85.25	1		12.067034
47	92	8	0	23	19	4	10	3	7	83.52	0		4.921474
27	56	10	0	25	0	0	17	3	5	240.96	0		91.762062
41	83	10	0	25	0	5	17	3	5	240.96	0		91.762062
41	81	3	0	0	21	21	6	4	4	61.35	0		33.697395
41	82	3	0	0	7	24	6	4	4	61.35	0		33.697395
15	34	3	0	0	21	25	6	4	4	61.35	0		33.697395
15	35	5	0	23	3	8	8	6	4	85.25	1		12.067034
17	40	7	0	23	9	12	8	6	8	286.05	0		56.820791
17	38	1	0	23	15	7	11	4	3	85.79	0		45.289240
17	39	3	0	6	21	13	6	4	4	61.35	0		33.697395
3	7	7	0	23	9	20	8	6	8	286.05	0		56.820791
3	5	4	0	31	3	0	10	5	4	195.07	0		22.942585
3	6	6	0	19	0	10	15	2	3	62.37	0		17.701277
38	76	10	0	32	9	0	17	3	5	240.96	0		91.762062
23	49	7	0	31	3	4	8	6	8	286.05	0		56.820791
49	97	7	0	41	3	0	8	6	8	286.05	0		56.820791
49	95	3	0	6	21	17	6	4	4	61.35	0		33.697395
49	96	5	0	23	3	12	8	6	4	85.25	1		12.067034
33	66	7	0	41	3	8	8	6	8	286.05	0		56.820791
33	65	4	0	31	3	12	10	5	4	195.07	0		22.942585
4	9	4	0	49	3	0	10	5	4	195.07	0		22.942585
4	8	1	0	23	15	10	11	4	3	85.79	0		45.289240
2	3	8	0	23	19	11	10	3	7	83.52	0		4.921474
2	4	8	0	23	15	13	10	3	7	83.52	0		4.921474
1	2	8	0	23	19	18	10	3	7	83.52	0		4.921474
1	1	6	0	19	0	13	15	2	3	62.37	0		17.701277
46	91	10	0	32	12	0	17	3	5	240.96	0		91.762062
9	19	10	0	9	0	16	17	3	5	240.96	0		91.762062
14	31	1	0	11	15	0	11	4	3	85.79	0		45.289240
9	18	9	0	0	0	20	8	5	3	66.81	1		3.454289
42	86	7	0	31	3	16	8	6	8	286.05	0		56.820791
