Name:				295_n100_m200_bt10_28678
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1988.01
Calculation_Time:		27.48
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		44
No_of_Items:			87
Customer_Sequence:		32 1 16 21 11 2 14 12 35 39 33 31 44 37 22 43 23 15 36 8 41 9 48 38 3 5 30 20 17 27 7 28 24 6 10 40 19 42 4 26 13 18 29 25 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
25	53	2	0	0	0	0	10	6	3	70.99	0		24.512353
25	54	8	0	0	6	0	9	5	4	165.50	1		7.028060
29	59	2	0	0	11	0	10	6	3	70.99	0		24.512353
18	40	5	0	0	17	0	16	3	7	279.44	0		14.889923
18	41	7	0	0	20	0	16	2	5	119.06	0		186.380384
13	28	3	0	0	22	0	9	3	8	77.50	0		16.327585
13	30	10	0	0	17	7	15	4	6	295.28	1		6.214326
13	29	8	0	0	0	3	9	5	4	165.50	1		7.028060
26	55	10	0	0	17	13	15	4	6	295.28	1		6.214326
4	8	2	0	0	11	3	10	6	3	70.99	0		24.512353
4	9	2	0	0	11	6	10	6	3	70.99	0		24.512353
42	81	9	0	9	6	0	17	2	6	97.89	0		39.772151
42	80	1	0	0	22	8	7	2	7	68.31	0		50.879431
19	42	1	0	0	11	9	7	2	7	68.31	0		50.879431
19	43	10	0	0	17	19	15	4	6	295.28	1		6.214326
40	77	1	0	0	13	9	7	2	7	68.31	0		50.879431
40	78	6	0	9	8	0	10	3	3	68.56	0		36.515139
10	21	2	0	10	0	0	10	6	3	70.99	0		24.512353
10	22	8	0	0	0	7	9	5	4	165.50	1		7.028060
6	14	9	0	9	22	0	17	2	6	97.89	0		39.772151
6	13	1	0	0	15	9	7	2	7	68.31	0		50.879431
24	52	10	0	10	11	0	15	4	6	295.28	1		6.214326
28	57	3	0	0	11	16	9	3	8	77.50	0		16.327585
28	58	7	0	9	6	6	16	2	5	119.06	0		186.380384
9	19	1	0	0	22	15	7	2	7	68.31	0		50.879431
7	17	5	0	16	17	0	16	3	7	279.44	0		14.889923
7	15	4	0	9	0	3	6	5	7	81.06	0		8.620491
27	56	7	0	9	22	6	16	2	5	119.06	0		186.380384
17	39	4	0	9	0	10	6	5	7	81.06	0		8.620491
17	38	1	0	0	14	16	7	2	7	68.31	0		50.879431
20	44	10	0	10	11	6	15	4	6	295.28	1		6.214326
30	60	8	0	0	17	25	9	5	4	165.50	1		7.028060
5	11	3	0	9	8	3	9	3	8	77.50	0		16.327585
5	10	2	0	20	0	0	10	6	3	70.99	0		24.512353
5	12	8	0	9	6	11	9	5	4	165.50	1		7.028060
3	6	4	0	9	0	17	6	5	7	81.06	0		8.620491
3	7	4	0	15	0	3	6	5	7	81.06	0		8.620491
3	5	2	0	21	0	3	10	6	3	70.99	0		24.512353
38	72	7	0	10	15	0	16	2	5	119.06	0		186.380384
38	73	8	0	9	6	15	9	5	4	165.50	1		7.028060
48	91	4	0	15	0	10	6	5	7	81.06	0		8.620491
48	92	8	0	9	6	19	9	5	4	165.50	1		7.028060
7	16	5	0	15	17	7	16	3	7	279.44	0		14.889923
9	20	10	0	10	11	12	15	4	6	295.28	1		6.214326
41	79	7	0	9	22	11	16	2	5	119.06	0		186.380384
8	18	6	0	0	11	24	10	3	3	68.56	0		36.515139
36	69	8	0	9	6	23	9	5	4	165.50	1		7.028060
15	34	5	0	15	17	14	16	3	7	279.44	0		14.889923
15	35	6	0	0	11	27	10	3	3	68.56	0		36.515139
23	49	4	0	15	0	17	6	5	7	81.06	0		8.620491
23	50	4	0	21	0	6	6	5	7	81.06	0		8.620491
23	51	8	0	9	0	24	9	5	4	165.50	1		7.028060
43	84	9	0	9	22	16	17	2	6	97.89	0		39.772151
43	83	7	0	0	22	22	16	2	5	119.06	0		186.380384
43	82	1	0	0	14	23	7	2	7	68.31	0		50.879431
22	48	2	0	26	6	0	10	6	3	70.99	0		24.512353
37	70	3	0	15	17	21	9	3	8	77.50	0		16.327585
37	71	3	0	24	17	21	9	3	8	77.50	0		16.327585
44	85	5	0	26	12	0	16	3	7	279.44	0		14.889923
44	86	8	0	10	11	18	9	5	4	165.50	1		7.028060
31	61	8	0	10	11	22	9	5	4	165.50	1		7.028060
33	65	7	0	16	20	0	16	2	5	119.06	0		186.380384
33	64	1	0	16	20	5	7	2	7	68.31	0		50.879431
33	66	10	0	26	12	7	15	4	6	295.28	1		6.214326
39	75	5	0	26	22	0	16	3	7	279.44	0		14.889923
39	76	5	0	26	22	7	16	3	7	279.44	0		14.889923
39	74	3	0	26	6	3	9	3	8	77.50	0		16.327585
35	68	5	0	18	6	11	16	3	7	279.44	0		14.889923
12	27	5	0	18	6	18	16	3	7	279.44	0		14.889923
14	31	5	0	26	22	14	16	3	7	279.44	0		14.889923
12	26	2	0	36	6	0	10	6	3	70.99	0		24.512353
14	33	9	0	26	9	3	17	2	6	97.89	0		39.772151
14	32	6	0	18	6	25	10	3	3	68.56	0		36.515139
2	4	5	0	26	22	21	16	3	7	279.44	0		14.889923
11	23	5	0	42	12	0	16	3	7	279.44	0		14.889923
11	25	9	0	26	9	9	17	2	6	97.89	0		39.772151
11	24	8	0	10	11	26	9	5	4	165.50	1		7.028060
21	45	2	0	42	15	0	10	6	3	70.99	0		24.512353
21	46	6	0	35	6	3	10	3	3	68.56	0		36.515139
21	47	10	0	26	12	13	15	4	6	295.28	1		6.214326
16	36	6	0	35	6	6	10	3	3	68.56	0		36.515139
16	37	8	0	26	12	19	9	5	4	165.50	1		7.028060
1	2	3	0	35	6	9	9	3	8	77.50	0		16.327585
1	3	7	0	26	9	15	16	2	5	119.06	0		186.380384
1	1	1	0	16	20	12	7	2	7	68.31	0		50.879431
32	62	4	0	21	0	13	6	5	7	81.06	0		8.620491
32	63	6	0	35	6	17	10	3	3	68.56	0		36.515139


