Name:				336_n020_m400_bt10_33256
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		143.03
Calculation_Time:		17.71
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			59
Customer_Sequence:		7 2 11 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
11	217	9	0	0	0	0	15	5	8	70.13	0		4.126155
11	218	9	0	0	5	0	15	5	8	70.13	0		4.126155
11	215	8	0	0	10	0	11	5	8	44.44	0		5.429560
11	216	8	0	0	15	0	11	5	8	44.44	0		5.429560
11	208	4	0	0	0	8	14	6	5	51.76	0		2.685742
11	209	4	0	0	6	8	14	6	5	51.76	0		2.685742
11	210	4	0	0	12	8	14	6	5	51.76	0		2.685742
11	211	6	0	0	20	0	15	4	6	55.88	0		3.445431
11	219	10	0	0	0	13	9	6	7	70.18	0		25.362738
11	204	2	0	0	20	6	10	2	5	18.55	0		4.574696
11	205	3	0	0	6	13	7	4	3	11.41	0		3.774906
11	206	3	0	0	10	13	7	4	3	11.41	0		3.774906
11	207	3	0	0	14	13	7	4	3	11.41	0		3.774906
11	212	7	1	0	6	16	16	5	6	85.28	1		1.282945
11	213	7	1	0	6	22	16	5	6	85.28	1		1.282945
11	214	7	1	7	6	13	16	5	6	85.28	1		1.282945
2	37	9	0	15	0	0	15	5	8	70.13	0		4.126155
2	36	9	0	14	0	8	15	5	8	70.13	0		4.126155
2	35	9	0	14	0	16	15	5	8	70.13	0		4.126155
2	34	9	0	15	5	0	15	5	8	70.13	0		4.126155
2	33	8	0	0	0	20	11	5	8	44.44	0		5.429560
2	32	8	0	14	5	8	11	5	8	44.44	0		5.429560
2	38	10	0	14	5	16	9	6	7	70.18	0		25.362738
2	26	6	0	14	0	24	15	4	6	55.88	0		3.445431
2	27	6	0	15	10	0	15	4	6	55.88	0		3.445431
2	18	1	0	14	5	23	10	4	5	22.22	0		1.675922
2	19	2	0	0	22	6	10	2	5	18.55	0		4.574696
2	20	3	0	15	14	0	7	4	3	11.41	0		3.774906
2	29	7	1	7	6	19	16	5	6	85.28	1		1.282945
2	30	7	0	15	18	0	16	5	6	85.28	1		1.282945
2	31	7	0	15	10	6	16	5	6	85.28	1		1.282945
2	28	7	0	15	18	6	16	5	6	85.28	1		1.282945
2	25	5	0	15	18	12	6	3	8	17.51	1		2.279339
2	24	5	0	15	18	20	6	3	8	17.51	1		2.279339
7	125	4	0	30	0	0	14	6	5	51.76	0		2.685742
2	22	5	0	21	18	12	6	3	8	17.51	1		2.279339
2	21	5	0	21	18	20	6	3	8	17.51	1		2.279339
7	134	9	0	30	0	5	15	5	8	70.13	0		4.126155
7	133	8	0	30	0	13	11	5	8	44.44	0		5.429560
7	132	8	0	30	0	21	11	5	8	44.44	0		5.429560
7	127	4	0	31	18	0	14	6	5	51.76	0		2.685742
7	126	4	0	31	18	5	14	6	5	51.76	0		2.685742
2	23	5	1	27	18	12	6	3	8	17.51	1		2.279339
7	137	10	0	31	18	10	9	6	7	70.18	0		25.362738
7	136	10	0	31	18	17	9	6	7	70.18	0		25.362738
7	135	10	0	45	18	0	9	6	7	70.18	0		25.362738
7	129	6	0	30	6	0	15	4	6	55.88	0		3.445431
7	122	1	0	30	6	6	10	4	5	22.22	0		1.675922
7	121	1	0	30	6	11	10	4	5	22.22	0		1.675922
7	120	1	0	30	6	16	10	4	5	22.22	0		1.675922
7	119	1	0	30	5	21	10	4	5	22.22	0		1.675922
7	118	1	0	31	18	24	10	4	5	22.22	0		1.675922
7	117	1	0	44	0	0	10	4	5	22.22	0		1.675922
7	116	1	0	45	6	0	10	4	5	22.22	0		1.675922
7	124	2	0	14	9	23	10	2	5	18.55	0		4.574696
7	123	2	0	15	23	0	10	2	5	18.55	0		4.574696
7	130	7	1	55	6	0	16	5	6	85.28	1		1.282945
7	131	7	1	55	6	6	16	5	6	85.28	1		1.282945
7	128	5	1	27	18	20	6	3	8	17.51	1		2.279339


