Name:				595_n100_m400_bt10_57284
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		578.73
Calculation_Time:		4.88
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		12
No_of_Items:			54
Customer_Sequence:		15 2 5 6 1 8 3 16 18 17 4 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	46	3	0	0	0	0	17	5	8	233.29	0		18.704307
12	47	7	0	0	5	0	16	6	4	229.79	0		42.509929
12	48	7	0	0	11	0	16	6	4	229.79	0		42.509929
12	49	10	0	0	17	0	7	5	6	91.26	0		35.265241
12	44	1	0	0	22	0	7	2	7	55.40	0		37.744509
12	45	1	0	0	5	4	7	2	7	55.40	0		37.744509
4	21	3	0	0	7	4	17	5	8	233.29	0		18.704307
4	19	1	0	0	12	4	7	2	7	55.40	0		37.744509
4	20	1	0	0	14	4	7	2	7	55.40	0		37.744509
17	69	7	0	0	7	12	16	6	4	229.79	0		42.509929
17	67	1	0	0	17	6	7	2	7	55.40	0		37.744509
17	70	8	0	0	19	6	8	2	3	46.01	0		19.186251
17	68	2	0	0	7	16	16	6	7	363.47	1		13.569205
18	72	4	0	0	0	8	14	4	7	205.51	0		21.683714
18	74	7	0	17	0	0	16	6	4	229.79	0		42.509929
18	73	6	0	0	0	15	13	3	8	93.93	0		4.581640
18	71	1	0	0	22	7	7	2	7	55.40	0		37.744509
18	75	8	0	0	19	9	8	2	3	46.01	0		19.186251
16	64	3	0	17	6	0	17	5	8	233.29	0		18.704307
16	66	9	0	7	22	0	17	3	8	254.65	0		22.648589
16	65	7	0	17	11	0	16	6	4	229.79	0		42.509929
3	15	3	0	17	17	0	17	5	8	233.29	0		18.704307
3	17	7	0	17	0	4	16	6	4	229.79	0		42.509929
3	16	6	0	7	14	4	13	3	8	93.93	0		4.581640
3	18	10	0	14	0	8	7	5	6	91.26	0		35.265241
3	13	1	0	0	5	11	7	2	7	55.40	0		37.744509
3	14	2	0	0	7	23	16	6	7	363.47	1		13.569205
8	34	9	0	7	22	8	17	3	8	254.65	0		22.648589
8	33	2	0	17	6	8	16	6	7	363.47	1		13.569205
1	2	4	0	17	17	8	14	4	7	205.51	0		21.683714
1	3	4	0	17	17	15	14	4	7	205.51	0		21.683714
1	5	6	0	7	14	12	13	3	8	93.93	0		4.581640
1	6	6	0	7	22	16	13	3	8	93.93	0		4.581640
1	1	1	0	0	19	12	7	2	7	55.40	0		37.744509
1	4	5	0	0	0	23	8	4	5	79.62	1		6.717543
6	26	3	0	33	0	0	17	5	8	233.29	0		18.704307
6	28	6	0	7	14	20	13	3	8	93.93	0		4.581640
6	25	1	0	0	5	18	7	2	7	55.40	0		37.744509
6	27	5	0	14	0	14	8	4	5	79.62	1		6.717543
5	23	3	0	33	11	0	17	5	8	233.29	0		18.704307
5	24	4	0	17	17	22	14	4	7	205.51	0		21.683714
5	22	2	0	17	6	15	16	6	7	363.47	1		13.569205
2	7	4	0	33	0	8	14	4	7	205.51	0		21.683714
2	9	10	0	33	11	8	7	5	6	91.26	0		35.265241
2	10	10	0	33	11	14	7	5	6	91.26	0		35.265241
2	11	10	0	33	0	15	7	5	6	91.26	0		35.265241
2	12	10	0	33	11	20	7	5	6	91.26	0		35.265241
2	8	5	0	14	0	19	8	4	5	79.62	1		6.717543
15	59	3	0	34	6	0	17	5	8	233.29	0		18.704307
15	60	3	0	33	6	8	17	5	8	233.29	0		18.704307
15	63	10	0	33	6	16	7	5	6	91.26	0		35.265241
15	58	1	0	24	22	0	7	2	7	55.40	0		37.744509
15	62	8	0	0	5	25	8	2	3	46.01	0		19.186251
15	61	5	0	14	0	24	8	4	5	79.62	1		6.717543


