Name:				005_n020_m200_bt3_530
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		331.73
Calculation_Time:		9.74
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		9
No_of_Items:			97
Customer_Sequence:		9 12 8 13 7 2 5 10 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	26	1	0	0	0	0	9	6	6	384.83	0		26.873808
3	27	1	0	0	6	0	9	6	6	384.83	0		26.873808
3	28	1	0	0	12	0	9	6	6	384.83	0		26.873808
3	31	3	0	0	18	0	8	3	8	142.31	0		29.625025
3	32	3	0	0	21	0	8	3	8	142.31	0		29.625025
3	33	3	0	0	0	6	8	3	8	142.31	0		29.625025
3	34	3	0	0	3	6	8	3	8	142.31	0		29.625025
3	35	3	0	0	6	6	8	3	8	142.31	0		29.625025
3	29	2	0	0	9	6	6	5	6	65.75	1		11.819270
3	30	2	0	0	18	8	6	5	6	65.75	1		11.819270
10	98	1	0	0	0	14	9	6	6	384.83	0		26.873808
10	99	1	0	0	0	20	9	6	6	384.83	0		26.873808
10	104	3	0	0	14	6	8	3	8	142.31	0		29.625025
10	105	3	0	0	6	14	8	3	8	142.31	0		29.625025
10	106	3	0	0	14	14	8	3	8	142.31	0		29.625025
10	107	3	0	0	6	22	8	3	8	142.31	0		29.625025
10	100	2	0	0	9	12	6	5	6	65.75	1		11.819270
10	101	2	0	0	17	14	6	5	6	65.75	1		11.819270
10	102	2	0	0	9	18	6	5	6	65.75	1		11.819270
10	103	2	0	0	17	20	6	5	6	65.75	1		11.819270
5	45	1	0	8	18	0	9	6	6	384.83	0		26.873808
5	46	1	0	8	18	6	9	6	6	384.83	0		26.873808
5	47	1	0	8	18	12	9	6	6	384.83	0		26.873808
5	48	1	0	8	18	18	9	6	6	384.83	0		26.873808
5	49	1	0	8	18	24	9	6	6	384.83	0		26.873808
5	55	3	0	0	14	22	8	3	8	142.31	0		29.625025
5	50	2	0	0	9	24	6	5	6	65.75	1		11.819270
5	51	2	0	9	0	0	6	5	6	65.75	1		11.819270
5	52	2	0	9	5	0	6	5	6	65.75	1		11.819270
5	53	2	0	8	6	6	6	5	6	65.75	1		11.819270
5	54	2	0	8	6	12	6	5	6	65.75	1		11.819270
2	13	1	0	9	12	0	9	6	6	384.83	0		26.873808
2	14	1	0	8	11	6	9	6	6	384.83	0		26.873808
2	15	1	0	8	11	12	9	6	6	384.83	0		26.873808
2	16	1	0	8	11	18	9	6	6	384.83	0		26.873808
2	17	1	0	8	11	24	9	6	6	384.83	0		26.873808
2	18	1	0	15	0	0	9	6	6	384.83	0		26.873808
2	23	3	0	15	6	0	8	3	8	142.31	0		29.625025
2	24	3	0	15	0	6	8	3	8	142.31	0		29.625025
2	25	3	0	15	3	6	8	3	8	142.31	0		29.625025
2	19	2	0	8	6	18	6	5	6	65.75	1		11.819270
2	20	2	0	8	6	24	6	5	6	65.75	1		11.819270
2	21	2	0	9	0	6	6	5	6	65.75	1		11.819270
2	22	2	0	9	0	12	6	5	6	65.75	1		11.819270
7	66	1	0	15	0	14	9	6	6	384.83	0		26.873808
7	67	1	0	15	0	20	9	6	6	384.83	0		26.873808
7	68	1	0	17	18	0	9	6	6	384.83	0		26.873808
7	69	1	0	17	18	6	9	6	6	384.83	0		26.873808
7	70	1	0	17	18	12	9	6	6	384.83	0		26.873808
7	71	1	0	17	18	18	9	6	6	384.83	0		26.873808
7	72	1	0	17	18	24	9	6	6	384.83	0		26.873808
7	76	3	0	15	6	8	8	3	8	142.31	0		29.625025
7	73	2	0	9	0	18	6	5	6	65.75	1		11.819270
7	74	2	0	9	0	24	6	5	6	65.75	1		11.819270
7	75	2	0	18	12	0	6	5	6	65.75	1		11.819270
13	126	1	0	23	6	0	9	6	6	384.83	0		26.873808
13	127	1	0	23	6	6	9	6	6	384.83	0		26.873808
13	128	1	0	23	6	12	9	6	6	384.83	0		26.873808
13	129	1	0	23	6	18	9	6	6	384.83	0		26.873808
13	130	1	0	23	6	24	9	6	6	384.83	0		26.873808
