Name:				028_n020_m200_bt100_2598
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		224.22
Calculation_Time:		76.87
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		6
No_of_Items:			69
Customer_Sequence:		1 2 14 20 4 3 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
3	33	95	0	0	0	0	13	6	8	114.45	0		3.648734
3	22	3	0	0	6	0	15	5	5	41.21	0		8.717979
3	25	17	0	0	11	0	10	7	5	64.07	0		5.176413
4	42	45	0	0	18	0	8	5	8	54.14	0		10.817565
2	16	57	0	0	6	5	14	5	4	38.98	0		9.744706
3	28	53	0	0	0	8	16	3	5	38.23	0		6.827713
3	26	44	0	0	3	8	17	3	4	45.72	0		23.018053
3	32	90	0	0	11	5	10	5	3	20.24	0		5.759184
3	31	88	0	0	11	8	6	5	8	47.87	1		4.344147
3	24	8	0	10	11	0	17	5	8	122.14	1		1.752042
3	29	69	0	0	3	12	16	3	7	58.03	1		2.423794
3	23	8	0	6	11	8	17	5	8	122.14	1		1.752042
4	34	12	0	8	18	0	16	5	7	111.08	0		10.953482
4	38	36	0	8	18	7	16	4	7	65.97	0		16.020325
4	47	80	0	0	0	13	16	3	8	65.23	0		25.147073
4	39	37	0	24	18	0	16	6	4	50.68	0		8.574185
3	30	73	0	13	0	0	14	3	6	39.14	0		4.611823
4	43	45	0	0	18	8	8	5	8	54.14	0		10.817565
4	35	15	0	0	0	21	15	3	6	51.63	0		12.056756
4	45	73	0	8	18	14	14	3	6	39.14	0		4.611823
4	46	73	0	8	18	20	14	3	6	39.14	0		4.611823
4	44	56	0	8	18	26	10	4	4	24.32	0		10.591314
4	40	39	0	0	18	16	7	5	3	14.17	0		3.072826
4	37	32	0	0	23	0	12	2	4	18.46	0		8.512238
4	41	41	0	0	11	16	10	6	8	90.40	1		1.950541
4	36	21	0	0	3	19	13	3	7	51.03	1		3.357686
20	195	46	0	24	18	4	12	6	6	142.04	0		13.691474
20	193	38	0	24	18	10	14	6	5	105.49	0		15.946036
3	27	53	0	13	3	0	16	3	5	38.23	0		6.827713
20	190	2	0	10	11	16	11	6	7	63.45	1		1.933496
20	198	93	0	24	18	15	6	6	6	42.40	0		13.075154
20	192	10	0	27	0	0	11	3	6	39.27	0		7.225577
20	200	96	0	15	6	0	8	5	4	24.77	0		37.295104
14	146	86	0	0	11	24	7	6	6	31.16	1		1.525958
20	196	51	0	27	11	0	15	6	8	108.82	1		8.960463
14	137	6	0	27	0	6	10	3	6	32.64	0		8.103662
20	191	2	0	23	11	8	11	6	7	63.45	1		1.933496
14	145	82	0	38	0	0	16	5	6	57.37	0		2.623527
14	143	70	0	37	0	6	13	4	8	77.10	0		6.590868
14	136	3	0	23	6	0	15	5	5	41.21	0		8.717979
2	19	63	0	0	6	9	6	5	4	107.45	0		27.168164
14	140	44	0	37	0	14	17	3	4	45.72	0		23.018053
20	199	94	0	24	18	21	8	5	8	63.29	0		9.268147
14	141	51	0	40	18	0	15	6	8	108.82	1		8.960463
14	142	65	0	10	11	23	11	5	7	45.29	1		1.877578
20	197	90	0	30	18	15	10	5	3	20.24	0		5.759184
14	138	26	0	37	0	18	16	3	5	27.02	1		1.047578
14	139	29	0	0	0	27	13	4	3	106.91	1		9.588903
2	14	48	0	23	6	5	15	5	8	93.83	0		5.834746
2	13	43	0	23	6	13	11	4	8	47.89	0		12.251734
2	21	94	0	0	6	13	8	5	8	63.29	0		9.268147
2	15	50	0	38	5	0	15	3	7	59.79	0		9.334829
20	194	45	0	42	11	0	8	5	8	54.14	0		10.817565
2	10	9	0	0	6	21	9	4	5	27.68	0		6.117614
2	12	16	0	0	6	26	9	5	3	23.08	0		10.602325
14	144	78	0	27	0	12	9	4	8	45.18	0		5.754114
2	17	59	0	23	11	15	9	5	7	36.80	1		3.890996
2	18	59	0	23	6	21	9	5	7	36.80	1		3.890996
2	20	86	0	23	11	22	7	6	6	31.16	1		1.525958
2	11	11	0	34	11	8	6	4	6	57.45	1		36.032906
1	9	81	0	38	8	0	16	3	8	358.17	0		79.725658
1	7	66	1	54	0	0	12	6	5	122.23	0		10.970328
1	5	50	0	38	5	7	15	3	7	59.79	0		9.334829
1	2	4	0	38	5	14	9	4	8	47.97	0		7.252563
1	8	78	0	38	5	22	9	4	8	45.18	0		5.754114
1	1	1	0	42	11	8	8	5	7	50.98	0		17.094133
1	3	10	0	38	8	8	11	3	6	39.27	0		7.225577
1	6	63	0	42	11	15	6	5	4	107.45	0		27.168164
1	4	20	0	40	18	8	16	7	7	129.82	1		16.539313


