Name:				142_n060_m200_bt10_12029
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		905.99
Calculation_Time:		482.01
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		24
No_of_Items:			90
Customer_Sequence:		25 2 24 16 10 28 21 29 9 20 17 14 7 11 18 1 3 26 27 4 5 23 15 19 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
19	65	9	0	0	0	0	11	5	6	217.32	0		18.279086
19	66	9	0	0	5	0	11	5	6	217.32	0		18.279086
19	64	4	0	0	10	0	7	2	8	53.12	0		38.275759
15	52	8	0	0	12	0	12	4	8	247.75	0		12.524281
11	39	10	0	0	16	0	12	3	5	217.92	0		19.548466
15	53	10	0	0	19	0	12	3	5	217.92	0		19.548466
15	51	3	0	0	0	6	12	5	4	117.20	1		3.543395
23	79	7	0	11	5	0	11	7	7	116.18	0		23.265357
23	80	9	0	0	5	6	11	5	6	217.32	0		18.279086
23	78	6	0	11	5	7	10	7	3	138.28	0		15.177535
23	77	5	0	0	10	8	11	6	4	213.93	1		19.615073
4	13	4	0	0	22	0	7	2	8	53.12	0		38.275759
5	19	10	0	0	19	5	12	3	5	217.92	0		19.548466
5	17	4	0	0	19	10	7	2	8	53.12	0		38.275759
4	16	8	0	0	5	12	12	4	8	247.75	0		12.524281
4	15	6	0	22	5	0	10	7	3	138.28	0		15.177535
5	18	8	0	12	12	0	12	4	8	247.75	0		12.524281
4	14	5	0	0	9	12	11	6	4	213.93	1		19.615073
4	12	3	0	0	0	10	12	5	4	117.20	1		3.543395
26	90	3	0	0	0	14	12	5	4	117.20	1		3.543395
3	11	8	0	0	5	20	12	4	8	247.75	0		12.524281
27	96	10	0	7	22	0	12	3	5	217.92	0		19.548466
26	92	9	0	12	12	8	11	5	6	217.32	0		18.279086
26	93	10	0	7	22	5	12	3	5	217.92	0		19.548466
27	95	6	0	22	5	3	10	7	3	138.28	0		15.177535
26	91	3	0	0	9	16	12	5	4	117.20	1		3.543395
3	9	7	0	22	5	6	11	7	7	116.18	0		23.265357
1	4	9	0	12	12	14	11	5	6	217.32	0		18.279086
27	94	2	0	32	5	0	6	6	3	33.52	0		24.662601
1	3	7	0	22	5	13	11	7	7	116.18	0		23.265357
3	10	7	0	38	5	0	11	7	7	116.18	0		23.265357
1	2	6	0	22	5	20	10	7	3	138.28	0		15.177535
17	59	3	0	0	0	18	12	5	4	117.20	1		3.543395
18	62	7	0	22	5	23	11	7	7	116.18	0		23.265357
1	1	3	0	0	9	20	12	5	4	117.20	1		3.543395
18	63	7	0	38	5	7	11	7	7	116.18	0		23.265357
18	61	6	0	38	5	14	10	7	3	138.28	0		15.177535
15	50	1	0	11	0	0	12	5	3	249.90	0		35.034244
11	40	10	0	7	22	10	12	3	5	217.92	0		19.548466
11	37	2	0	12	12	20	6	6	3	33.52	0		24.662601
20	69	10	0	7	22	15	12	3	5	217.92	0		19.548466
7	25	6	0	24	12	0	10	7	3	138.28	0		15.177535
7	26	6	0	24	12	3	10	7	3	138.28	0		15.177535
7	22	1	0	23	0	0	12	5	3	249.90	0		35.034244
7	24	4	0	0	19	18	7	2	8	53.12	0		38.275759
7	23	2	0	12	12	23	6	6	3	33.52	0		24.662601
14	49	8	0	23	0	3	12	4	8	247.75	0		12.524281
