Name:				205_n100_m200_bt10_16760
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1137.50
Calculation_Time:		149.21
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		29
No_of_Items:			61
Customer_Sequence:		7 30 27 8 24 22 17 33 14 26 23 3 4 29 5 32 20 21 19 1 13 31 12 15 16 28 9 18 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	3	1	0	0	0	0	15	5	5	249.70	0		24.961713
2	4	10	0	0	5	0	15	6	3	504.46	0		158.743117
18	35	7	0	0	11	0	16	7	7	461.19	0		47.219792
18	34	1	0	0	18	0	15	5	5	249.70	0		24.961713
31	63	7	0	0	11	7	16	7	7	461.19	0		47.219792
9	18	8	0	0	5	3	11	4	7	310.84	0		41.417153
9	17	6	0	0	0	5	15	4	4	96.47	0		47.260706
28	55	1	0	0	18	5	15	5	5	249.70	0		24.961713
28	56	6	0	0	0	9	15	4	4	96.47	0		47.260706
16	32	8	0	0	5	10	11	4	7	310.84	0		41.417153
1	1	6	0	0	18	10	15	4	4	96.47	0		47.260706
15	28	1	0	0	0	13	15	5	5	249.70	0		24.961713
15	29	8	0	0	5	17	11	4	7	310.84	0		41.417153
15	30	10	0	15	0	0	15	6	3	504.46	0		158.743117
12	22	7	0	15	18	0	16	7	7	461.19	0		47.219792
12	23	8	0	0	0	18	11	4	7	310.84	0		41.417153
9	19	9	0	15	6	0	15	4	7	154.47	0		19.047912
31	62	5	0	0	11	14	12	6	7	791.83	1		9.439795
20	39	1	0	0	17	14	15	5	5	249.70	0		24.961713
13	25	9	0	15	0	3	15	4	7	154.47	0		19.047912
1	2	7	0	15	18	7	16	7	7	461.19	0		47.219792
16	31	5	0	16	11	0	12	6	7	791.83	1		9.439795
19	38	3	0	0	5	24	14	2	4	79.95	0		44.888033
19	36	2	0	0	11	21	16	4	6	269.28	1		27.136819
19	37	2	0	15	6	7	16	4	6	269.28	1		27.136819
21	43	10	0	28	11	0	15	6	3	504.46	0		158.743117
21	42	4	0	0	7	24	7	2	3	28.74	0		15.317366
3	7	10	0	0	17	19	15	6	3	504.46	0		158.743117
13	24	9	0	15	0	10	15	4	7	154.47	0		19.047912
20	40	8	0	15	0	17	11	4	7	310.84	0		41.417153
32	64	8	0	28	11	3	11	4	7	310.84	0		41.417153
5	9	5	0	30	0	0	12	6	7	791.83	1		9.439795
7	13	6	0	0	17	22	15	4	4	96.47	0		47.260706
29	58	3	0	0	0	25	14	2	4	79.95	0		44.888033
4	8	1	0	15	17	14	15	5	5	249.70	0		24.961713
20	41	9	0	31	18	0	15	4	7	154.47	0		19.047912
29	57	3	0	0	2	25	14	2	4	79.95	0		44.888033
3	5	2	0	15	6	13	16	4	6	269.28	1		27.136819
23	46	6	0	31	18	7	15	4	4	96.47	0		47.260706
26	51	1	0	31	18	11	15	5	5	249.70	0		24.961713
26	52	5	0	30	0	7	12	6	7	791.83	1		9.439795
14	27	10	0	15	17	19	15	6	3	504.46	0		158.743117
33	66	9	0	42	0	0	15	4	7	154.47	0		19.047912
14	26	2	0	15	6	19	16	4	6	269.28	1		27.136819
33	65	5	0	30	0	14	12	6	7	791.83	1		9.439795
17	33	10	0	31	18	16	15	6	3	504.46	0		158.743117
22	44	7	0	42	4	0	16	7	7	461.19	0		47.219792
3	6	4	0	0	21	22	7	2	3	28.74	0		15.317366
24	48	7	0	42	0	7	16	7	7	461.19	0		47.219792
24	49	8	0	28	11	10	11	4	7	310.84	0		41.417153
24	47	6	0	42	7	7	15	4	4	96.47	0		47.260706
8	16	10	0	30	17	19	15	6	3	504.46	0		158.743117
8	15	6	0	42	7	11	15	4	4	96.47	0		47.260706
27	54	10	0	42	0	14	15	6	3	504.46	0		158.743117
27	53	8	0	28	11	17	11	4	7	310.84	0		41.417153
30	59	1	0	42	7	15	15	5	5	249.70	0		24.961713
30	61	10	0	42	0	17	15	6	3	504.46	0		158.743117
7	12	1	0	15	17	22	15	5	5	249.70	0		24.961713
7	14	9	0	30	17	22	15	4	7	154.47	0		19.047912
30	60	5	0	30	0	21	12	6	7	791.83	1		9.439795
22	45	9	0	43	11	0	15	4	7	154.47	0		19.047912


