Name:				235_n100_m200_bt10_18843
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1696.59
Calculation_Time:		79.30
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		47
No_of_Items:			90
Customer_Sequence:		44 17 40 35 42 3 31 38 45 9 12 48 2 41 18 30 23 36 21 29 34 8 43 20 51 19 5 33 28 39 11 27 32 49 10 24 4 25 7 37 6 14 13 47 15 26 46 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
46	82	10	0	0	0	0	9	5	8	248.17	0		71.144329
46	83	10	0	0	5	0	9	5	8	248.17	0		71.144329
26	44	9	0	0	10	0	8	4	8	160.79	1		25.465804
15	26	8	0	0	14	0	17	4	5	247.90	0		10.701245
47	84	5	0	0	18	0	17	5	4	317.59	0		16.544576
47	85	5	0	0	18	4	17	5	4	317.59	0		16.544576
47	86	6	0	0	18	8	17	5	3	81.72	0		11.179608
13	23	4	0	0	14	5	6	3	4	27.70	1		4.527884
13	24	4	0	0	0	8	6	3	4	27.70	1		4.527884
14	25	4	0	0	3	8	6	3	4	27.70	1		4.527884
6	9	8	0	0	18	11	17	4	5	247.90	0		10.701245
37	61	3	0	0	18	16	15	5	4	147.94	0		46.196444
37	62	7	0	0	23	0	8	2	7	41.55	0		10.454082
37	63	7	0	0	23	7	8	2	7	41.55	0		10.454082
7	10	3	0	0	18	20	15	5	4	147.94	0		46.196444
25	43	2	0	0	18	24	13	6	6	262.76	0		58.664146
4	4	2	0	9	0	0	13	6	6	262.76	0		58.664146
4	6	5	0	9	6	0	17	5	4	317.59	0		16.544576
4	5	4	0	0	6	8	6	3	4	27.70	1		4.527884
24	41	3	0	9	6	4	15	5	4	147.94	0		46.196444
24	42	4	0	0	9	8	6	3	4	27.70	1		4.527884
10	16	5	0	9	0	6	17	5	4	317.59	0		16.544576
8	13	10	0	9	6	8	9	5	8	248.17	0		71.144329
10	15	1	0	6	14	5	6	4	6	72.90	0		8.997280
49	91	8	0	9	0	10	17	4	5	247.90	0		10.701245
34	57	9	0	6	14	11	8	4	8	160.79	1		25.465804
32	54	10	0	9	0	15	9	5	8	248.17	0		71.144329
27	45	1	0	9	0	23	6	4	6	72.90	0		8.997280
11	20	9	0	0	6	12	8	4	8	160.79	1		25.465804
11	18	4	0	0	6	20	6	3	4	27.70	1		4.527884
11	19	4	0	0	6	24	6	3	4	27.70	1		4.527884
39	67	7	0	9	11	0	8	2	7	41.55	0		10.454082
28	48	7	0	9	11	7	8	2	7	41.55	0		10.454082
28	46	4	0	12	14	5	6	3	4	27.70	1		4.527884
28	47	4	1	15	0	23	6	3	4	27.70	1		4.527884
33	55	2	0	17	18	0	13	6	6	262.76	0		58.664146
5	8	10	0	17	18	6	9	5	8	248.17	0		71.144329
5	7	3	0	26	6	0	15	5	4	147.94	0		46.196444
19	34	10	0	17	18	14	9	5	8	248.17	0		71.144329
19	32	7	0	9	11	14	8	2	7	41.55	0		10.454082
19	33	9	0	17	18	22	8	4	8	160.79	1		25.465804
51	95	10	0	26	11	0	9	5	8	248.17	0		71.144329
51	94	5	0	24	6	4	17	5	4	317.59	0		16.544576
20	35	2	0	30	18	0	13	6	6	262.76	0		58.664146
20	36	4	0	18	0	15	6	3	4	27.70	1		4.527884
43	77	10	0	26	18	6	9	5	8	248.17	0		71.144329
43	76	7	0	9	11	21	8	2	7	41.55	0		10.454082
43	75	4	0	18	0	19	6	3	4	27.70	1		4.527884
10	17	6	0	22	0	0	17	5	3	81.72	0		11.179608
8	11	1	0	9	6	16	6	4	6	72.90	0		8.997280
8	12	9	0	9	6	22	8	4	8	160.79	1		25.465804
34	56	5	0	18	6	8	17	5	4	317.59	0		16.544576
49	90	6	0	39	0	0	17	5	3	81.72	0		11.179608
29	49	6	0	18	6	12	17	5	3	81.72	0		11.179608
21	37	5	0	18	6	15	17	5	4	317.59	0		16.544576
21	38	9	0	6	14	19	8	4	8	160.79	1		25.465804
36	59	2	0	18	6	19	13	6	6	262.76	0		58.664146
36	60	4	0	18	0	23	6	3	4	27.70	1		4.527884
23	40	1	0	26	18	14	6	4	6	72.90	0		8.997280
30	50	7	0	26	16	0	8	2	7	41.55	0		10.454082
18	31	7	0	26	16	7	8	2	7	41.55	0		10.454082
18	30	4	0	18	6	25	6	3	4	27.70	1		4.527884
41	70	8	0	35	11	0	17	4	5	247.90	0		10.701245
41	71	9	0	26	18	20	8	4	8	160.79	1		25.465804
2	2	5	0	35	11	5	17	5	4	317.59	0		16.544576
48	87	3	0	35	11	9	15	5	4	147.94	0		46.196444
48	88	6	0	35	11	13	17	5	3	81.72	0		11.179608
48	89	7	0	26	16	14	8	2	7	41.55	0		10.454082
12	22	8	0	35	11	16	17	4	5	247.90	0		10.701245
12	21	1	1	31	6	19	6	4	6	72.90	0		8.997280
9	14	3	0	35	11	21	15	5	4	147.94	0		46.196444
45	81	8	0	18	9	25	17	4	5	247.90	0		10.701245
45	80	7	0	26	16	21	8	2	7	41.55	0		10.454082
45	79	4	0	24	6	25	6	3	4	27.70	1		4.527884
38	64	2	0	39	0	3	13	6	6	262.76	0		58.664146
38	65	5	0	35	11	25	17	5	4	317.59	0		16.544576
