Name:				259_n100_m200_bt3_20283
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2361.96
Calculation_Time:		18.56
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		61
No_of_Items:			121
Customer_Sequence:		10 58 52 20 41 53 60 17 56 2 16 36 18 13 50 23 38 3 47 27 31 42 62 14 26 34 30 19 39 49 59 7 12 15 51 21 29 28 11 63 8 40 35 46 24 33 9 32 55 5 6 43 1 57 64 48 25 54 37 22 45 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
45	82	1	0	0	0	0	9	3	7	227.54	0		84.604200
45	83	3	0	0	3	0	14	2	5	116.90	0		63.572415
22	39	1	0	0	5	0	9	3	7	227.54	0		84.604200
22	40	2	0	0	8	0	6	6	7	216.36	1		7.545438
37	68	3	0	0	14	0	14	2	5	116.90	0		63.572415
37	69	3	0	0	16	0	14	2	5	116.90	0		63.572415
54	101	1	0	0	18	0	9	3	7	227.54	0		84.604200
25	46	1	0	0	21	0	9	3	7	227.54	0		84.604200
25	47	2	0	0	5	7	6	6	7	216.36	1		7.545438
48	88	1	0	0	14	5	9	3	7	227.54	0		84.604200
64	124	3	0	0	3	5	14	2	5	116.90	0		63.572415
64	125	3	0	0	3	10	14	2	5	116.90	0		63.572415
64	123	2	0	0	18	7	6	6	7	216.36	1		7.545438
57	108	1	0	0	0	7	9	3	7	227.54	0		84.604200
1	1	3	0	0	3	15	14	2	5	116.90	0		63.572415
1	2	3	0	0	3	20	14	2	5	116.90	0		63.572415
43	79	1	0	0	14	12	9	3	7	227.54	0		84.604200
43	80	2	0	0	5	14	6	6	7	216.36	1		7.545438
6	9	2	0	0	18	14	6	6	7	216.36	1		7.545438
6	10	2	0	0	5	21	6	6	7	216.36	1		7.545438
5	8	3	0	0	3	25	14	2	5	116.90	0		63.572415
55	102	3	0	6	8	0	14	2	5	116.90	0		63.572415
55	103	3	0	6	10	0	14	2	5	116.90	0		63.572415
55	104	3	0	6	12	0	14	2	5	116.90	0		63.572415
32	59	1	0	0	0	14	9	3	7	227.54	0		84.604200
32	60	3	0	6	8	5	14	2	5	116.90	0		63.572415
9	14	1	0	0	14	19	9	3	7	227.54	0		84.604200
9	16	3	0	6	10	5	14	2	5	116.90	0		63.572415
9	15	2	0	0	18	21	6	6	7	216.36	1		7.545438
33	61	3	0	6	12	5	14	2	5	116.90	0		63.572415
33	62	3	0	6	8	10	14	2	5	116.90	0		63.572415
33	63	3	0	6	10	10	14	2	5	116.90	0		63.572415
24	44	1	0	0	0	21	9	3	7	227.54	0		84.604200
24	45	3	0	6	12	10	14	2	5	116.90	0		63.572415
46	84	2	0	6	8	15	6	6	7	216.36	1		7.545438
35	66	2	0	6	8	22	6	6	7	216.36	1		7.545438
40	74	1	0	9	0	0	9	3	7	227.54	0		84.604200
40	75	3	0	9	5	0	14	2	5	116.90	0		63.572415
8	13	3	0	9	18	0	14	2	5	116.90	0		63.572415
8	12	2	0	9	14	5	6	6	7	216.36	1		7.545438
63	122	3	0	9	20	0	14	2	5	116.90	0		63.572415
63	121	2	0	9	14	12	6	6	7	216.36	1		7.545438
11	19	1	0	9	22	0	9	3	7	227.54	0		84.604200
11	20	2	0	9	14	19	6	6	7	216.36	1		7.545438
28	52	3	0	9	5	5	14	2	5	116.90	0		63.572415
29	53	1	0	9	0	7	9	3	7	227.54	0		84.604200
29	54	1	0	9	22	7	9	3	7	227.54	0		84.604200
21	38	3	0	9	20	5	14	2	5	116.90	0		63.572415
51	94	1	0	9	0	14	9	3	7	227.54	0		84.604200
51	95	1	0	9	22	14	9	3	7	227.54	0		84.604200
51	96	1	0	9	0	21	9	3	7	227.54	0		84.604200
15	28	3	0	9	5	10	14	2	5	116.90	0		63.572415
15	29	3	0	9	20	10	14	2	5	116.90	0		63.572415
12	21	1	0	9	22	21	9	3	7	227.54	0		84.604200
12	22	3	0	9	5	15	14	2	5	116.90	0		63.572415
7	11	2	0	12	8	15	6	6	7	216.36	1		7.545438
59	111	1	0	18	0	0	9	3	7	227.54	0		84.604200
59	112	1	0	18	22	0	9	3	7	227.54	0		84.604200
59	113	3	0	9	20	15	14	2	5	116.90	0		63.572415
49	89	1	0	18	0	7	9	3	7	227.54	0		84.604200
49	90	1	0	18	22	7	9	3	7	227.54	0		84.604200
49	91	3	0	9	5	20	14	2	5	116.90	0		63.572415
39	71	1	0	18	0	14	9	3	7	227.54	0		84.604200
39	73	3	0	9	20	20	14	2	5	116.90	0		63.572415
39	72	2	0	12	8	22	6	6	7	216.36	1		7.545438
19	35	1	0	18	22	14	9	3	7	227.54	0		84.604200
19	36	2	0	20	8	0	6	6	7	216.36	1		7.545438
30	55	3	0	9	5	25	14	2	5	116.90	0		63.572415
34	64	1	0	18	0	21	9	3	7	227.54	0		84.604200
34	65	3	0	9	20	25	14	2	5	116.90	0		63.572415
26	48	1	0	18	22	21	9	3	7	227.54	0		84.604200
26	50	3	0	14	3	0	14	2	5	116.90	0		63.572415
26	49	2	0	20	8	7	6	6	7	216.36	1		7.545438
14	25	2	0	20	8	14	6	6	7	216.36	1		7.545438
14	26	2	0	20	8	21	6	6	7	216.36	1		7.545438
14	27	2	0	26	8	0	6	6	7	216.36	1		7.545438
62	119	1	0	20	14	0	9	3	7	227.54	0		84.604200
62	120	2	0	26	8	7	6	6	7	216.36	1		7.545438
42	77	1	0	20	14	7	9	3	7	227.54	0		84.604200
42	78	1	0	20	14	14	9	3	7	227.54	0		84.604200
31	56	1	0	20	14	21	9	3	7	227.54	0		84.604200
31	58	3	0	14	3	5	14	2	5	116.90	0		63.572415
31	57	2	0	26	8	14	6	6	7	216.36	1		7.545438
27	51	1	0	23	5	0	9	3	7	227.54	0		84.604200
47	85	1	0	23	18	0	9	3	7	227.54	0		84.604200
47	86	3	0	14	3	10	14	2	5	116.90	0		63.572415
47	87	3	0	14	3	15	14	2	5	116.90	0		63.572415
