Name:				322_n020_m400_bt10_25566
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		133.08
Calculation_Time:		10.12
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		4
No_of_Items:			99
Customer_Sequence:		2 11 14 12 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
12	235	7	0	0	0	0	10	5	8	103.85	0		58.302198
12	234	6	0	0	5	0	8	7	6	47.43	0		1.611206
12	233	6	0	0	12	0	8	7	6	47.43	0		1.611206
12	221	3	0	0	19	0	14	3	7	124.57	0		15.578344
12	222	3	0	0	22	0	14	3	7	124.57	0		15.578344
12	223	3	1	0	5	6	14	3	7	124.57	0		15.578344
12	218	2	0	0	19	7	14	6	3	28.69	0		4.736554
12	219	2	0	0	19	10	14	6	3	28.69	0		4.736554
12	220	2	0	0	19	13	14	6	3	28.69	0		4.736554
12	217	1	0	0	0	8	8	5	6	24.58	0		2.881869
12	236	8	1	0	5	13	14	2	5	19.44	0		1.513286
12	228	5	0	0	0	14	6	3	7	46.40	0		17.327053
12	232	5	0	0	19	16	6	3	7	46.40	0		17.327053
12	231	5	0	0	22	16	6	3	7	46.40	0		17.327053
12	230	5	0	0	0	21	6	3	7	46.40	0		17.327053
12	229	5	0	0	19	23	6	3	7	46.40	0		17.327053
12	227	5	0	0	22	23	6	3	7	46.40	0		17.327053
12	237	10	1	0	5	18	11	2	5	25.26	0		11.611214
12	238	10	1	0	5	23	11	2	5	25.26	0		11.611214
12	239	10	1	3	5	6	11	2	5	25.26	0		11.611214
12	226	4	0	8	5	0	17	4	4	51.76	1		2.522212
12	225	4	0	8	9	0	17	4	4	51.76	1		2.522212
12	224	4	0	8	13	0	17	4	4	51.76	1		2.522212
14	279	7	0	6	19	16	10	5	8	103.85	0		58.302198
14	278	7	0	10	0	0	10	5	8	103.85	0		58.302198
14	277	7	0	8	0	8	10	5	8	103.85	0		58.302198
14	276	7	0	8	0	16	10	5	8	103.85	0		58.302198
14	275	6	0	25	5	0	8	7	6	47.43	0		1.611206
14	270	3	1	5	5	6	14	3	7	124.57	0		15.578344
14	267	2	0	14	19	0	14	6	3	28.69	0		4.736554
14	268	2	0	14	19	3	14	6	3	28.69	0		4.736554
14	269	2	0	14	19	6	14	6	3	28.69	0		4.736554
14	263	1	0	6	19	24	8	5	6	24.58	0		2.881869
14	266	1	0	8	0	24	8	5	6	24.58	0		2.881869
14	265	1	0	14	19	9	8	5	6	24.58	0		2.881869
14	264	1	0	20	0	0	8	5	6	24.58	0		2.881869
14	262	1	0	20	0	6	8	5	6	24.58	0		2.881869
14	280	8	1	3	5	11	14	2	5	19.44	0		1.513286
14	281	8	1	3	5	16	14	2	5	19.44	0		1.513286
14	272	5	1	5	5	13	6	3	7	46.40	0		17.327053
14	273	5	1	5	11	13	6	3	7	46.40	0		17.327053
14	274	5	1	5	5	20	6	3	7	46.40	0		17.327053
14	271	5	1	5	11	20	6	3	7	46.40	0		17.327053
14	286	10	1	3	5	21	11	2	5	25.26	0		11.611214
14	287	10	0	8	17	0	11	2	5	25.26	0		11.611214
14	282	9	0	8	5	4	13	4	4	88.58	1		3.150181
14	283	9	0	8	9	4	13	4	4	88.58	1		3.150181
14	284	9	0	8	13	4	13	4	4	88.58	1		3.150181
14	285	9	0	8	5	8	13	4	4	88.58	1		3.150181
11	204	7	0	20	0	12	10	5	8	103.85	0		58.302198
11	203	7	0	20	0	20	10	5	8	103.85	0		58.302198
11	202	7	0	25	12	0	10	5	8	103.85	0		58.302198
11	201	6	0	25	5	6	8	7	6	47.43	0		1.611206
11	191	3	0	28	0	0	14	3	7	124.57	0		15.578344
11	192	3	0	28	19	0	14	3	7	124.57	0		15.578344
11	193	3	0	28	22	0	14	3	7	124.57	0		15.578344
11	194	3	0	28	19	7	14	3	7	124.57	0		15.578344
11	189	1	0	25	12	8	8	5	6	24.58	0		2.881869
11	190	1	0	25	5	12	8	5	6	24.58	0		2.881869
11	188	1	0	25	12	14	8	5	6	24.58	0		2.881869
11	209	8	0	8	17	5	14	2	5	19.44	0		1.513286
11	208	8	0	8	17	10	14	2	5	19.44	0		1.513286
11	207	8	0	8	17	15	14	2	5	19.44	0		1.513286
11	206	8	0	5	17	20	14	2	5	19.44	0		1.513286
11	205	8	0	5	17	25	14	2	5	19.44	0		1.513286
11	198	5	0	22	19	9	6	3	7	46.40	0		17.327053
11	200	5	0	22	22	9	6	3	7	46.40	0		17.327053
11	199	5	0	22	19	16	6	3	7	46.40	0		17.327053
11	214	10	0	19	17	0	11	2	5	25.26	0		11.611214
11	215	10	0	28	3	0	11	2	5	25.26	0		11.611214
11	216	10	0	28	3	5	11	2	5	25.26	0		11.611214
11	195	4	0	8	9	8	17	4	4	51.76	1		2.522212
11	196	4	0	8	13	8	17	4	4	51.76	1		2.522212
11	197	4	0	8	5	12	17	4	4	51.76	1		2.522212
11	210	9	0	8	9	12	13	4	4	88.58	1		3.150181
11	211	9	0	8	13	12	13	4	4	88.58	1		3.150181
11	212	9	0	8	5	16	13	4	4	88.58	1		3.150181
11	213	9	0	8	9	16	13	4	4	88.58	1		3.150181
2	33	7	0	25	5	18	10	5	8	103.85	0		58.302198
2	32	7	0	25	12	20	10	5	8	103.85	0		58.302198
2	31	6	0	33	5	0	8	7	6	47.43	0		1.611206
2	30	6	0	33	5	6	8	7	6	47.43	0		1.611206
2	29	6	0	33	5	12	8	7	6	47.43	0		1.611206
2	22	3	0	28	22	7	14	3	7	124.57	0		15.578344
2	23	3	0	28	19	14	14	3	7	124.57	0		15.578344
2	20	2	0	35	12	0	14	6	3	28.69	0		4.736554
2	21	2	0	35	12	3	14	6	3	28.69	0		4.736554
2	19	1	0	35	12	6	8	5	6	24.58	0		2.881869
2	34	8	0	28	22	14	14	2	5	19.44	0		1.513286
2	35	8	0	28	22	19	14	2	5	19.44	0		1.513286
2	36	8	0	28	19	21	14	2	5	19.44	0		1.513286
2	27	5	0	22	22	16	6	3	7	46.40	0		17.327053
2	28	5	0	22	19	23	6	3	7	46.40	0		17.327053
2	39	10	0	28	22	24	11	2	5	25.26	0		11.611214
2	26	4	0	8	5	20	17	4	4	51.76	1		2.522212
2	25	4	0	8	9	20	17	4	4	51.76	1		2.522212
2	24	4	0	8	5	24	17	4	4	51.76	1		2.522212
2	37	9	0	8	9	24	13	4	4	88.58	1		3.150181
2	38	9	0	25	5	26	13	4	4	88.58	1		3.150181


