Name:				500_n100_m400_bt3_40773
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1215.54
Calculation_Time:		20.89
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		27
No_of_Items:			119
Customer_Sequence:		27 4 14 9 18 20 28 6 17 5 31 13 16 24 7 10 15 25 2 30 29 11 1 12 22 19 8 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
8	32	3	0	0	0	0	6	5	7	175.90	0		116.446761
8	33	3	0	0	5	0	6	5	7	175.90	0		116.446761
8	34	3	0	0	10	0	6	5	7	175.90	0		116.446761
8	30	1	0	0	15	0	8	4	4	87.56	0		5.532129
8	31	2	0	0	19	0	11	4	5	75.41	1		3.015603
19	82	3	0	0	0	7	6	5	7	175.90	0		116.446761
19	83	3	0	0	5	7	6	5	7	175.90	0		116.446761
19	80	1	0	0	15	4	8	4	4	87.56	0		5.532129
19	81	2	0	0	19	5	11	4	5	75.41	1		3.015603
22	94	3	0	0	10	7	6	5	7	175.90	0		116.446761
22	95	3	0	0	0	14	6	5	7	175.90	0		116.446761
22	92	2	0	0	19	10	11	4	5	75.41	1		3.015603
22	93	2	1	0	5	14	11	4	5	75.41	1		3.015603
12	47	3	0	0	0	21	6	5	7	175.90	0		116.446761
12	48	3	0	6	0	0	6	5	7	175.90	0		116.446761
12	49	3	0	6	5	0	6	5	7	175.90	0		116.446761
12	45	2	0	0	19	15	11	4	5	75.41	1		3.015603
12	46	2	1	0	5	19	11	4	5	75.41	1		3.015603
1	3	3	0	6	10	0	6	5	7	175.90	0		116.446761
1	1	1	0	6	0	7	8	4	4	87.56	0		5.532129
1	2	2	0	0	19	20	11	4	5	75.41	1		3.015603
11	44	3	0	6	4	7	6	5	7	175.90	0		116.446761
11	42	1	0	4	5	14	8	4	4	87.56	0		5.532129
11	43	1	0	4	5	18	8	4	4	87.56	0		5.532129
29	120	3	0	4	5	22	6	5	7	175.90	0		116.446761
29	119	2	1	0	5	24	11	4	5	75.41	1		3.015603
30	124	3	0	6	10	7	6	5	7	175.90	0		116.446761
30	125	3	0	6	10	14	6	5	7	175.90	0		116.446761
30	121	1	0	6	0	11	8	4	4	87.56	0		5.532129
30	122	1	0	6	0	15	8	4	4	87.56	0		5.532129
30	123	2	0	0	19	25	11	4	5	75.41	1		3.015603
2	4	1	0	6	0	19	8	4	4	87.56	0		5.532129
2	5	1	0	6	10	21	8	4	4	87.56	0		5.532129
2	6	2	0	8	15	0	11	4	5	75.41	1		3.015603
2	7	2	0	8	15	5	11	4	5	75.41	1		3.015603
2	8	2	0	8	15	10	11	4	5	75.41	1		3.015603
2	9	2	0	8	15	15	11	4	5	75.41	1		3.015603
25	104	3	0	6	0	23	6	5	7	175.90	0		116.446761
25	105	3	0	11	19	0	6	5	7	175.90	0		116.446761
25	106	3	0	11	19	7	6	5	7	175.90	0		116.446761
15	61	3	0	11	19	14	6	5	7	175.90	0		116.446761
15	62	3	0	11	19	21	6	5	7	175.90	0		116.446761
