Name:				031_n020_m200_bt3_1985
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		658.89
Calculation_Time:		42.91
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		18
No_of_Items:			178
Customer_Sequence:		12 6 10 4 16 3 18 13 1 14 19 20 15 11 9 17 7 5 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
5	43	1	0	0	0	0	8	5	5	83.13	0		24.610120
5	44	1	0	0	5	0	8	5	5	83.13	0		24.610120
5	45	1	0	0	10	0	8	5	5	83.13	0		24.610120
5	46	1	0	0	15	0	8	5	5	83.13	0		24.610120
5	47	1	0	0	20	0	8	5	5	83.13	0		24.610120
5	49	3	1	0	0	5	12	3	3	127.95	0		23.031705
5	50	3	1	0	12	5	12	3	3	127.95	0		23.031705
5	51	3	1	0	0	8	12	3	3	127.95	0		23.031705
5	48	2	1	0	12	8	10	3	4	88.29	1		28.931649
7	61	1	1	3	0	5	8	5	5	83.13	0		24.610120
7	62	1	1	3	8	5	8	5	5	83.13	0		24.610120
7	68	3	1	0	0	11	12	3	3	127.95	0		23.031705
7	69	3	1	0	0	14	12	3	3	127.95	0		23.031705
7	63	2	1	0	12	12	10	3	4	88.29	1		28.931649
7	64	2	1	0	12	16	10	3	4	88.29	1		28.931649
7	65	2	1	0	0	17	10	3	4	88.29	1		28.931649
7	66	2	1	0	12	20	10	3	4	88.29	1		28.931649
7	67	2	1	0	0	21	10	3	4	88.29	1		28.931649
17	165	1	1	3	16	5	8	5	5	83.13	0		24.610120
17	169	3	1	3	0	10	12	3	3	127.95	0		23.031705
17	170	3	1	3	12	10	12	3	3	127.95	0		23.031705
17	171	3	1	3	0	13	12	3	3	127.95	0		23.031705
17	172	3	1	3	12	13	12	3	3	127.95	0		23.031705
17	173	3	1	3	0	16	12	3	3	127.95	0		23.031705
17	174	3	1	3	12	16	12	3	3	127.95	0		23.031705
17	166	2	1	0	12	24	10	3	4	88.29	1		28.931649
17	167	2	1	0	0	25	10	3	4	88.29	1		28.931649
17	168	2	1	3	0	19	10	3	4	88.29	1		28.931649
9	81	1	0	8	0	0	8	5	5	83.13	0		24.610120
9	82	1	0	8	5	0	8	5	5	83.13	0		24.610120
9	83	1	0	8	10	0	8	5	5	83.13	0		24.610120
9	84	1	0	8	15	0	8	5	5	83.13	0		24.610120
9	90	3	1	3	10	19	12	3	3	127.95	0		23.031705
9	85	2	1	3	10	22	10	3	4	88.29	1		28.931649
9	86	2	1	3	0	23	10	3	4	88.29	1		28.931649
9	87	2	1	3	10	26	10	3	4	88.29	1		28.931649
9	88	2	0	8	20	0	10	3	4	88.29	1		28.931649
9	89	2	0	8	20	4	10	3	4	88.29	1		28.931649
11	100	1	0	8	0	5	8	5	5	83.13	0		24.610120
11	101	1	0	6	0	10	8	5	5	83.13	0		24.610120
11	102	1	0	6	0	15	8	5	5	83.13	0		24.610120
11	103	1	0	6	0	20	8	5	5	83.13	0		24.610120
11	109	3	1	8	5	5	12	3	3	127.95	0		23.031705
11	110	3	1	8	5	8	12	3	3	127.95	0		23.031705
11	104	2	0	6	0	25	10	3	4	88.29	1		28.931649
11	105	2	0	8	17	5	10	3	4	88.29	1		28.931649
11	106	2	0	8	20	8	10	3	4	88.29	1		28.931649
11	107	2	0	8	17	9	10	3	4	88.29	1		28.931649
11	108	2	1	8	5	11	10	3	4	88.29	1		28.931649
15	143	1	1	11	5	5	8	5	5	83.13	0		24.610120
15	144	1	1	11	5	10	8	5	5	83.13	0		24.610120
15	145	1	1	11	5	15	8	5	5	83.13	0		24.610120
15	146	1	1	11	5	20	8	5	5	83.13	0		24.610120
15	147	1	1	11	5	25	8	5	5	83.13	0		24.610120
15	148	1	0	16	0	0	8	5	5	83.13	0		24.610120
15	153	3	0	16	5	0	12	3	3	127.95	0		23.031705
15	149	2	0	8	20	12	10	3	4	88.29	1		28.931649
15	150	2	0	8	17	13	10	3	4	88.29	1		28.931649
15	151	2	1	8	5	15	10	3	4	88.29	1		28.931649
15	152	2	0	8	20	16	10	3	4	88.29	1		28.931649
20	198	3	0	16	8	0	12	3	3	127.95	0		23.031705
20	199	3	0	16	11	0	12	3	3	127.95	0		23.031705
20	200	3	0	16	14	0	12	3	3	127.95	0		23.031705
20	192	2	0	8	17	17	10	3	4	88.29	1		28.931649
20	193	2	0	8	20	20	10	3	4	88.29	1		28.931649
20	194	2	0	8	17	21	10	3	4	88.29	1		28.931649
20	195	2	0	8	20	24	10	3	4	88.29	1		28.931649
20	196	2	0	8	17	25	10	3	4	88.29	1		28.931649
20	197	2	0	16	5	3	10	3	4	88.29	1		28.931649
19	182	1	0	16	8	3	8	5	5	83.13	0		24.610120
19	183	1	0	16	0	5	8	5	5	83.13	0		24.610120
19	188	3	0	16	13	3	12	3	3	127.95	0		23.031705
19	189	3	0	16	13	6	12	3	3	127.95	0		23.031705
19	190	3	0	16	13	9	12	3	3	127.95	0		23.031705
19	191	3	0	16	13	12	12	3	3	127.95	0		23.031705
19	184	2	0	16	5	7	10	3	4	88.29	1		28.931649
19	185	2	0	16	8	8	10	3	4	88.29	1		28.931649
19	186	2	0	16	0	10	10	3	4	88.29	1		28.931649
19	187	2	0	16	5	11	10	3	4	88.29	1		28.931649
14	131	1	0	18	20	0	8	5	5	83.13	0		24.610120
14	132	1	0	18	20	5	8	5	5	83.13	0		24.610120
14	133	1	0	18	20	10	8	5	5	83.13	0		24.610120
14	134	1	0	18	20	15	8	5	5	83.13	0		24.610120
14	135	1	0	18	20	20	8	5	5	83.13	0		24.610120
