Name:				040_n020_m200_bt10_2797
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		231.94
Calculation_Time:		23.67
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		8
No_of_Items:			90
Customer_Sequence:		17 2 7 6 16 18 4 15 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
15	145	9	0	0	0	0	14	7	8	125.13	0		6.269129
15	146	9	0	0	7	0	14	7	8	125.13	0		6.269129
15	139	6	0	0	14	0	14	6	3	37.67	0		3.174539
15	140	6	0	0	14	3	14	6	3	37.67	0		3.174539
15	136	1	0	0	20	0	8	3	8	54.71	0		4.995831
15	137	4	0	0	14	6	6	5	5	16.37	0		3.324244
15	142	8	0	0	23	0	9	2	8	24.83	0		8.085274
15	143	8	0	0	0	8	9	2	8	24.83	0		8.085274
15	144	8	0	0	2	8	9	2	8	24.83	0		8.085274
15	141	7	0	0	4	8	12	3	8	90.01	1		2.761101
15	138	5	0	0	7	8	7	3	7	21.30	1		2.031532
4	39	9	0	14	0	0	14	7	8	125.13	0		6.269129
4	40	10	0	0	10	8	14	4	6	136.45	0		13.580293
4	41	10	0	0	10	14	14	4	6	136.45	0		13.580293
4	35	6	0	14	7	0	14	6	3	37.67	0		3.174539
4	36	6	0	14	13	0	14	6	3	37.67	0		3.174539
4	30	1	0	0	20	8	8	3	8	54.71	0		4.995831
4	31	1	0	0	14	11	8	3	8	54.71	0		4.995831
4	32	4	0	0	10	20	6	5	5	16.37	0		3.324244
4	33	4	0	0	10	25	6	5	5	16.37	0		3.324244
4	34	4	0	6	14	6	6	5	5	16.37	0		3.324244
4	37	7	0	0	0	16	12	3	8	90.01	1		2.761101
4	38	7	0	0	3	16	12	3	8	90.01	1		2.761101
18	179	9	0	14	7	3	14	7	8	125.13	0		6.269129
18	180	10	0	14	19	0	14	4	6	136.45	0		13.580293
18	170	3	0	14	14	3	12	4	7	55.08	0		14.483382
18	166	2	0	14	19	6	14	4	5	38.06	0		22.661084
18	167	2	0	14	0	8	14	4	5	38.06	0		22.661084
18	176	8	0	0	23	8	9	2	8	24.83	0		8.085274
18	169	2	0	14	14	10	14	4	5	38.06	0		22.661084
18	174	6	0	14	7	11	14	6	3	37.67	0		3.174539
18	171	4	0	0	20	16	6	5	5	16.37	0		3.324244
18	172	4	0	0	20	21	6	5	5	16.37	0		3.324244
18	168	2	0	14	19	11	14	4	5	38.06	0		22.661084
18	177	8	0	0	17	11	9	2	8	24.83	0		8.085274
18	178	8	0	0	17	19	9	2	8	24.83	0		8.085274
18	175	7	0	12	4	8	12	3	8	90.01	1		2.761101
18	173	5	0	0	7	15	7	3	7	21.30	1		2.031532
6	55	3	0	14	0	13	12	4	7	55.08	0		14.483382
16	148	3	0	14	7	14	12	4	7	55.08	0		14.483382
16	147	2	0	14	14	15	14	4	5	38.06	0		22.661084
16	151	6	0	28	0	0	14	6	3	37.67	0		3.174539
16	149	4	0	6	10	20	6	5	5	16.37	0		3.324244
16	153	8	0	9	23	0	9	2	8	24.83	0		8.085274
16	152	7	0	12	4	16	12	3	8	90.01	1		2.761101
6	57	4	0	6	10	25	6	5	5	16.37	0		3.324244
6	61	9	0	28	6	0	14	7	8	125.13	0		6.269129
6	62	10	0	14	19	16	14	4	6	136.45	0		13.580293
16	154	10	0	28	13	0	14	4	6	136.45	0		13.580293
6	58	6	0	28	17	0	14	6	3	37.67	0		3.174539
6	54	1	0	14	0	20	8	3	8	54.71	0		4.995831
6	56	4	0	14	14	20	6	5	5	16.37	0		3.324244
16	150	5	0	0	7	22	7	3	7	21.30	1		2.031532
6	60	8	0	9	23	8	9	2	8	24.83	0		8.085274
6	59	7	0	14	7	21	12	3	8	90.01	1		2.761101
7	71	9	0	28	17	3	14	7	8	125.13	0		6.269129
7	72	9	0	28	6	8	14	7	8	125.13	0		6.269129
7	73	9	0	28	17	11	14	7	8	125.13	0		6.269129
7	74	10	0	14	19	22	14	4	6	136.45	0		13.580293
7	65	3	0	28	0	3	12	4	7	55.08	0		14.483382
7	67	6	0	28	6	16	14	6	3	37.67	0		3.174539
7	63	1	0	20	14	20	8	3	8	54.71	0		4.995831
7	64	1	0	28	13	6	8	3	8	54.71	0		4.995831
7	69	8	0	9	23	16	9	2	8	24.83	0		8.085274
7	70	8	0	14	11	14	9	2	8	24.83	0		8.085274
7	68	7	0	28	0	10	12	3	8	90.01	1		2.761101
7	66	5	0	28	13	14	7	3	7	21.30	1		2.031532
2	19	9	0	28	6	19	14	7	8	125.13	0		6.269129
2	20	10	0	28	17	19	14	4	6	136.45	0		13.580293
2	21	10	0	28	21	19	14	4	6	136.45	0		13.580293
2	16	3	0	42	0	0	12	4	7	55.08	0		14.483382
2	12	2	0	28	17	25	14	4	5	38.06	0		22.661084
2	13	2	0	28	21	25	14	4	5	38.06	0		22.661084
2	14	2	0	42	4	0	14	4	5	38.06	0		22.661084
2	15	2	0	42	8	0	14	4	5	38.06	0		22.661084
2	10	1	0	36	13	6	8	3	8	54.71	0		4.995831
2	11	1	0	35	13	14	8	3	8	54.71	0		4.995831
2	17	4	0	42	12	0	6	5	5	16.37	0		3.324244
2	18	7	0	28	0	18	12	3	8	90.01	1		2.761101
17	163	9	0	42	17	0	14	7	8	125.13	0		6.269129
17	164	9	0	42	4	5	14	7	8	125.13	0		6.269129
17	165	10	0	42	0	7	14	4	6	136.45	0		13.580293
17	157	3	0	42	17	8	12	4	7	55.08	0		14.483382
