Name:				049_n020_m200_bt3_3238
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		301.11
Calculation_Time:		14.48
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		7
No_of_Items:			80
Customer_Sequence:		11 1 7 16 8 15 10 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
10	85	1	0	0	0	0	14	3	4	61.89	0		8.716482
10	95	3	0	0	3	0	17	5	8	406.28	1		6.051330
10	87	2	0	0	8	0	9	4	3	33.84	0		10.042675
8	77	3	0	0	12	0	17	5	8	406.28	1		6.051330
10	89	2	0	0	17	0	9	4	3	33.84	0		10.042675
10	90	3	0	0	3	8	17	5	8	406.28	1		6.051330
10	91	3	0	0	3	16	17	5	8	406.28	1		6.051330
10	92	3	0	9	17	0	17	5	8	406.28	1		6.051330
10	93	3	0	9	17	8	17	5	8	406.28	1		6.051330
10	94	3	0	9	17	16	17	5	8	406.28	1		6.051330
10	86	1	0	0	0	4	14	3	4	61.89	0		8.716482
15	138	1	0	0	0	8	14	3	4	61.89	0		8.716482
15	139	1	0	0	0	12	14	3	4	61.89	0		8.716482
15	140	1	0	0	0	16	14	3	4	61.89	0		8.716482
15	141	1	0	0	0	20	14	3	4	61.89	0		8.716482
15	142	1	0	0	0	24	14	3	4	61.89	0		8.716482
15	143	2	0	0	8	3	9	4	3	33.84	0		10.042675
15	144	3	0	17	3	0	17	5	8	406.28	1		6.051330
15	145	3	0	17	3	8	17	5	8	406.28	1		6.051330
15	146	3	0	17	3	16	17	5	8	406.28	1		6.051330
15	147	3	0	26	17	0	17	5	8	406.28	1		6.051330
15	148	3	0	26	17	8	17	5	8	406.28	1		6.051330
8	67	1	0	9	8	0	14	3	4	61.89	0		8.716482
8	68	1	0	9	22	0	14	3	4	61.89	0		8.716482
8	69	2	0	0	8	6	9	4	3	33.84	0		10.042675
8	70	2	0	0	8	9	9	4	3	33.84	0		10.042675
8	71	2	0	0	8	12	9	4	3	33.84	0		10.042675
8	72	2	0	0	8	15	9	4	3	33.84	0		10.042675
8	73	2	0	0	8	18	9	4	3	33.84	0		10.042675
8	74	2	0	0	8	21	9	4	3	33.84	0		10.042675
8	75	2	0	0	8	24	9	4	3	33.84	0		10.042675
8	76	3	0	0	12	8	17	5	8	406.28	1		6.051330
10	88	2	0	0	21	0	9	4	3	33.84	0		10.042675
16	149	1	0	9	8	4	14	3	4	61.89	0		8.716482
16	150	1	0	9	22	4	14	3	4	61.89	0		8.716482
16	151	1	0	9	8	8	14	3	4	61.89	0		8.716482
16	152	2	0	0	8	27	9	4	3	33.84	0		10.042675
16	153	2	0	9	8	12	9	4	3	33.84	0		10.042675
16	154	2	0	9	8	15	9	4	3	33.84	0		10.042675
16	155	3	0	0	12	16	17	5	8	406.28	1		6.051330
16	156	3	0	17	12	0	17	5	8	406.28	1		6.051330
16	157	3	0	17	12	8	17	5	8	406.28	1		6.051330
16	158	3	0	17	12	16	17	5	8	406.28	1		6.051330
16	159	3	0	26	17	16	17	5	8	406.28	1		6.051330
7	53	1	0	9	22	8	14	3	4	61.89	0		8.716482
7	54	1	0	9	22	12	14	3	4	61.89	0		8.716482
7	55	1	0	9	22	16	14	3	4	61.89	0		8.716482
7	56	1	0	9	22	20	14	3	4	61.89	0		8.716482
7	57	1	0	9	22	24	14	3	4	61.89	0		8.716482
7	58	2	0	9	8	18	9	4	3	33.84	0		10.042675
7	59	2	0	9	8	21	9	4	3	33.84	0		10.042675
7	60	2	0	9	8	24	9	4	3	33.84	0		10.042675
7	61	3	0	34	3	0	17	5	8	406.28	1		6.051330
7	62	3	0	34	8	0	17	5	8	406.28	1		6.051330
7	63	3	0	34	3	8	17	5	8	406.28	1		6.051330
7	64	3	0	34	8	8	17	5	8	406.28	1		6.051330
7	65	3	0	34	3	16	17	5	8	406.28	1		6.051330
7	66	3	0	34	8	16	17	5	8	406.28	1		6.051330
1	1	1	0	14	0	0	14	3	4	61.89	0		8.716482
1	2	1	0	14	0	4	14	3	4	61.89	0		8.716482
1	3	1	0	14	0	8	14	3	4	61.89	0		8.716482
1	4	1	0	14	0	12	14	3	4	61.89	0		8.716482
1	5	1	0	14	0	16	14	3	4	61.89	0		8.716482
1	6	2	0	9	8	27	9	4	3	33.84	0		10.042675
1	7	2	0	34	13	0	9	4	3	33.84	0		10.042675
1	8	2	0	34	13	3	9	4	3	33.84	0		10.042675
1	9	3	0	43	13	0	17	5	8	406.28	1		6.051330
1	10	3	0	43	18	0	17	5	8	406.28	1		6.051330
11	96	1	0	14	0	20	14	3	4	61.89	0		8.716482
11	97	1	0	14	0	24	14	3	4	61.89	0		8.716482
11	98	2	0	51	3	0	9	4	3	33.84	0		10.042675
11	99	2	0	51	7	0	9	4	3	33.84	0		10.042675
11	100	2	0	51	3	3	9	4	3	33.84	0		10.042675
11	101	2	0	51	7	3	9	4	3	33.84	0		10.042675
11	102	2	0	51	3	6	9	4	3	33.84	0		10.042675
11	103	2	0	51	7	6	9	4	3	33.84	0		10.042675
11	104	3	0	43	13	8	17	5	8	406.28	1		6.051330
11	105	3	0	43	18	8	17	5	8	406.28	1		6.051330
11	106	3	0	43	13	16	17	5	8	406.28	1		6.051330
11	107	3	0	43	18	16	17	5	8	406.28	1		6.051330


