Name:				173_n060_m200_bt10_8738
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		1611.46
Calculation_Time:		442.56
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		37
No_of_Items:			118
Customer_Sequence:		36 22 14 1 37 24 39 23 7 33 2 3 38 27 32 25 12 17 26 16 21 18 34 35 8 4 11 30 31 10 28 29 5 15 19 6 13 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
13	36	2	0	0	0	0	14	5	8	355.82	0		142.021252
13	37	4	0	0	5	0	10	2	6	51.89	1		3.743443
6	17	10	0	0	7	0	7	7	7	283.25	0		21.779173
5	14	3	0	0	14	0	15	3	3	48.51	0		12.628823
6	15	4	0	0	17	0	10	2	6	51.89	1		3.743443
19	58	1	0	0	19	0	14	3	6	136.95	0		8.735500
19	59	6	0	0	22	0	10	3	8	129.87	1		19.149752
15	44	10	0	0	7	7	7	7	7	283.25	0		21.779173
15	43	7	0	0	19	6	14	3	4	58.64	0		43.881870
15	41	3	0	0	0	8	15	3	3	48.51	0		12.628823
15	42	6	0	0	22	8	10	3	8	129.87	1		19.149752
5	13	2	0	7	7	0	14	5	8	355.82	0		142.021252
5	11	1	0	0	14	3	14	3	6	136.95	0		8.735500
5	12	1	0	0	14	9	14	3	6	136.95	0		8.735500
6	16	5	0	14	0	0	6	4	8	92.19	0		76.991228
29	91	2	0	7	7	8	14	5	8	355.82	0		142.021252
29	92	2	0	7	7	16	14	5	8	355.82	0		142.021252
29	93	4	0	0	5	6	10	2	6	51.89	1		3.743443
28	89	5	0	0	0	11	6	4	8	92.19	0		76.991228
28	90	6	0	0	19	10	10	3	8	129.87	1		19.149752
28	88	4	0	0	17	6	10	2	6	51.89	1		3.743443
10	29	10	0	15	14	0	7	7	7	283.25	0		21.779173
10	28	6	0	0	14	15	10	3	8	129.87	1		19.149752
11	32	8	0	6	0	11	12	2	5	111.54	0		18.081172
31	100	7	0	7	7	24	14	3	4	58.64	0		43.881870
31	97	3	0	10	22	0	15	3	3	48.51	0		12.628823
31	101	8	0	7	12	0	12	2	5	111.54	0		18.081172
31	98	4	0	0	5	12	10	2	6	51.89	1		3.743443
30	94	2	0	20	0	0	14	5	8	355.82	0		142.021252
30	96	8	0	7	12	5	12	2	5	111.54	0		18.081172
30	95	4	0	0	17	12	10	2	6	51.89	1		3.743443
11	30	2	0	20	0	8	14	5	8	355.82	0		142.021252
11	31	3	0	10	22	3	15	3	3	48.51	0		12.628823
31	99	5	0	0	0	19	6	4	8	92.19	0		76.991228
11	33	8	0	6	0	16	12	2	5	111.54	0		18.081172
4	9	2	0	18	0	16	14	5	8	355.82	0		142.021252
4	10	5	0	15	14	7	6	4	8	92.19	0		76.991228
8	24	8	0	7	12	10	12	2	5	111.54	0		18.081172
8	22	6	0	0	22	16	10	3	8	129.87	1		19.149752
8	23	6	0	0	17	18	10	3	8	129.87	1		19.149752
8	21	4	0	0	5	18	10	2	6	51.89	1		3.743443
35	109	1	0	10	22	6	14	3	6	136.95	0		8.735500
35	110	1	0	10	22	12	14	3	6	136.95	0		8.735500
35	111	1	0	10	22	18	14	3	6	136.95	0		8.735500
35	112	7	0	10	22	24	14	3	4	58.64	0		43.881870
34	108	9	0	18	0	24	14	4	5	233.04	0		21.407099
34	107	8	0	7	12	15	12	2	5	111.54	0		18.081172
34	106	6	0	10	14	15	10	3	8	129.87	1		19.149752
18	55	5	0	15	18	7	6	4	8	92.19	0		76.991228
18	57	8	0	7	12	20	12	2	5	111.54	0		18.081172
21	64	5	0	15	18	15	6	4	8	92.19	0		76.991228
18	54	4	0	0	20	18	10	2	6	51.89	1		3.743443
18	56	6	0	21	7	0	10	3	8	129.87	1		19.149752
21	65	5	0	21	10	0	6	4	8	92.19	0		76.991228
21	66	7	0	22	14	0	14	3	4	58.64	0		43.881870
21	63	3	0	22	17	0	15	3	3	48.51	0		12.628823
16	48	10	0	31	7	0	7	7	7	283.25	0		21.779173
16	49	10	0	31	7	7	7	7	7	283.25	0		21.779173
16	45	1	0	22	17	3	14	3	6	136.95	0		8.735500
16	46	3	0	22	14	4	15	3	3	48.51	0		12.628823
16	47	3	0	21	14	7	15	3	3	48.51	0		12.628823
26	82	1	0	21	14	10	14	3	6	136.95	0		8.735500
26	83	5	0	21	14	16	6	4	8	92.19	0		76.991228
26	84	6	0	25	22	0	10	3	8	129.87	1		19.149752
17	51	5	0	27	14	16	6	4	8	92.19	0		76.991228
17	52	5	0	31	7	14	6	4	8	92.19	0		76.991228
17	53	5	0	31	7	22	6	4	8	92.19	0		76.991228
7	20	10	0	34	0	0	7	7	7	283.25	0		21.779173
12	35	9	0	21	14	24	14	4	5	233.04	0		21.407099
12	34	6	0	25	22	8	10	3	8	129.87	1		19.149752
25	78	5	0	37	17	0	6	4	8	92.19	0		76.991228
25	79	8	0	7	12	25	12	2	5	111.54	0		18.081172
14	39	5	0	34	0	7	6	4	8	92.19	0		76.991228
25	81	8	0	10	5	0	12	2	5	111.54	0		18.081172
25	77	4	0	0	5	24	10	2	6	51.89	1		3.743443
32	103	10	0	38	7	0	7	7	7	283.25	0		21.779173
32	102	6	0	25	22	16	10	3	8	129.87	1		19.149752
27	85	2	0	43	17	0	14	5	8	355.82	0		142.021252
27	86	3	0	35	22	0	15	3	3	48.51	0		12.628823
27	87	3	0	35	22	3	15	3	3	48.51	0		12.628823
38	120	5	0	37	17	8	6	4	8	92.19	0		76.991228
38	118	3	0	35	22	6	15	3	3	48.51	0		12.628823
38	119	4	0	0	20	24	10	2	6	51.89	1		3.743443
3	7	3	0	35	22	9	15	3	3	48.51	0		12.628823
3	8	8	0	10	5	5	12	2	5	111.54	0		18.081172
2	3	1	0	35	22	12	14	3	6	136.95	0		8.735500
2	5	5	0	37	17	16	6	4	8	92.19	0		76.991228
2	4	4	0	10	5	10	10	2	6	51.89	1		3.743443
2	6	8	0	22	5	0	12	2	5	111.54	0		18.081172
33	104	1	0	35	22	18	14	3	6	136.95	0		8.735500
33	105	7	0	35	22	24	14	3	4	58.64	0		43.881870
17	50	3	0	38	14	0	15	3	3	48.51	0		12.628823
7	19	9	0	41	0	0	14	4	5	233.04	0		21.407099
7	18	8	0	22	5	5	12	2	5	111.54	0		18.081172
23	71	1	0	38	14	3	14	3	6	136.95	0		8.735500
23	74	7	0	38	14	9	14	3	4	58.64	0		43.881870
23	72	3	0	38	14	13	15	3	3	48.51	0		12.628823
23	73	6	0	38	14	16	10	3	8	129.87	1		19.149752
