Name:				198_n100_m200_bt3_9477
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		2357.10
Calculation_Time:		17.58
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		58
No_of_Items:			116
Customer_Sequence:		52 15 32 41 13 45 25 36 16 57 10 51 27 53 18 38 54 3 19 33 4 49 35 24 17 60 48 8 22 31 44 12 14 29 42 26 47 37 9 55 40 1 6 34 62 21 56 30 28 20 50 2 11 5 46 59 7 39 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
39	75	3	0	0	0	0	9	3	5	47.24	0		8.740837
39	73	1	0	0	3	0	14	6	4	248.40	1		6.923214
39	74	1	0	0	9	0	14	6	4	248.40	1		6.923214
7	14	3	0	0	15	0	9	3	5	47.24	0		8.740837
7	13	1	0	0	18	0	14	6	4	248.40	1		6.923214
59	114	2	0	0	0	5	10	3	7	160.97	0		65.527841
59	115	3	0	0	15	5	9	3	5	47.24	0		8.740837
46	90	2	0	0	15	10	10	3	7	160.97	0		65.527841
5	9	2	0	0	0	12	10	3	7	160.97	0		65.527841
5	10	3	0	0	15	17	9	3	5	47.24	0		8.740837
5	8	1	0	0	3	4	14	6	4	248.40	1		6.923214
11	19	2	0	0	0	19	10	3	7	160.97	0		65.527841
11	20	3	0	0	15	22	9	3	5	47.24	0		8.740837
2	2	2	0	14	3	0	10	3	7	160.97	0		65.527841
2	3	2	0	14	6	0	10	3	7	160.97	0		65.527841
2	4	3	0	14	9	0	9	3	5	47.24	0		8.740837
50	99	2	0	14	12	0	10	3	7	160.97	0		65.527841
20	39	2	0	14	15	0	10	3	7	160.97	0		65.527841
20	38	1	0	0	18	4	14	6	4	248.40	1		6.923214
28	55	3	0	14	18	0	9	3	5	47.24	0		8.740837
28	54	1	0	0	3	8	14	6	4	248.40	1		6.923214
30	57	1	0	0	18	8	14	6	4	248.40	1		6.923214
56	110	1	0	0	3	12	14	6	4	248.40	1		6.923214
56	111	1	0	0	18	12	14	6	4	248.40	1		6.923214
21	40	1	0	0	3	16	14	6	4	248.40	1		6.923214
21	41	1	0	0	18	16	14	6	4	248.40	1		6.923214
62	121	3	0	14	21	0	9	3	5	47.24	0		8.740837
62	119	1	0	0	3	20	14	6	4	248.40	1		6.923214
62	120	1	0	0	18	20	14	6	4	248.40	1		6.923214
34	62	2	0	14	9	5	10	3	7	160.97	0		65.527841
34	63	3	0	14	18	5	9	3	5	47.24	0		8.740837
6	12	3	0	14	21	5	9	3	5	47.24	0		8.740837
6	11	1	0	0	3	24	14	6	4	248.40	1		6.923214
1	1	2	0	14	3	7	10	3	7	160.97	0		65.527841
40	76	2	0	14	6	7	10	3	7	160.97	0		65.527841
40	77	2	0	14	12	7	10	3	7	160.97	0		65.527841
55	107	3	0	14	15	7	9	3	5	47.24	0		8.740837
55	108	3	0	14	18	10	9	3	5	47.24	0		8.740837
55	109	3	0	14	21	10	9	3	5	47.24	0		8.740837
9	16	3	0	14	9	12	9	3	5	47.24	0		8.740837
37	69	2	0	14	15	12	10	3	7	160.97	0		65.527841
47	91	1	0	0	18	24	14	6	4	248.40	1		6.923214
47	92	1	0	23	18	0	14	6	4	248.40	1		6.923214
26	50	2	0	14	3	14	10	3	7	160.97	0		65.527841
42	82	2	0	14	6	14	10	3	7	160.97	0		65.527841
42	83	3	0	14	12	14	9	3	5	47.24	0		8.740837
42	81	1	0	23	18	4	14	6	4	248.40	1		6.923214
29	56	2	0	14	18	15	10	3	7	160.97	0		65.527841
14	25	2	0	14	21	15	10	3	7	160.97	0		65.527841
14	26	3	0	14	9	17	9	3	5	47.24	0		8.740837
14	27	3	0	14	12	19	9	3	5	47.24	0		8.740837
12	21	1	0	24	3	0	14	6	4	248.40	1		6.923214
44	86	2	0	14	15	19	10	3	7	160.97	0		65.527841
44	85	1	0	24	9	0	14	6	4	248.40	1		6.923214
31	58	1	0	24	3	4	14	6	4	248.40	1		6.923214
22	42	1	0	24	9	4	14	6	4	248.40	1		6.923214
8	15	2	0	14	3	21	10	3	7	160.97	0		65.527841
48	93	2	0	14	6	21	10	3	7	160.97	0		65.527841
